instrument,stage,domain_code,domain,study_id,rating
PROBAST+AI,Development,D1,Participants and Data Sources,28,High
PROBAST+AI,Development,D1,Participants and Data Sources,36,High
PROBAST+AI,Development,D1,Participants and Data Sources,43,High
PROBAST+AI,Development,D1,Participants and Data Sources,55,High
PROBAST+AI,Development,D1,Participants and Data Sources,75,High
PROBAST+AI,Development,D1,Participants and Data Sources,147,High
PROBAST+AI,Development,D1,Participants and Data Sources,189,High
PROBAST+AI,Development,D1,Participants and Data Sources,205,High
PROBAST+AI,Development,D1,Participants and Data Sources,253,High
PROBAST+AI,Development,D1,Participants and Data Sources,278,High
PROBAST+AI,Development,D1,Participants and Data Sources,298,High
PROBAST+AI,Development,D1,Participants and Data Sources,305,High
PROBAST+AI,Development,D1,Participants and Data Sources,330,High
PROBAST+AI,Development,D1,Participants and Data Sources,401,High
PROBAST+AI,Development,D1,Participants and Data Sources,61,High
PROBAST+AI,Development,D1,Participants and Data Sources,495,High
PROBAST+AI,Development,D1,Participants and Data Sources,475,High
PROBAST+AI,Development,D1,Participants and Data Sources,460,High
PROBAST+AI,Development,D1,Participants and Data Sources,459,High
PROBAST+AI,Development,D1,Participants and Data Sources,455,High
PROBAST+AI,Development,D1,Participants and Data Sources,447,High
PROBAST+AI,Development,D1,Participants and Data Sources,445,High
PROBAST+AI,Development,D1,Participants and Data Sources,486,High
PROBAST+AI,Development,D1,Participants and Data Sources,382,High
PROBAST+AI,Development,D1,Participants and Data Sources,374,High
PROBAST+AI,Development,D1,Participants and Data Sources,266,High
PROBAST+AI,Development,D2,Predictors,28,Low
PROBAST+AI,Development,D2,Predictors,36,Low
PROBAST+AI,Development,D2,Predictors,43,Low
PROBAST+AI,Development,D2,Predictors,55,Low
PROBAST+AI,Development,D2,Predictors,75,Low
PROBAST+AI,Development,D2,Predictors,147,Low
PROBAST+AI,Development,D2,Predictors,189,Low
PROBAST+AI,Development,D2,Predictors,205,Low
PROBAST+AI,Development,D2,Predictors,253,Low
PROBAST+AI,Development,D2,Predictors,278,Low
PROBAST+AI,Development,D2,Predictors,298,Low
PROBAST+AI,Development,D2,Predictors,305,Low
PROBAST+AI,Development,D2,Predictors,330,Low
PROBAST+AI,Development,D2,Predictors,401,Low
PROBAST+AI,Development,D2,Predictors,61,Low
PROBAST+AI,Development,D2,Predictors,495,High
PROBAST+AI,Development,D2,Predictors,475,Low
PROBAST+AI,Development,D2,Predictors,460,Low
PROBAST+AI,Development,D2,Predictors,459,Low
PROBAST+AI,Development,D2,Predictors,455,Low
PROBAST+AI,Development,D2,Predictors,447,Low
PROBAST+AI,Development,D2,Predictors,445,Low
PROBAST+AI,Development,D2,Predictors,486,Low
PROBAST+AI,Development,D2,Predictors,382,Low
PROBAST+AI,Development,D2,Predictors,374,Low
PROBAST+AI,Development,D2,Predictors,266,Low
PROBAST+AI,Development,D3,Outcome,28,High
PROBAST+AI,Development,D3,Outcome,36,High
PROBAST+AI,Development,D3,Outcome,43,Unclear
PROBAST+AI,Development,D3,Outcome,55,High
PROBAST+AI,Development,D3,Outcome,75,High
PROBAST+AI,Development,D3,Outcome,147,High
PROBAST+AI,Development,D3,Outcome,189,High
PROBAST+AI,Development,D3,Outcome,205,High
PROBAST+AI,Development,D3,Outcome,253,High
PROBAST+AI,Development,D3,Outcome,278,High
PROBAST+AI,Development,D3,Outcome,298,High
PROBAST+AI,Development,D3,Outcome,305,Low
PROBAST+AI,Development,D3,Outcome,330,High
PROBAST+AI,Development,D3,Outcome,401,Low
PROBAST+AI,Development,D3,Outcome,61,High
