term,strength,rank
fourier transform,89,3
signal processing,89,3
table comparison,89,3
authentication method,90,6
based biometric,90,6
multi modal,90,6
support vector,90,6
artificial intelligence,91,10
authentication systems,91,10
identification based,91,10
machine learning,91,10
neural networks,91,10
authentication system,106,15
based authentication,106,15
biometric authentication,106,15
biometric recognition,106,15
feature extraction,106,15
international conference,106,15
neural network,106,15
