imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,110,0,1.0031899875060057,"z_1[1,7]",0,0,1831.7830259835594,Intercept,0,1241.7771735717788,"r_id[495,Intercept]",0,0,0,0.6865131218539768,0,TRUE
2,4,12000,110,0,1.0027498427175678,"z_1[1,12]",0,0,2106.0737918907553,Intercept,0,1117.8685203831308,"r_id[495,Intercept]",0,0,0,0.7378760577872657,0,TRUE
3,4,12000,110,0,1.0042590647787926,"z_1[1,12]",0,0,1948.236505487852,"z_1[1,12]",0,1149.4908381340263,"r_id[382,Intercept]",0,0,0,0.7123953074203779,0,TRUE
4,4,12000,110,0,1.00228352818303,"r_id[495,Intercept]",0,0,2266.843278349809,"r_id[495,Intercept]",0,1135.5949937539738,"r_id[495,Intercept]",0,0,0,0.704741843671173,0,TRUE
5,4,12000,110,0,1.0029263948999876,sd_id__Intercept,0,0,2447.9310753825616,"r_id[495,Intercept]",0,1981.5255111372546,"r_id[495,Intercept]",0,0,0,0.7140340662549576,0,TRUE
6,4,12000,110,0,1.0017967998344697,"r_id[495,Intercept]",0,0,1713.5310231440242,"r_id[495,Intercept]",0,790.7543951586848,"r_id[495,Intercept]",0,0,0,0.6955623307528689,0,TRUE
7,4,12000,110,0,1.0028033595688242,"z_1[1,15]",0,0,2414.8024435658476,Intercept,0,1714.8766886483993,"r_id[495,Intercept]",0,0,0,0.7447682560357867,0,TRUE
8,4,12000,110,0,1.003586538028215,"r_id[445,multiC_within]",0,0,2177.4844460435393,Intercept,0,2259.321595649709,"z_1[1,20]",0,0,0,0.714678885971598,0,TRUE
9,4,12000,110,0,1.0030434525295941,"z_1[1,20]",0,0,2367.5388827182996,Intercept,0,2332.7839817011172,"r_id[495,Intercept]",0,0,0,0.7634618497648044,0,TRUE
10,4,12000,110,0,1.0038636477386091,"r_id[495,Intercept]",0,0,2294.2121724277918,"r_id[495,Intercept]",0,1210.9345302110526,"r_id[495,Intercept]",0,0,0,0.695047263973329,0,TRUE
11,4,12000,110,0,1.0029276180339237,"z_1[1,12]",0,0,1845.2035077926296,"r_id[495,Intercept]",0,992.7297326810937,"r_id[495,Intercept]",0,0,0,0.7158687012269191,0,TRUE
12,4,12000,110,0,1.002633248191219,Intercept,0,0,1919.1973137265882,"r_id[495,Intercept]",0,873.8886313187614,"r_id[495,Intercept]",0,0,0,0.7638264413423816,0,TRUE
13,4,12000,110,0,1.0026715472094665,"z_1[1,2]",0,0,2247.107071254084,"r_id[495,Intercept]",0,1216.8368804805311,"r_id[495,Intercept]",0,0,0,0.7211734157105931,0,TRUE
14,4,12000,110,0,1.0024320298369627,"z_1[1,16]",0,0,2243.718800898812,"r_id[495,Intercept]",0,1697.6840734839222,"r_id[495,Intercept]",0,0,0,0.6854207030793293,0,TRUE
15,4,12000,110,0,1.0020836613512576,"r_id[36,Intercept]",0,0,1912.2243465528447,"r_id[495,Intercept]",0,1077.1677376774528,"r_id[495,Intercept]",0,0,0,0.7029907767851674,0,TRUE
16,4,12000,110,0,1.0021521776376334,"r_id[495,Intercept]",0,0,1906.3020581313704,"r_id[495,Intercept]",0,721.1285860694165,"r_id[495,Intercept]",0,0,0,0.7153124805098069,0,TRUE
17,4,12000,110,0,1.0031179800547023,"r_id[495,multiC_within]",0,0,2545.1967819046845,"r_id[495,Intercept]",0,1500.2837010558803,"r_id[495,Intercept]",0,0,0,0.6831842815948981,0,TRUE
18,4,12000,110,0,1.0020343813200483,"z_1[1,2]",0,0,2515.302446282207,Intercept,0,1834.2272348100817,"r_id[495,Intercept]",0,0,0,0.6956013311216721,0,TRUE
19,4,12000,110,0,1.0017019256996407,sd_id__Intercept,0,0,1965.045896122662,"r_id[495,Intercept]",0,1225.888869771729,"r_id[495,Intercept]",0,0,0,0.6985553981890209,0,TRUE
20,4,12000,110,0,1.0026805726070416,"z_1[1,12]",0,0,2190.6046611670677,"r_id[495,Intercept]",0,1179.9386329980136,"r_id[495,Intercept]",0,0,0,0.7281182778319989,0,TRUE
