imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,62,0,1.003295447937427,"z_1[1,9]",0,0,2061.083755308074,Intercept,0,1548.9660451870263,"r_id[495,Intercept]",0,0,0,0.6509697489838799,0,TRUE
2,4,12000,62,0,1.0018175424069213,"r_id[495,Intercept]",0,0,1739.867173911155,"z_1[1,8]",0,1065.946735133339,"r_id[495,Intercept]",0,0,0,0.6689314854047816,0,TRUE
3,4,12000,62,0,1.0022496632283966,"z_1[1,12]",0,0,1786.8067762036735,"r_id[495,Intercept]",0,867.6235492235361,"r_id[495,Intercept]",0,0,0,0.6017314046726485,0,TRUE
4,4,12000,62,0,1.004383500841371,"z_1[1,12]",0,0,1773.587129495382,"r_id[495,Intercept]",0,903.6209165971757,"r_id[495,Intercept]",0,0,0,0.6697377436871869,0,TRUE
5,4,12000,62,0,1.0031294262051575,"z_1[1,20]",0,0,2273.071317456047,"z_1[1,19]",0,1523.0383478894216,"r_id[495,Intercept]",0,0,0,0.6168634970241976,0,TRUE
6,4,12000,62,0,1.0067536496226501,"r_id[495,Intercept]",0,0,1339.2633085496504,"r_id[495,Intercept]",0,558.8730430361026,"r_id[495,Intercept]",0,0,0,0.636522846296936,0,TRUE
7,4,12000,62,0,1.0066166949304807,"r_id[495,Intercept]",0,0,1113.2610417839494,"r_id[495,Intercept]",0,332.86513605263053,"r_id[495,Intercept]",2,0,0,0.6132668986164116,0,FALSE
8,4,12000,62,0,1.001669614869234,"r_id[495,Intercept]",0,0,1720.2763971070585,"r_id[495,Intercept]",0,771.8797992069794,"r_id[495,Intercept]",0,0,0,0.6453038987216726,0,TRUE
9,4,12000,62,0,1.003349029052094,"r_id[495,Intercept]",0,0,1910.849738314532,"r_id[495,Intercept]",0,853.7108551924828,"r_id[495,Intercept]",0,0,0,0.6729277303399522,0,TRUE
10,4,12000,62,0,1.0054167092620925,"z_1[1,20]",0,0,788.1963700416708,"r_id[495,Intercept]",0,214.22432171718702,"r_id[495,Intercept]",2,0,0,0.6494752667524649,0,FALSE
11,4,12000,62,0,1.0027422098196668,"r_id[495,Intercept]",0,0,922.4665885992013,"r_id[495,Intercept]",0,236.240882099705,"r_id[495,Intercept]",2,0,0,0.6097394228268253,0,FALSE
12,4,12000,62,0,1.0046986086590877,"r_id[495,Intercept]",0,0,1795.214540387763,"z_1[1,20]",0,876.9536920469387,"r_id[495,Intercept]",0,0,0,0.6934718703323066,0,TRUE
13,4,12000,62,0,1.0080798418784136,"r_id[495,Intercept]",0,0,1007.6573247488341,"r_id[495,Intercept]",0,445.54142759377464,"r_id[495,Intercept]",0,0,0,0.6600519261113058,0,TRUE
14,4,12000,62,0,1.004232151077967,"r_id[495,Intercept]",0,0,1061.1710725236244,"r_id[495,Intercept]",0,354.7487036142339,"r_id[495,Intercept]",1,0,0,0.6285707864187011,0,FALSE
15,4,12000,62,0,1.0045222278516968,sd_id__Intercept,0,0,887.3012696715388,"r_id[495,Intercept]",0,273.00730870295075,"r_id[495,Intercept]",2,0,0,0.6316291345747276,0,FALSE
16,4,12000,62,0,1.0055855536561449,"r_id[495,Intercept]",0,0,1433.2929242120947,"r_id[495,Intercept]",0,707.4298961939627,"r_id[495,Intercept]",0,0,0,0.6616540899548179,0,TRUE
17,4,12000,62,0,1.0028319082145183,"z_1[1,20]",0,0,1568.8716334299493,"r_id[495,Intercept]",0,726.5139848860184,"r_id[495,Intercept]",0,0,0,0.5899622029299976,0,TRUE
18,4,12000,62,0,1.0026798689259069,sd_id__Intercept,0,0,1518.1580007576413,"z_1[1,19]",0,950.7742951147486,"r_id[495,Intercept]",0,0,0,0.6879872481311234,0,TRUE
19,4,12000,62,0,1.0027643181872625,"z_1[1,20]",0,0,1272.0280611212502,"r_id[495,Intercept]",0,467.0989894963268,"r_id[495,Intercept]",0,0,0,0.6529284570695856,0,TRUE
20,4,12000,62,0,1.0025323605642893,"r_id[495,Intercept]",0,0,1469.5735403913436,"r_id[495,Intercept]",0,516.2720059294444,"r_id[495,Intercept]",0,0,0,0.606969464225426,0,TRUE
