imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.001907205748025,"r_id[445,Intercept]",0,0,1833.5859244833562,"r_id[495,Intercept]",0,1111.7988405135166,"r_id[495,Intercept]",0,0,0,0.6281533926806262,0,TRUE
2,4,12000,60,0,1.0026725720353673,"r_id[495,Intercept]",0,0,1825.9014699860181,"r_id[382,Intercept]",0,1996.4984783384855,"r_id[495,Intercept]",0,0,0,0.6489425912642972,0,TRUE
3,4,12000,60,0,1.0016673110610903,b_Intercept,0,0,2026.6144836413407,"z_1[1,19]",0,1519.9580653845235,"r_id[495,Intercept]",0,0,0,0.6745748156526533,0,TRUE
4,4,12000,60,0,1.001925171642918,"z_1[1,19]",0,0,1747.0671752389314,"r_id[495,Intercept]",0,1048.0898766369692,"r_id[495,Intercept]",0,0,0,0.6379323394915053,0,TRUE
5,4,12000,60,0,1.0020945943517598,sd_id__Intercept,0,0,2019.830431090995,"r_id[495,Intercept]",0,1712.1645770697637,"r_id[495,Intercept]",0,0,0,0.6596698813013536,0,TRUE
6,4,12000,60,0,1.002587580882451,"z_1[1,20]",0,0,1410.621579135086,"r_id[495,Intercept]",0,964.929686861595,"r_id[495,Intercept]",0,0,0,0.6579605155714418,0,TRUE
7,4,12000,60,0,1.0011914149710655,"r_id[374,Intercept]",0,0,1248.435711069752,"r_id[495,Intercept]",0,590.1896510553173,"r_id[495,Intercept]",0,0,0,0.6143021731023407,0,TRUE
8,4,12000,60,0,1.0060474796689232,"r_id[495,Intercept]",0,0,1108.6620024786948,"r_id[495,Intercept]",0,641.75229314848,"r_id[495,Intercept]",0,0,0,0.6628604767144283,0,TRUE
9,4,12000,60,0,1.0061827341765777,"r_id[495,Intercept]",0,0,1148.5914745462173,"r_id[495,Intercept]",0,547.9286646372504,"r_id[495,Intercept]",0,0,0,0.6562282914165207,0,TRUE
10,4,12000,60,0,1.0032925232937324,"z_1[1,12]",0,0,1647.2301050610774,"r_id[495,Intercept]",0,1121.8112851820442,"r_id[495,Intercept]",0,0,0,0.6822672667916428,0,TRUE
11,4,12000,60,0,1.0042172593927363,"r_id[495,Intercept]",0,0,1252.5279897506355,"r_id[495,Intercept]",0,573.9335505868376,"r_id[495,Intercept]",0,0,0,0.6399163192968832,0,TRUE
12,4,12000,60,0,1.0029990716668093,"r_id[495,Intercept]",0,0,1198.0890652819635,"r_id[495,Intercept]",0,606.0521922570467,"r_id[495,Intercept]",0,0,0,0.6195702320296551,0,TRUE
13,4,12000,60,0,1.0018719051182825,"z_1[1,20]",0,0,1216.2236897514479,"r_id[495,Intercept]",0,613.3484920605231,"r_id[495,Intercept]",0,0,0,0.6094974691227729,0,TRUE
14,4,12000,60,0,1.0031610630655423,"z_1[1,20]",0,0,1491.8677804684796,"r_id[495,Intercept]",0,963.0639678393517,"r_id[495,Intercept]",0,0,0,0.605250194223816,0,TRUE
15,4,12000,60,0,1.0016870013902062,"z_1[1,14]",0,0,1556.943397565105,"r_id[495,Intercept]",0,1232.8763950722039,"r_id[495,Intercept]",0,0,0,0.6701085617543306,0,TRUE
16,4,12000,60,0,1.0030788595843996,"z_1[1,20]",0,0,1283.896969543125,"r_id[495,Intercept]",0,680.4163509722487,"r_id[495,Intercept]",0,0,0,0.6515681012740788,0,TRUE
17,4,12000,60,0,1.0015444144722403,"r_id[382,Intercept]",0,0,1725.1418249947142,"r_id[495,Intercept]",0,1078.7672774088949,"r_id[495,Intercept]",0,0,0,0.6656445577465977,0,TRUE
18,4,12000,60,0,1.0018848754553071,"z_1[1,4]",0,0,2028.7750860698234,"r_id[495,Intercept]",0,1159.408961240078,"r_id[495,Intercept]",0,0,0,0.665158663103718,0,TRUE
19,4,12000,60,0,1.0033054966209842,"r_id[382,Intercept]",0,0,1743.9696416445372,"r_id[495,Intercept]",0,844.1012325496307,"r_id[495,Intercept]",0,0,0,0.6304640660834422,0,TRUE
20,4,12000,60,0,1.0030832827401948,"z_1[1,20]",0,0,1488.0682807113988,"r_id[495,Intercept]",0,744.2817613965977,"r_id[495,Intercept]",0,0,0,0.6425993795041391,0,TRUE
