imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.0028897727188073,"r_id[495,Intercept]",0,0,2272.4054453877948,"z_1[1,8]",0,1824.5826349523993,"r_id[495,Intercept]",0,0,0,0.6078378526981013,0,TRUE
2,4,12000,60,0,1.0033513638578393,"z_1[1,20]",0,0,1863.3634642985244,"r_id[495,Intercept]",0,919.9590639988842,"r_id[495,Intercept]",0,0,0,0.6196419202655488,0,TRUE
3,4,12000,60,0,1.0018072682157337,"z_1[1,20]",0,0,2104.103497143826,"r_id[495,Intercept]",0,1610.8854763576185,"r_id[495,Intercept]",0,0,0,0.6923998649425224,0,TRUE
4,4,12000,60,0,1.0028113792788782,"r_id[495,Intercept]",0,0,1986.7998850350914,"r_id[495,Intercept]",0,985.5947145504329,"r_id[495,Intercept]",0,0,0,0.6537265908314045,0,TRUE
5,4,12000,60,0,1.003112439987486,"r_id[43,Intercept]",0,0,2200.54284405947,"z_1[1,19]",0,1302.7997492007662,"r_id[495,Intercept]",0,0,0,0.6466216884721043,0,TRUE
6,4,12000,60,0,1.0025834218634246,"z_1[1,19]",0,0,1540.3456891684862,"r_id[495,Intercept]",0,750.9139852345661,"r_id[495,Intercept]",0,0,0,0.6280113573683229,0,TRUE
7,4,12000,60,0,1.0030586289915269,"z_1[1,8]",0,0,1302.138189152307,"r_id[495,Intercept]",0,612.1507389852299,"r_id[495,Intercept]",0,0,0,0.6188103516285643,0,TRUE
8,4,12000,60,0,1.0030192925973676,"z_1[1,20]",0,0,1553.4621761194742,"r_id[495,Intercept]",0,750.3253380232813,"r_id[495,Intercept]",0,0,0,0.6619207891645931,0,TRUE
9,4,12000,60,0,1.0023996472457672,b_Intercept,0,0,1499.6543763594334,"r_id[495,Intercept]",0,693.1888310013848,"r_id[495,Intercept]",0,0,0,0.6554335541501092,0,TRUE
10,4,12000,60,0,1.0021027181955653,"z_1[1,20]",0,0,1432.6904658201586,"r_id[495,Intercept]",0,703.6410438513527,"r_id[495,Intercept]",0,0,0,0.6532709071868199,0,TRUE
11,4,12000,60,0,1.0035672923728967,"r_id[495,Intercept]",0,0,1506.7174077286925,"r_id[495,Intercept]",0,720.153833329165,"r_id[495,Intercept]",0,0,0,0.6590232272762335,0,TRUE
12,4,12000,60,0,1.0028313238700994,"z_1[1,20]",0,0,1233.404397286947,"r_id[495,Intercept]",0,624.7072181580199,"r_id[495,Intercept]",0,0,0,0.6531353601511416,0,TRUE
13,4,12000,60,0,1.003709995073462,"r_id[495,Intercept]",0,0,1100.2668956395557,"r_id[495,Intercept]",0,372.8500029774992,"r_id[495,Intercept]",1,0,0,0.6692311389907909,0,FALSE
14,4,12000,60,0,1.0053959822852998,"z_1[1,20]",0,0,701.6585156925216,"z_1[1,20]",0,208.50626482750414,"r_id[495,Intercept]",2,0,0,0.6662902785521799,0,FALSE
15,4,12000,60,0,1.0037297242304324,"r_id[495,Intercept]",0,0,1367.5069624891084,"r_id[495,Intercept]",0,657.4277014601026,"r_id[495,Intercept]",0,0,0,0.661339942520679,0,TRUE
16,4,12000,60,0,1.0041029631603424,"r_id[495,Intercept]",0,0,1256.3958856768286,"r_id[495,Intercept]",0,470.11359273476234,"r_id[495,Intercept]",0,0,0,0.6694555080895601,0,TRUE
17,4,12000,60,0,1.0019823808229777,"r_id[495,Intercept]",0,0,1901.2327458272007,"r_id[495,Intercept]",0,977.3194006950733,"r_id[495,Intercept]",0,0,0,0.6688543996138565,0,TRUE
18,4,12000,60,0,1.0025650470092051,"z_1[1,20]",0,0,1649.0148041792204,"r_id[495,Intercept]",0,656.7244025594573,"r_id[495,Intercept]",0,0,0,0.6502449261223775,0,TRUE
19,4,12000,60,0,1.005415194662343,"r_id[495,Intercept]",0,0,642.2349510711668,"r_id[495,Intercept]",0,171.86962323568278,"r_id[495,Intercept]",2,0,0,0.6262784180556433,0,FALSE
20,4,12000,60,0,1.0029171590257517,"r_id[495,Intercept]",0,0,1679.6875008540865,"r_id[495,Intercept]",0,607.8570232182196,"r_id[495,Intercept]",0,0,0,0.6707719918206564,0,TRUE
