imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,71,0,1.0037800954328067,"z_1[1,12]",0,0,712.3371132836498,"r_id[382,Intercept]",0,1192.181457015229,"r_id[495,Intercept]",0,0,0,0.6727269379969513,0,TRUE
2,4,20000,71,0,1.0026781009795656,"r_id[382,Intercept]",0,0,924.7159551830273,"r_id[382,Intercept]",0,2231.9885227032796,"r_id[495,Intercept]",0,0,0,0.660430918057451,0,TRUE
3,4,20000,71,0,1.0040822694739584,"z_1[1,12]",0,0,971.5373713635603,"r_id[382,Intercept]",0,2195.088344646495,"r_id[495,Intercept]",0,0,0,0.7020770075956677,0,TRUE
4,4,20000,71,0,1.0087249963484244,"r_id[382,Intercept]",0,0,937.5889164402772,"r_id[382,Intercept]",0,878.9793586631101,"r_id[495,Intercept]",0,0,0,0.6579273059931472,0,TRUE
5,4,20000,71,0,1.0062178981707144,"r_id[382,Intercept]",0,0,920.701975366171,"r_id[382,Intercept]",0,1358.905772555815,"r_id[495,Intercept]",0,0,0,0.6694887413272873,0,TRUE
6,4,20000,71,0,1.0038341188912911,"r_id[382,Intercept]",0,0,770.9702480367729,"r_id[382,Intercept]",0,1016.819219510253,"r_id[495,Intercept]",0,0,0,0.64803735160704945,0,TRUE
7,4,20000,71,0,1.0038219523797696,"r_id[382,Intercept]",0,0,831.2361341437407,"r_id[382,Intercept]",0,649.086489509836,"r_id[495,Intercept]",0,0,0,0.6647725134774404,0,TRUE
8,4,20000,71,0,1.0042544621930092,"r_id[382,Intercept]",0,0,1012.9497005673912,"r_id[382,Intercept]",0,1015.7779503101834,"r_id[495,Intercept]",0,0,0,0.6448791308278451,0,TRUE
9,4,20000,71,0,1.013522610470281,"r_id[382,Intercept]",2,0,520.6248755199223,"r_id[382,Intercept]",0,922.9009194601537,"r_id[495,Intercept]",0,0,0,0.6687562745948356,0,FALSE
10,4,20000,71,0,1.0033981601326938,"r_id[382,Intercept]",0,0,1210.8401378190526,"r_id[382,Intercept]",0,2383.7767433872873,"r_id[495,Intercept]",0,0,0,0.7049037290636375,0,TRUE
11,4,20000,71,0,1.003885753171902,"r_id[382,Intercept]",0,0,954.0090003858035,"r_id[382,Intercept]",0,749.1538641682648,"r_id[495,Intercept]",0,0,0,0.6859137564925111,0,TRUE
12,4,20000,71,0,1.0067058350409095,"z_1[1,12]",0,0,708.4335372694371,"r_id[382,Intercept]",0,476.10105891825594,"r_id[495,Intercept]",0,0,0,0.6703866264166152,0,TRUE
13,4,20000,71,0,1.0023214242220932,"r_id[382,Intercept]",0,0,691.1665152931395,"r_id[382,Intercept]",0,364.61891212860314,"r_id[495,Intercept]",1,0,0,0.6679481572382889,0,FALSE
14,4,20000,71,0,1.0038216111890435,"z_1[1,12]",0,0,961.0617604216818,"r_id[382,Intercept]",0,1085.6452190524158,"r_id[495,Intercept]",0,0,0,0.6732102837018311,0,TRUE
15,4,20000,71,0,1.0031588638440059,"z_1[1,12]",0,0,1160.777765162312,"r_id[382,Intercept]",0,1322.8251656031723,"r_id[495,Intercept]",0,0,0,0.6586676128804647,0,TRUE
16,4,20000,71,0,1.0096261161581122,"r_id[382,Intercept]",0,0,983.541416722439,"r_id[382,Intercept]",0,1126.519944608545,"r_id[495,Intercept]",0,0,0,0.6732917849633993,0,TRUE
17,4,20000,71,0,1.0042593454670568,"r_id[382,Intercept]",0,0,882.3265340150567,"r_id[382,Intercept]",0,1362.073965041143,"r_id[495,Intercept]",0,0,0,0.706504439237453,0,TRUE
18,4,20000,71,0,1.0039770077122898,"r_id[382,Intercept]",0,0,1062.0583325024097,"r_id[382,Intercept]",0,620.6647827946098,"r_id[495,Intercept]",0,0,0,0.6677188465751848,0,TRUE
19,4,20000,71,0,1.0135164135271522,"r_id[382,Intercept]",2,0,632.2226190247127,"r_id[382,Intercept]",0,546.2448131925752,"r_id[495,Intercept]",0,0,0,0.6616243729654353,0,FALSE
20,4,20000,71,0,1.010539375650224,"r_id[382,Intercept]",1,0,886.0111082002151,"r_id[382,Intercept]",0,782.2437716197704,"r_id[495,Intercept]",0,0,0,0.6631387310218578,0,FALSE
