model,param,median,lower,upper
null,tau,1.17675255,0.88253299275,1.6381493724999998
null,tau2,1.3847465639315248,0.7788644832922831,2.683533366625039
activity,tau,1.0971742500000001,0.80453034675,1.55991276
activity,tau2,1.203791334894985,0.647269078841682,2.4333278188134537
duration,tau,1.18986605,0.8843510975,1.65835286
duration,tau2,1.415781216943505,0.7820768636498643,2.750134208271178
modality,tau,1.15910175,0.870034341,1.6166586649999999
modality,tau2,1.3435168668537851,0.7569597545195477,2.6135852391280148
algorithm,tau,1.1880316,0.8851684385,1.6545896575
algorithm,tau2,1.4114190825989201,0.7835231645176756,2.737666934706096
multimodal,tau,1.166976,0.8721547945000001,1.6240397899999997
multimodal,tau2,1.36183298457649,0.760653985569693,2.6375052395046508
feature_type,tau,1.1539819,0.858948542,1.6116857649999998
feature_type,tau2,1.3316742255343699,0.7377925978069398,2.5975310051160845
intruders,tau,1.1719588,0.8791883435000001,1.6308761099999998
intruders,tau2,1.3734874288975298,0.7729721433470008,2.6597568861692036
full,tau,1.1440848,0.8363874402500002,1.6147385149999993
full,tau2,1.3089300295910398,0.699543950217302,2.6073804718347464
