predictor,estimate,conf_low,conf_high,df,M_eff,Ubar,B,T
multimodal,0.37,0.16,0.64,19,20,0.28,0,0.28
intruders,0.96,0,1,569570411585537100,20,37,0,37
multiC,0.48,0.1,0.88,133176314.22,20,1.15,0,1.15
everyC,0.99,0.66,1,90687.89,20,3.66,0.05,3.71
multiD,1,0.04,1,21.22,20,1.29,21.63,24.01
manyD,0.62,0.01,1,503.65,20,5.83,1.34,7.24
logn,0.96,0.69,1,19,20,1.2,0,1.2
ECG,0.99,0.24,1,19,20,6.63,0,6.63
PPG,0.95,0.67,0.99,19,20,1.06,0,1.06
dl,0.9,0.41,0.99,19,20,1.48,0,1.48
dl_temp,0.98,0.69,1,19,20,1.88,0,1.88
tree,0.53,0.14,0.89,19,20,0.88,0,0.88
kernel,0.92,0,1,19,20,14.68,0,14.68
