imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,59,0,1.0013317527234853,"z_1[1,12]",0,0,3362.1094088123346,"r_id[495,Intercept]",0,2997.701111220373,"r_id[495,Intercept]",0,0,0,0.6599165196937681,0,TRUE
2,4,20000,59,0,1.0012096065506821,"r_id[495,Intercept]",0,0,2943.2477197961744,"z_1[1,8]",0,4043.4755301204386,"r_id[495,Intercept]",0,0,0,0.6619796072947596,0,TRUE
3,4,20000,59,0,1.0017327467096477,"r_id[495,Intercept]",0,0,2683.742850749844,"r_id[495,Intercept]",0,2280.9090399098263,"r_id[495,Intercept]",0,0,0,0.6619430833729264,0,TRUE
4,4,20000,59,0,1.0014599609994783,"r_id[382,Intercept]",0,0,1781.5422373840127,"r_id[495,Intercept]",0,670.6756062785415,"r_id[495,Intercept]",0,0,0,0.6635653966485213,0,TRUE
5,4,20000,59,0,1.0032831389885069,"z_1[1,19]",0,0,2830.928779221241,"z_1[1,19]",0,4371.153741579902,"z_1[1,12]",0,0,0,0.6689171672140405,0,TRUE
6,4,20000,59,0,1.0013840796075248,"r_id[495,Intercept]",0,0,2526.1446975067624,"r_id[495,Intercept]",0,1257.7637352560255,"r_id[495,Intercept]",0,0,0,0.6615986101635994,0,TRUE
7,4,20000,59,0,1.0036240007141972,"r_id[495,Intercept]",0,0,1546.2492619886643,"r_id[495,Intercept]",0,640.4555112979011,"r_id[495,Intercept]",0,0,0,0.639450850458891,0,TRUE
8,4,20000,59,0,1.0013375635913997,"r_id[382,Intercept]",0,0,3059.7045492016714,"z_1[1,19]",0,2771.1804448699636,"r_id[495,Intercept]",0,0,0,0.674401938073735,0,TRUE
9,4,20000,59,0,1.0028594157102577,sd_id__Intercept,0,0,1626.5088872701226,"r_id[495,Intercept]",0,619.6417308551198,"r_id[495,Intercept]",0,0,0,0.6772486271606122,0,TRUE
10,4,20000,59,0,1.0019333811640794,"z_1[1,12]",0,0,2040.5262630327998,"r_id[495,Intercept]",0,1180.2759782317999,"r_id[495,Intercept]",0,0,0,0.6374986950792468,0,TRUE
11,4,20000,59,0,1.0022190373684117,"r_id[495,Intercept]",0,0,1850.5451180589066,"r_id[495,Intercept]",0,715.2768197774518,"r_id[495,Intercept]",0,0,0,0.6224609830044141,0,TRUE
12,4,20000,59,0,1.0025413340529352,"r_id[495,Intercept]",0,0,2022.6966526336664,"r_id[495,Intercept]",0,1148.8368728459707,"r_id[495,Intercept]",0,0,0,0.645345736542072,0,TRUE
13,4,20000,59,0,1.0023819108176966,"r_id[495,Intercept]",0,0,2087.994204881777,"r_id[495,Intercept]",0,937.0847218685367,"r_id[495,Intercept]",0,0,0,0.6631649764969335,0,TRUE
14,4,20000,59,0,1.0019550883350015,sd_id__Intercept,0,0,1852.47246571117,"r_id[495,Intercept]",0,783.7485667053542,"r_id[495,Intercept]",0,0,0,0.6728226477601835,0,TRUE
15,4,20000,59,0,1.0027449383693867,"z_1[1,20]",0,0,1911.6074159822053,"r_id[495,Intercept]",0,758.8905373783041,"r_id[495,Intercept]",0,0,0,0.6421654051785528,0,TRUE
16,4,20000,59,0,1.0052601770397858,"r_id[495,Intercept]",0,0,1567.9317219217717,"r_id[495,Intercept]",0,565.9371720353225,"z_1[1,20]",0,0,0,0.649097938932387,0,TRUE
17,4,20000,59,0,1.0038885336328651,b_Intercept,0,0,2469.9439568563666,"r_id[495,Intercept]",0,1241.4523498589617,"r_id[495,Intercept]",0,0,0,0.6502890459605103,0,TRUE
18,4,20000,59,0,1.002746533935211,"z_1[1,20]",0,0,2247.5637267284305,"r_id[495,Intercept]",0,956.4808493093615,"r_id[495,Intercept]",0,0,0,0.6541266444749158,0,TRUE
19,4,20000,59,0,1.003704623971368,"z_1[1,20]",0,0,1579.776675279604,"r_id[495,Intercept]",0,626.132449505682,"r_id[495,Intercept]",0,0,0,0.6636049743495439,0,TRUE
20,4,20000,59,0,1.00160029625898,"z_1[1,4]",0,0,2385.3089834639322,"r_id[495,Intercept]",0,1327.2553846222443,"r_id[495,Intercept]",0,0,0,0.6946676926492816,0,TRUE
