experiment_id,source_row,stable_key,id,experience,modality,conditions,permanence,algorithm_family,number_of_individuals,n,logn,outcome_source,outcome_percent,outcome_probability,outcome_probability_corrected,boundary_epsilon,outcome_decision_note,uncertainty_reported_source,uncertainty_reported_percent,se_provenance_category,se_conversion_denominator,uncertainty_exclusion_flag,se_decision_note,mean,ylogit,se,se2,se_logit,has_se,se2_logit,has_se2,ECG,PPG,Other,multimodal,algo,algo_other,intruders,activity,duration,auth_time,enrol_time,device,device_location,feature_type,feature_dim,dim_reduction,noise_reduction,segmentation_type,normalizationyn,filteringyn,external_validation
28_,1,28|,28,,PPG,one condition,low (one day),dl_temp,15,15,-0.3372087235881264,converted EER,95.2,0.9520000000000001,0.9520000000000001,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.9520000000000001,2.987364023883476,,,0,0,0,0,0,1,0,0,dl_temp,LSTM,intruders,one condition,low (one day),64 PPG readings,5 min,Empatica E4,wrist,deep,,no,none,none,yes,no,14 intruders
36_Hexoskin-M50-NB,2,36|Hexoskin M50 NB,36,Hexoskin M50 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,75.38,0.7537999999999999,0.7537999999999999,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7537999999999999,1.1189828670826814,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,837 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-M40-NB,3,36|Hexoskin M40 NB,36,Hexoskin M40 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,78.91,0.7890999999999999,0.7890999999999999,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7890999999999999,1.3195089680422598,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,1005 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-M30-NB,4,36|Hexoskin M30 NB,36,Hexoskin M30 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,81.73,0.8173,0.8173,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.8173,1.4981607611381231,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,1172 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E50-NB,5,36|Hexoskin E50 NB,36,Hexoskin E50 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,73.96000000000001,0.7396,0.7396,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7396,1.0438905891785557,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,837 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E40-NB,6,36|Hexoskin E40 NB,36,Hexoskin E40 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,77.95,0.7795000000000001,0.7795000000000001,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7795000000000001,1.262754993610931,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,1005 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E30-NB,7,36|Hexoskin E30 NB,36,Hexoskin E30 NB,ECG,multiple conditions,low (one day),Other algorithm,13,13,-0.5767528973640305,converted EER,79.62,0.7962,0.7962,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7962,1.3627112897775924,,,0,0,0,0,1,0,0,0,Other algorithm,NB,intruders,multiple conditions,low (one day),4s,1172 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-M50-DT,8,36|Hexoskin M50 DT,36,Hexoskin M50 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,69.13,0.6912999999999999,0.6912999999999999,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.6912999999999999,0.8062039514431053,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,837 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-M40-DT,9,36|Hexoskin M40 DT,36,Hexoskin M40 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,73.36,0.7336,0.7336,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7336,1.0129649822760212,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,1005 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-M30-DT,10,36|Hexoskin M30 DT,36,Hexoskin M30 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,74.58,0.7458,0.7458,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7458,1.0763361089893668,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,1172 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E50-DT,11,36|Hexoskin E50 DT,36,Hexoskin E50 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,68.33,0.6833,0.6833,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.6833,0.7689790482421386,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,837 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E40-DT,12,36|Hexoskin E40 DT,36,Hexoskin E40 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,70.67,0.7067,0.7067,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7067,0.8794102717134032,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,1005 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
36_Hexoskin-E30-DT,13,36|Hexoskin E30 DT,36,Hexoskin E30 DT,ECG,multiple conditions,low (one day),tree,13,13,-0.5767528973640305,converted EER,73.59,0.7359,0.7359,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.7359,1.0247664206294669,,,0,0,0,0,1,0,0,0,tree,DT,intruders,multiple conditions,low (one day),4s,1172 samples,Hexoskin Hx1,chest/torso,handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",window,no,yes,3 intruders
43_,14,43|,43,,ECG,,,dl,47,47,1.574609342888001,converted EER,97.89,0.9789,0.9789,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.,0.9789,3.8371564517853636,,,0,0,0,0,1,0,0,0,dl,CNN,,,,single heartbeat,,own device,wrist,handcrafted,,no,FIR bandpass filter to remove baseline wander and environmental noises. (ii) time-sharing re-configurable “QRS” peak detection engine (PDE),beat,yes,yes,?
