variable,source,definition
experiment_id,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
source_row,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
stable_key,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
id,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
experience,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
modality,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
conditions,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
permanence,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
algorithm_family,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
number_of_individuals,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
n,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
logn,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
outcome_source,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
outcome_percent,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
outcome_probability,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
outcome_probability_corrected,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
boundary_epsilon,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
