imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.0030452327972426,"r_id[382,Intercept]",0,0,2168.602129788361,"z_1[1,12]",0,2278.917854033603,"z_1[1,20]",0,0,0,0.6773585632880192,0,TRUE
2,4,12000,60,0,1.0027499305741032,"z_1[1,12]",0,0,1907.337741834905,"z_1[1,12]",0,1832.848978486845,"r_id[495,Intercept]",0,0,0,0.6810813445523698,0,TRUE
3,4,12000,60,0,1.0020887739703424,"z_1[1,12]",0,0,1618.0820300822875,"r_id[495,Intercept]",0,913.5712790261093,"r_id[495,Intercept]",0,0,0,0.68781494399351,0,TRUE
4,4,12000,60,0,1.0030383247338923,"r_id[495,Intercept]",0,0,1541.8226073320386,"r_id[495,Intercept]",0,715.1415274300656,"r_id[495,Intercept]",0,0,0,0.6703710745525433,0,TRUE
5,4,12000,60,0,1.00259401865548,b_PPG,0,0,2106.8370649994836,"z_1[1,12]",0,1513.0653009771631,"r_id[495,Intercept]",0,0,0,0.65771255335597,0,TRUE
6,4,12000,60,0,1.0020455379971471,b_ECG,0,0,2190.6383092674546,"z_1[1,12]",0,2820.688720281449,"z_1[1,12]",0,0,0,0.6459704167563176,0,TRUE
7,4,12000,60,0,1.0037789663369634,"z_1[1,12]",0,0,1814.4268268207115,"r_id[495,Intercept]",0,1203.2065713856514,"r_id[495,Intercept]",0,0,0,0.6742417524542279,0,TRUE
8,4,12000,60,0,1.0018090838806737,"z_1[1,4]",0,0,2196.067519846844,"z_1[1,19]",0,2819.9954972156843,"r_id[495,Intercept]",0,0,0,0.7032391451727086,0,TRUE
9,4,12000,60,0,1.0056978432937065,"r_id[495,Intercept]",0,0,1270.7398594642734,"r_id[495,Intercept]",0,624.5619199041407,"r_id[495,Intercept]",0,0,0,0.6616977773554187,0,TRUE
10,4,12000,60,0,1.0031765614136696,"r_id[495,Intercept]",0,0,1776.075575128503,"z_1[1,20]",0,1091.3272594912116,"r_id[495,Intercept]",0,0,0,0.6408346059426079,0,TRUE
11,4,12000,60,0,1.0039707113232976,"z_1[1,20]",0,0,1532.5199515319416,"r_id[495,Intercept]",0,725.2689980742445,"r_id[495,Intercept]",0,0,0,0.5946665431847458,0,TRUE
12,4,12000,60,0,1.0026561537300756,"z_1[1,17]",0,0,1826.5898656512506,"z_1[1,12]",0,2047.8775148670645,"r_id[495,Intercept]",0,0,0,0.634546406386325,0,TRUE
13,4,12000,60,0,1.0030368040945752,"r_id[495,Intercept]",0,0,1736.4320189750426,"z_1[1,12]",0,1490.001104872611,"r_id[495,Intercept]",0,0,0,0.657420429954354,0,TRUE
14,4,12000,60,0,1.0020407824771271,"z_1[1,10]",0,0,2385.0657926963077,"z_1[1,8]",0,1886.1855477852512,"r_id[495,Intercept]",0,0,0,0.6870524825050738,0,TRUE
15,4,12000,60,0,1.0062251541089906,"z_1[1,19]",0,0,1993.7544190616059,"z_1[1,8]",0,1366.4160613675144,"r_id[495,Intercept]",0,0,0,0.6746660260676484,0,TRUE
16,4,12000,60,0,1.0015798561894456,"z_1[1,19]",0,0,1972.3280708216162,"z_1[1,19]",0,2169.407796629889,"r_id[495,Intercept]",0,0,0,0.6818736677402062,0,TRUE
17,4,12000,60,0,1.003343847798684,"z_1[1,20]",0,0,2002.0088895213737,"r_id[495,Intercept]",0,1313.8633153300589,"r_id[495,Intercept]",0,0,0,0.6650177962023444,0,TRUE
18,4,12000,60,0,1.003246011721776,"z_1[1,20]",0,0,2255.1149778517233,"z_1[1,12]",0,2777.845725635009,"r_id[495,Intercept]",0,0,0,0.699870048332348,0,TRUE
19,4,12000,60,0,1.0033577767393054,Intercept,0,0,1493.5084653152549,"r_id[495,Intercept]",0,704.3669766346911,"z_1[1,20]",0,0,0,0.6731572313772728,0,TRUE
20,4,12000,60,0,1.0028508911370027,b_Intercept,0,0,1968.6118257702767,"z_1[1,20]",0,1030.1471791384383,"r_id[495,Intercept]",0,0,0,0.6905220355313394,0,TRUE
