imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,59,0,1.003474157089581,"r_id[382,Intercept]",0,0,697.1388218159026,"r_id[382,Intercept]",0,822.0336434821745,"r_id[495,Intercept]",0,0,0,0.6231990200554095,0,TRUE
2,4,20000,59,0,1.004385169776286,"z_1[1,12]",0,0,705.1282844744165,"r_id[382,Intercept]",0,1481.2831579669228,"r_id[495,Intercept]",0,0,0,0.6534794898322321,0,TRUE
3,4,20000,59,0,1.0054960263216433,"r_id[382,Intercept]",0,0,794.2204499014202,"r_id[382,Intercept]",0,2346.0499021109945,"z_1[1,12]",0,0,0,0.6496102239169951,0,TRUE
4,4,20000,59,0,1.0062936212335492,"r_id[382,Intercept]",0,0,534.0191184999535,"r_id[382,Intercept]",0,1101.767559918108,"r_id[495,Intercept]",0,0,0,0.6427666945994045,0,TRUE
5,4,20000,59,0,1.0077891505260566,"r_id[382,Intercept]",0,0,636.7018621226933,"r_id[382,Intercept]",0,1635.9097504757171,"z_1[1,12]",0,0,0,0.649711090086222,0,TRUE
6,4,20000,59,0,1.0104507531281146,"z_1[1,12]",2,0,512.9910881083015,"r_id[382,Intercept]",0,1218.8962491072873,"r_id[495,Intercept]",0,0,0,0.6462378161952537,0,FALSE
7,4,20000,59,0,1.0030508897151589,"r_id[382,Intercept]",0,0,675.5577185297152,"r_id[382,Intercept]",0,504.0587127645118,"r_id[495,Intercept]",0,0,0,0.6208473932422853,0,TRUE
8,4,20000,59,0,1.0045198677343778,"r_id[382,Intercept]",0,0,604.9063935304708,"r_id[382,Intercept]",0,1884.6888793705302,"r_id[495,Intercept]",0,0,0,0.6029491600795391,0,TRUE
9,4,20000,59,0,1.0071758529671004,"z_1[1,12]",0,0,566.4161722472671,"r_id[382,Intercept]",0,381.36106729424256,"r_id[495,Intercept]",1,0,0,0.6410598738397726,0,FALSE
10,4,20000,59,0,1.0057779442253783,"r_id[382,Intercept]",0,0,578.2765506056858,"r_id[382,Intercept]",0,1221.4693228561296,"r_id[382,Intercept]",0,0,0,0.6339474078855547,0,TRUE
11,4,20000,59,0,1.0043364989663057,"r_id[382,Intercept]",0,0,527.7528646542037,"r_id[382,Intercept]",0,379.08657419536445,"r_id[495,Intercept]",1,0,0,0.6422703480587458,0,FALSE
12,4,20000,59,0,1.00913962633969,"r_id[382,Intercept]",0,0,702.961405119242,"r_id[382,Intercept]",0,1898.3691950037844,"r_id[495,Intercept]",0,0,0,0.6894933178662542,0,TRUE
13,4,20000,59,0,1.003016139939075,"z_1[1,12]",0,0,719.9534878151488,"r_id[382,Intercept]",0,824.2430148570467,"r_id[495,Intercept]",0,0,0,0.6391802856964469,0,TRUE
14,4,20000,59,0,1.0027409425888543,"z_1[1,12]",0,0,843.4753013702066,"r_id[382,Intercept]",0,502.06823683590125,"r_id[495,Intercept]",0,0,0,0.6230963391741517,0,TRUE
15,4,20000,59,0,1.0073234222105938,"r_id[495,Intercept]",0,0,871.644199865291,"r_id[382,Intercept]",0,438.5539220497,"r_id[495,Intercept]",0,0,0,0.5869889592538775,0,TRUE
16,4,20000,59,0,1.0057301521014987,"r_id[382,Intercept]",0,0,681.7496214792918,"r_id[382,Intercept]",0,427.881158462972,"r_id[495,Intercept]",0,0,0,0.6154210487626285,0,TRUE
17,4,20000,59,0,1.0044314436465243,"r_id[382,Intercept]",0,0,857.7754023872124,"r_id[382,Intercept]",0,1009.9225641145468,"r_id[495,Intercept]",0,0,0,0.6277664994765758,0,TRUE
18,4,20000,59,0,1.0053477281435983,"r_id[382,Intercept]",0,0,951.9415817252567,"r_id[382,Intercept]",0,449.716080397657,"r_id[495,Intercept]",0,0,0,0.6243802723352857,0,TRUE
19,4,20000,59,0,1.0145569267454435,"r_id[382,Intercept]",2,0,631.6410061630748,"z_1[1,12]",0,463.32081649188353,"r_id[495,Intercept]",0,0,0,0.6377295374852926,0,FALSE
20,4,20000,59,0,1.0062299411444817,"z_1[1,12]",0,0,705.3086026718089,"r_id[382,Intercept]",0,632.3047624915864,"r_id[495,Intercept]",0,0,0,0.6497130773697029,0,TRUE
