imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,58,0,1.0042353450374377,"z_1[1,20]",0,0,1303.714478200712,"r_id[495,Intercept]",0,697.9836080193184,"r_id[495,Intercept]",0,0,0,0.6021942081991989,0,TRUE
2,4,12000,58,0,1.0032770264798627,"r_id[495,Intercept]",0,0,1668.7666062367418,"z_1[1,19]",0,1249.261371318,"r_id[495,Intercept]",0,0,0,0.6305191765231143,0,TRUE
3,4,12000,58,0,1.0055130737454094,"z_1[1,19]",0,0,1565.4064399039985,"z_1[1,8]",0,1603.9154633852702,"r_id[495,Intercept]",0,0,0,0.6600592549367916,0,TRUE
4,4,12000,58,0,1.0029783742949452,"r_id[495,Intercept]",0,0,1682.3963409533508,"z_1[1,8]",0,1326.9735317531276,"r_id[495,Intercept]",0,0,0,0.6272555563809904,0,TRUE
5,4,12000,58,0,1.0016217999044004,"z_1[1,12]",0,0,1781.0835088437593,"z_1[1,19]",0,1129.4008535103465,"r_id[495,Intercept]",0,0,0,0.6074642051308929,0,TRUE
6,4,12000,58,0,1.0026538518551766,"r_id[495,Intercept]",0,0,1156.572976462322,"r_id[495,Intercept]",0,498.6196452653857,"r_id[495,Intercept]",0,0,0,0.6568847110036177,0,TRUE
7,4,12000,58,0,1.0050263292018897,"r_id[495,Intercept]",0,0,1044.0105971565465,"r_id[495,Intercept]",0,542.1684278339642,"r_id[495,Intercept]",0,0,0,0.6481043829584064,0,TRUE
8,4,12000,58,0,1.004068744635259,"r_id[495,Intercept]",0,0,1580.7789116999363,"r_id[486,Intercept]",0,1404.3522098236483,"r_id[495,Intercept]",0,0,0,0.6279769443036802,0,TRUE
9,4,12000,58,0,1.0050067644310807,"z_1[1,12]",0,0,1393.63154255843,"r_id[495,Intercept]",0,1169.8996149506079,"r_id[495,Intercept]",0,0,0,0.6533975589253516,0,TRUE
10,4,12000,58,0,1.009605245449811,"r_id[495,Intercept]",0,0,717.6231024281974,"r_id[495,Intercept]",0,285.8961662838688,"r_id[495,Intercept]",2,0,0,0.6437677820245199,0,FALSE
11,4,12000,58,0,1.0051346920695463,"z_1[1,20]",0,0,1111.3037964848477,"r_id[495,Intercept]",0,699.5463181285044,"r_id[495,Intercept]",0,0,0,0.6307780081431273,0,TRUE
12,4,12000,58,0,1.0068837108218984,"r_id[495,Intercept]",0,0,833.7157742971151,"r_id[495,Intercept]",0,250.169955743905,"r_id[495,Intercept]",2,0,0,0.6401631047284841,0,FALSE
13,4,12000,58,0,1.0036759664166648,"r_id[495,Intercept]",0,0,1424.643842626453,"z_1[1,19]",0,1114.2430648832335,"r_id[495,Intercept]",0,0,0,0.6291590377048605,0,TRUE
14,4,12000,58,0,1.0047927761620963,"r_id[495,Intercept]",0,0,837.4473529659961,"r_id[495,Intercept]",0,314.53776256907264,"r_id[495,Intercept]",2,0,0,0.6640857326994266,0,FALSE
15,4,12000,58,0,1.0045471719359194,"r_id[495,Intercept]",0,0,1388.7022729362209,"r_id[495,Intercept]",0,995.3498740125818,"r_id[495,Intercept]",0,0,0,0.6131002825649075,0,TRUE
16,4,12000,58,0,1.006425330659033,"r_id[495,Intercept]",0,0,799.4172222248255,"r_id[495,Intercept]",0,259.0906623166814,"r_id[495,Intercept]",2,0,0,0.6387926595604321,0,FALSE
17,4,12000,58,0,1.0027119642030258,"z_1[1,20]",0,0,1472.8363668869888,"z_1[1,19]",0,1301.2475745700608,"r_id[495,Intercept]",0,0,0,0.5682434080786841,0,TRUE
18,4,12000,58,0,1.0048693305878202,"z_1[1,16]",0,0,1109.4510725803582,"r_id[495,Intercept]",0,466.88493108519265,"r_id[495,Intercept]",0,0,0,0.6462108753694485,0,TRUE
19,4,12000,58,0,1.0037382249700701,"z_1[1,19]",0,0,1293.7785306594044,"r_id[495,Intercept]",0,651.3005459564209,"r_id[495,Intercept]",0,0,0,0.6603143592074058,0,TRUE
20,4,12000,58,0,1.0039599651047872,"r_id[495,Intercept]",0,0,993.5621745593603,"r_id[495,Intercept]",0,457.2968441610393,"r_id[495,Intercept]",0,0,0,0.6123061431495872,0,TRUE
