construct,level,marg_med,marg_lo,marg_hi,adj_med,adj_lo,adj_hi
Modality,Other,0.8432386065317754,0.7583704278475237,0.9015539137733206,0.8426490832946297,0.7431119119005435,0.9093393715982161
Modality,ECG,0.8992428785022741,0.8249504069629663,0.941325405404596,0.8976862027268493,0.8163681293295499,0.9438734585125881
Modality,PPG,0.8728585040527288,0.8003462425166529,0.9213122277958075,0.8684795882833138,0.781141297530534,0.9253503415159583
Algorithm family,Other algorithm,0.8802050805271633,0.8100929131179171,0.9249302444168085,0.8426490832946297,0.7431119119005435,0.9093393715982161
Algorithm family,Deep learning,0.8795060592875316,0.8095636617842619,0.9244349645583962,0.8458938718498736,0.7477695277772736,0.9113580968583836
Algorithm family,Temporal deep learning,0.8851500869150086,0.8100044902214184,0.9319678281449842,0.8552785727231846,0.7468369865413642,0.9265137765428219
Algorithm family,Tree-based methods,0.8819021274321514,0.8122692868641722,0.9264696464117828,0.8490762745413005,0.7522148333939491,0.9134231592109407
Algorithm family,Kernel-based methods,0.8666236640913019,0.776749673466328,0.921989200825983,0.8225760329479088,0.7019114893983079,0.9017108417528721
Study duration,low (one day),0.879609834906077,0.8093902089834644,0.9254371912104155,0.8426490832946297,0.7431119119005435,0.9093393715982161
Study duration,medium (multiple days),0.8787776326452639,0.7537331171527303,0.9430058909470915,0.8465690971117092,0.6866312939571887,0.9287848152278824
Study duration,high (> one week),0.856704555897477,0.71554005462056,0.9240977038955952,0.8200236234422813,0.6514879907049328,0.9059328090297945
Multimodality,Unimodal,0.8800453990300658,0.8134457711272554,0.9228267288591322,0.8426490832946297,0.7431119119005435,0.9093393715982161
Multimodality,Multimodal,0.9157411149560075,0.8649655909407807,0.9471440029895113,0.8772690260160076,0.7931570550448714,0.9309192018419628
Intruders,No intruders,0.8812419458931211,0.8147236376660645,0.9235967754667846,NA,NA,NA
Intruders,Intruders,0.8687287291285196,0.7830928502042889,0.9231179373199019,NA,NA,NA
Feature type,handcrafted,0.8801898113813453,0.8117311637833223,0.9242832683249232,NA,NA,NA
Feature type,deep,0.8946056652938499,0.805705886366449,0.9435454726545944,NA,NA,NA
Feature type,hybrid,0.8514709374481338,0.7346491785149868,0.9227230881085566,NA,NA,NA
Activity,one condition,0.8701213238111114,0.793498943104771,0.921187723075712,0.8403069284764032,0.7329549709963673,0.9108152410458151
Activity,multiple conditions,0.8827765087759224,0.7997095370585021,0.9330487293263833,0.852083673327724,0.737969039697604,0.9214820699375051
Activity,everyday activities,0.8663542723485536,0.7697959305593446,0.9272485207070581,0.8420353773807103,0.7169307528976732,0.9189893668357478
