experiment_id,source_row,id,experience,modality,stable_key,algorithm,algorithm_family,algorithm_details,number_of_individuals,conditions,device,sampling_frequency,number_of_channels_electrodes,acquisition_time,duration,ECG,EDA,PPG,SCG,VHF,microphone,multimodal,age_and_gender_reported,device_location,permanence,authentication_time,enroll_time,internal_validation,external_validation,accuracy_raw,eer_raw,f1_raw,auc_raw,features_raw,feature_type,feature_dim,dim_reduction,noise_reduction,segmentation,segmentation_type,normalization,normalizationyn,filteringyn,accuracy_percent_raw_parsed,eer_percent_raw_parsed,outcome_source,outcome_percent,outcome_probability,boundary_epsilon,outcome_probability_corrected,outcome_logit,inclusion_status,exclusion_reason,outcome_decision_note,uncertainty_reported_source,uncertainty_reported_percent,se_provenance_category,se_conversion_denominator,se_probability_primary,se_logit_primary,include_se_primary,se_probability_sensitivity,se_logit_sensitivity,include_se_sensitivity,uncertainty_exclusion_flag,se_decision_note
253_,198,253,,ECG,253|,MLP,dl,,"2 users, 38 intruders",multiple conditions,own device,1000hz,3 electrodes,up to 5 min,up to 5 min,1,0,0,0,0,0,0,0,wrist,medium (multiple days),10s,20x10s?,LO-intruder-O- CV,38 intruders,,,,,"Autocorrelation (AC) and Discrete Cosine Transform (DCT): selection of the considered signal, computation of autocorrelation coefficients with different delays, transformation of autocorrelation coefficients vector using the DCT transform and then using the transformed vector as new feature input for the classifier.",hybrid,,no,"2-order Butterworth band-pass filter (2-40 Hz). Removal of initial and final half second of trace, reducing the trace length to 9 seconds","segmentation into heartbeats, start and finish at R peak",beat,not described,no,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
401_S1-out-of-sample-1HB,276,401,S1 out-of-sample 1HB,PPG,401|S1 out-of-sample 1HB,,,,66,one condition,Huawei Watch G2,100hz,not reported,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,medium (multiple days),,,,,,,,,"single wave features for each PPG period by the temporal convolutional network (TCN), temporal relationships with LSTM",deep,,no,"Remove PPG with large MA, 0.5-5hz bandpass filter,","waveform segmentation, padding waves to the same length (1 HB)",none,0-1 normalization,yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
401_S1-out-of-sample-5HB,277,401,S1 out-of-sample 5HB,PPG,401|S1 out-of-sample 5HB,,,,66,one condition,Huawei Watch G2,100hz,not reported,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,medium (multiple days),,,,,,,,,"single wave features for each PPG period by the temporal convolutional network (TCN), temporal relationships with LSTM",deep,,no,"Remove PPG with large MA, 0.5-5hz bandpass filter,","waveform segmentation, padding waves to the same length (5 HB)",none,0-1 normalization,yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
401_S1-out-of-sample-15HB,278,401,S1 out-of-sample 15HB,PPG,401|S1 out-of-sample 15HB,,,,66,one condition,Huawei Watch G2,100hz,not reported,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,medium (multiple days),,,,,,,,,"single wave features for each PPG period by the temporal convolutional network (TCN), temporal relationships with LSTM",deep,,no,"Remove PPG with large MA, 0.5-5hz bandpass filter,","waveform segmentation, padding waves to the same length (15 HB)",none,0-1 normalization,yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
401_S1-out-of-sample-30HB-s40,281,401,S1 out-of-sample 30HB s40,PPG,401|S1 out-of-sample 30HB s40,TCM/CNN+LSTM/CRNN,dl_temp,"temporal convolutional network (TCN) single wave encoder and LSTM multi wave encoder, then template matching via cosine similarity",66,one condition,Huawei Watch G2,100hz,not reported,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,medium (multiple days),30HB,~110 min,8-fold CV over sessions within users,6 intruders,,,,,"single wave features for each PPG period by the temporal convolutional network (TCN), temporal relationships with LSTM",deep,,no,"Remove PPG with large MA, 0.5-5hz bandpass filter,","waveform segmentation, padding waves to the same length (30 HB)",none,0-1 normalization,yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
401_S1-out-of-sample-30HB-s60,282,401,S1 out-of-sample 30HB s60,PPG,401|S1 out-of-sample 30HB s60,TCM/CNN+LSTM/CRNN,dl_temp,"temporal convolutional network (TCN) single wave encoder and LSTM multi wave encoder, then template matching via cosine similarity",66,one condition,Huawei Watch G2,100hz,not reported,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,medium (multiple days),30HB,~110 min,8-fold CV over sessions within users,6 intruders,,,,,"single wave features for each PPG period by the temporal convolutional network (TCN), temporal relationships with LSTM",deep,,no,"Remove PPG with large MA, 0.5-5hz bandpass filter,","waveform segmentation, padding waves to the same length (30 HB)",none,0-1 normalization,yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
460_460-0-1,327,460,460.0.1,ECG,460|460.0.1,unspecified distance metric,Other algorithm,Distance-based matching with a threshold decision rule. Does not specify the distance measure used.,4,everyday activities,Savvy,125 Hz,2 lead / 12 electrode,over 120 min,over 120 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),1HB,5 min to 3 h,time-based splitting,no,,,,,"Higher-order statistical features (cumulants), implicitly extracted",hybrid,,yes,"fourth-order Butterworth bandpass filter (1-4 Hz); baseline correction, and dynamic thresholding (to distinguish QRS complexes from muscular activity noise)",fixed-length slicing and heartbeat-based segmentation relying on QRS detection,beat,not specified,no,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
455_time,333,455,time,ECG,455|time,RF,tree,,29,one condition,Maxim wristband,512 Hz,Lead I,5-30 min,5-30 min,1,0,0,0,0,0,0,0,wrist,low (one day),300HB,11.25 min,"75% selected for training, rest for testing against intruders",12 intruders,,,,,"time-domain features – intervals and amplitudes from each heartbeat and Hjorth descriptors of an average heartbeat. 14 interval features, 2 amplitude features, 5 Hjorth features, and one feature related to interval variability",hybrid,medium,no,Wiener filter designed for muscle noise reduction,Wavelet-based fiducial point detection; R-peak aligned,beat,"ECGs aligned to R-peak; average heartbeat computed; Likely includes amplitude scaling (zero-mean, unit variance)",yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
455_wavelet,334,455,wavelet,ECG,455|wavelet,RF,tree,,29,one condition,Maxim wristband,512 Hz,Lead I,5-30 min,5-30 min,1,0,0,0,0,0,0,0,wrist,low (one day),300HB,11.25 min,"75% selected for training, rest for testing against intruders",12 intruders,,,,,"Daubechies wavelets (db3, db4, db5) with three, four and five levels of decomposition.",hybrid,high,no,Drift and powerline removal; FIR bandpass filter (1–40 Hz),"R-peak detection, fixed-length (301-sample) heartbeat windows; Beats aligned to R-peaks, then averaged to form one cycle",window,"Amplitude scaled to [−1, 1]",yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
455_DL,335,455,DL,ECG,455|DL,CNN,dl,"1D convolutional neural network with max pooling, dropout, signal flattening and dense output layer",29,one condition,Maxim wristband,512 Hz,Lead I,5-30 min,5-30 min,1,0,0,0,0,0,0,0,wrist,low (one day),300HB,11.25 min,"75% selected for training, rest for testing against intruders",12 intruders,,,,,time / frequency domain features implicit via DL,deep,,no,Indirectly handled via Pan-Tompkins QRS detection (no separate filter),"R-peak-centered window: 100 samples before, 200 after → total 300 samples",window,"Min–max normalization per beat → scale to [0, 1] for CNN input",yes,yes,,,excluded,,,,,,excluded,no usable outcome information,no usable outcome information,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
