model,param,median,lower,upper
null,tau,1.1605471,0.793682368,1.7173661575
null,tau2,1.34686957131877,0.6299317017096769,2.949346518934478
activity,tau,1.0508492,0.7252774162500001,1.6130198574999999
activity,tau2,1.10428404186964,0.5260273320184149,2.6018330608387608
duration,tau,1.16454795,0.8029810295000002,1.7194232975
duration,tau2,1.356171934225225,0.6447785348743306,2.95641647806266
modality,tau,1.2039391,0.85649365825,1.7832675325
modality,tau2,1.4494693573382502,0.7335813880888039,3.180043094508691
algorithm,tau,1.12543885,0.7681535195,1.6990976850000001
algorithm,tau2,1.266612606824045,0.5900598308098985,2.8869329433585547
multimodal,tau,1.1294669,0.7890711655000001,1.6691452924999994
multimodal,tau2,1.2756954783832999,0.6226333060133886,2.7860460089704437
intruders,tau,1.13563195,0.769663675,1.6918104824999998
intruders,tau2,1.289659926382925,0.5923821726166595,2.8622227089569847
feature_type,tau,1.1300992,0.7795661057500001,1.6889634799999995
feature_type,tau2,1.2771242018842,0.6077233174640279,2.852597665373439
full,tau,1.1346406500000001,0.7928224185000001,1.683192345
full,tau2,1.2874094050068452,0.6285673875977642,2.8331364702666777
