Construct,Level,Univariate,Multivariate
Modality,Other,"85.6 [75.0, 91.8]","84.8 [73.6, 91.7]"
Modality,ECG,"89.2 [79.2, 94.3]","88.3 [78.0, 94.0]"
Modality,PPG,"88.7 [79.6, 93.7]","87.4 [77.5, 93.3]"
Algorithm family,Other algorithm,"87.6 [79.4, 92.8]","88.3 [78.0, 94.0]"
Algorithm family,Deep learning,"87.6 [79.4, 92.8]","88.6 [78.4, 94.1]"
Algorithm family,Temporal deep learning,"88.5 [79.4, 93.8]","89.6 [77.8, 95.3]"
Algorithm family,Tree-based methods,"87.6 [79.0, 92.9]","88.9 [78.8, 94.3]"
Algorithm family,Kernel-based methods,"89.7 [81.2, 94.5]","90.4 [80.5, 95.4]"
Study duration,low (one day),"88.7 [80.5, 93.4]","88.3 [78.0, 94.0]"
Study duration,medium (multiple days),"87.1 [73.1, 94.2]","87.0 [70.7, 94.8]"
Study duration,high (> one week),"82.7 [63.6, 92.5]","83.5 [59.9, 93.1]"
Multimodality,Unimodal,"88.5 [81.1, 93.0]","88.3 [78.0, 94.0]"
Multimodality,Multimodal,"92.0 [86.4, 95.3]","91.0 [82.5, 95.5]"
Intruders,No intruders,"88.6 [80.8, 93.2]",—
Intruders,Intruders,"87.1 [77.9, 92.7]",—
Feature type,handcrafted,"89.0 [80.9, 93.7]",—
Feature type,deep,"88.3 [78.7, 93.6]",—
Feature type,hybrid,"85.1 [71.6, 93.0]",—
Activity,one condition,"87.0 [78.3, 92.5]","88.1 [77.1, 94.1]"
Activity,multiple conditions,"88.2 [79.4, 93.4]","89.0 [78.1, 94.6]"
Activity,everyday activities,"88.2 [77.0, 94.1]","89.8 [77.0, 95.7]"
