imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,109,0,1.0044893710735072,"r_id[495,Intercept]",0,0,1247.3416524439383,"r_id[495,Intercept]",0,669.3846725977528,"r_id[495,Intercept]",0,0,0,0.6844533899888549,0,TRUE
2,4,12000,109,0,1.0034851425391043,"r_id[495,Intercept]",0,0,1168.6719454527422,"r_id[495,Intercept]",0,507.4211322624387,"r_id[495,Intercept]",0,0,0,0.6910719566085038,0,TRUE
3,4,12000,109,0,1.0071710348589957,"z_1[1,20]",0,0,749.3718223391171,"r_id[495,Intercept]",0,238.73869295154202,"r_id[495,Intercept]",2,0,0,0.7425091592841787,0,FALSE
4,4,12000,109,0,1.0078227165343947,"z_1[1,20]",0,0,755.3405872914436,"r_id[495,Intercept]",0,231.04389138752893,"r_id[495,Intercept]",2,0,0,0.7119972320317626,0,FALSE
5,4,12000,109,0,1.009091678509721,"r_id[495,Intercept]",0,0,290.5227718767694,"r_id[495,Intercept]",2,112.42839040386073,"r_id[495,Intercept]",2,0,0,0.6661727178806603,0,FALSE
6,4,12000,109,0,1.0033795370809273,"r_id[495,Intercept]",0,0,1698.1191284483584,"r_id[495,Intercept]",0,745.5031560191044,"r_id[495,Intercept]",0,0,0,0.7291309421314204,0,TRUE
7,4,12000,109,0,1.0035403147125226,"r_id[382,Intercept]",0,0,1553.0685964734032,"r_id[495,Intercept]",0,806.0174585185889,"r_id[495,Intercept]",0,0,0,0.7055122313496306,0,TRUE
8,4,12000,109,0,1.0032239629634288,"z_1[1,20]",0,0,971.9786859688002,"r_id[495,Intercept]",0,287.17094624182954,"r_id[495,Intercept]",2,0,0,0.6390411565383413,0,FALSE
9,4,12000,109,0,1.002522171676698,"r_id[495,Intercept]",0,0,1270.7826155167202,"r_id[495,Intercept]",0,457.4269359287326,"r_id[495,Intercept]",0,0,0,0.6983870248481787,0,TRUE
10,4,12000,109,0,1.00489707487458,"z_1[1,20]",0,0,1283.429119290812,"r_id[495,Intercept]",0,710.3671977976206,"r_id[495,Intercept]",0,0,0,0.700195771020334,0,TRUE
11,4,12000,109,0,1.0050147285031061,"z_1[1,20]",0,0,1637.6995980341073,"r_id[495,Intercept]",0,776.0390025206266,"r_id[495,Intercept]",0,0,0,0.6979248740536248,0,TRUE
12,4,12000,109,0,1.0055557120774068,"r_id[495,Intercept]",0,0,777.3530997249602,"r_id[495,Intercept]",0,174.2529490616174,"r_id[495,Intercept]",2,0,0,0.6642611006662574,0,FALSE
13,4,12000,109,0,1.0044952725822174,"r_id[495,Intercept]",0,0,1109.0713743083536,"r_id[495,Intercept]",0,461.5213998721567,"r_id[495,Intercept]",0,0,0,0.7155743741170933,0,TRUE
14,4,12000,109,0,1.0041619272987106,"z_1[1,20]",0,0,1102.9713455631806,"r_id[495,Intercept]",0,408.61194755059233,"r_id[495,Intercept]",0,0,0,0.7122575114406346,0,TRUE
15,4,12000,109,0,1.004034625664782,"z_1[1,20]",0,0,1405.6995695921923,"r_id[495,Intercept]",0,820.4026153404436,"r_id[495,Intercept]",0,0,0,0.7096998185894012,0,TRUE
16,4,12000,109,0,1.0038423823839826,"z_1[1,20]",0,0,1156.1496073195178,"r_id[495,Intercept]",0,391.10656225409696,"r_id[495,Intercept]",1,0,0,0.7268937782021148,0,FALSE
17,4,12000,109,0,1.0055894154223246,"z_1[1,20]",0,0,1045.6322897679029,"r_id[495,Intercept]",0,536.7762377223706,"r_id[495,Intercept]",0,0,0,0.6940375514238398,0,TRUE
18,4,12000,109,0,1.003454088140299,"z_1[1,20]",0,0,1402.6945244240526,"r_id[495,Intercept]",0,578.5108968429421,"r_id[495,Intercept]",0,0,0,0.7409329228389951,0,TRUE
19,4,12000,109,0,1.0030986499528225,"r_id[495,Intercept]",0,0,1817.6755272874545,"r_id[495,Intercept]",0,1321.1336722793392,"r_id[495,Intercept]",0,0,0,0.7360646832671044,0,TRUE
20,4,12000,109,0,1.004109833302785,"r_id[495,Intercept]",0,0,1055.3648221189842,"r_id[495,Intercept]",0,307.70563903674025,"r_id[495,Intercept]",2,0,0,0.6828108125642668,0,FALSE
