imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,61,0,1.006339171193863,"z_1[1,20]",0,0,354.633612806018,"r_id[495,Intercept]",1,172.21799045123896,"r_id[495,Intercept]",2,0,0,0.5847434368817391,0,FALSE
2,4,12000,61,0,1.0065520592003352,"r_id[495,Intercept]",0,0,670.1840175626858,"r_id[495,Intercept]",0,227.33264071169899,"r_id[495,Intercept]",2,0,0,0.6542481285894932,0,FALSE
3,4,12000,61,0,1.002244215338079,"z_1[1,20]",0,0,1637.5954201015675,"r_id[495,Intercept]",0,957.5402180484625,"r_id[495,Intercept]",0,0,0,0.6861379174624602,0,TRUE
4,4,12000,61,0,1.0144198554423274,"r_id[495,Intercept]",2,0,296.19381816928734,"r_id[495,Intercept]",2,114.26616166358356,"r_id[495,Intercept]",2,0,0,0.5836049968209623,0,FALSE
5,4,12000,61,0,1.0028703600811033,"r_id[495,Intercept]",0,0,1153.415366092121,"r_id[495,Intercept]",0,538.2473958084566,"r_id[495,Intercept]",0,0,0,0.6087983760214422,0,TRUE
6,4,12000,61,0,1.0093589666418148,"z_1[1,20]",0,0,282.59585769397614,"r_id[495,Intercept]",2,199.93936572997714,"r_id[495,Intercept]",2,0,0,0.6034064721811925,0,FALSE
7,4,12000,61,0,1.0153549485387559,"r_id[495,Intercept]",2,0,356.3303140107099,"r_id[495,Intercept]",1,282.5751961599984,"r_id[495,Intercept]",2,0,0,0.6202184838667385,0,FALSE
8,4,12000,61,0,1.007993231106496,"r_id[495,Intercept]",0,0,521.0085603444252,"r_id[495,Intercept]",0,258.39839195412446,"r_id[495,Intercept]",2,0,0,0.6317312230452301,0,FALSE
9,4,12000,61,0,1.0062750572600494,"z_1[1,20]",0,0,894.8661953183586,"r_id[495,Intercept]",0,338.184837630294,"r_id[495,Intercept]",2,0,0,0.6689899905513773,0,FALSE
10,4,12000,61,0,1.005347560819521,"r_id[495,Intercept]",0,0,501.3247353710607,"r_id[495,Intercept]",0,121.02666816665743,"r_id[495,Intercept]",2,0,0,0.6559343311026726,0,FALSE
11,4,12000,61,0,1.009348950112601,"r_id[495,Intercept]",0,0,452.6338743640975,"r_id[495,Intercept]",0,160.0055406808053,"z_1[1,20]",2,0,0,0.6520107224118765,0,FALSE
12,4,12000,61,0,1.0112971098674322,"r_id[495,Intercept]",1,0,577.386893217777,"r_id[495,Intercept]",0,213.47784058353972,"r_id[495,Intercept]",2,0,0,0.6360434569810657,0,FALSE
13,4,12000,61,0,1.0120425078368565,"z_1[1,20]",1,0,242.00228113121983,"r_id[495,Intercept]",2,168.4901251769747,"r_id[495,Intercept]",2,0,0,0.6241327762217808,0,FALSE
14,4,12000,61,0,1.011393433149296,"z_1[1,20]",1,0,486.0833498473645,"r_id[495,Intercept]",0,285.66687540600367,"z_1[1,20]",2,0,0,0.6302053542756925,0,FALSE
15,4,12000,61,0,1.0029968025656144,"r_id[495,Intercept]",0,0,754.5138688799029,"r_id[495,Intercept]",0,231.90058451876908,"r_id[495,Intercept]",2,0,0,0.6360390606298219,0,FALSE
16,4,12000,61,0,1.0067184940525225,"z_1[1,20]",0,0,381.75261053307014,"r_id[495,Intercept]",2,184.2644434744503,"z_1[1,20]",2,0,0,0.6063443822304425,0,FALSE
17,4,12000,61,0,1.009817548307368,"r_id[495,Intercept]",0,0,518.3742696988647,"r_id[495,Intercept]",0,175.3167108265048,"r_id[495,Intercept]",2,0,0,0.6011516624186711,0,FALSE
18,4,12000,61,0,1.0071738476125423,"r_id[495,Intercept]",0,0,469.2151376427571,"r_id[495,Intercept]",0,241.5458178533991,"z_1[1,20]",2,0,0,0.6328750811801832,0,FALSE
19,4,12000,61,0,1.0233549746647375,"r_id[495,Intercept]",2,0,216.1086041731275,"r_id[495,Intercept]",2,89.41036868645618,"r_id[495,Intercept]",2,0,0,0.6561637254812285,0,FALSE
20,4,12000,61,0,1.0085785199137134,"r_id[495,Intercept]",0,0,473.4572624692522,"r_id[495,Intercept]",0,151.61599237608272,"z_1[1,20]",2,0,0,0.5824312166282932,0,FALSE
