imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,69,0,1.0174985527024079,"r_id[495,Intercept]",2,0,374.5690227619538,"r_id[495,Intercept]",2,609.4250366124127,"r_id[495,Intercept]",0,0,0,0.6453546812721561,0,FALSE
2,4,20000,69,0,1.0178487083879513,"r_id[495,Intercept]",2,0,254.39507303240623,"r_id[495,Intercept]",2,1587.8584416379658,"z_1[1,20]",0,0,0,0.6689333279237871,0,FALSE
3,4,20000,69,0,1.0074445220366712,"r_id[382,Intercept]",0,0,304.60033732600357,"z_1[1,20]",2,1288.042151417091,"z_1[1,20]",0,0,0,0.6457615717576424,0,FALSE
4,4,20000,69,0,1.0190558196973687,"r_id[495,Intercept]",2,0,199.43804358780486,"r_id[495,Intercept]",2,795.2072991426303,"r_id[495,Intercept]",0,0,0,0.6500759623553642,0,FALSE
5,4,20000,69,0,1.019443568575315,"z_1[1,20]",2,0,323.4637228624555,"r_id[495,Intercept]",2,1044.0569963790297,"z_1[1,20]",0,0,0,0.6600685923431352,0,FALSE
6,4,20000,69,0,1.0062878412274978,"r_id[495,Intercept]",0,0,574.654857002411,"r_id[495,Intercept]",0,1662.6947673333605,"r_id[495,Intercept]",0,0,0,0.6721241479342732,0,TRUE
7,4,20000,69,0,1.021049436059852,"r_id[495,Intercept]",2,0,285.7062723819137,"z_1[1,20]",2,428.4539601052002,"z_1[1,20]",0,0,0,0.6606763858279988,0,FALSE
8,4,20000,69,0,1.0118225554932643,"z_1[1,20]",2,0,289.5245098471275,"r_id[495,Intercept]",2,1556.1098122150786,"r_id[495,Intercept]",0,0,0,0.6503569070504799,0,FALSE
9,4,20000,69,0,1.0128561703685617,"r_id[495,Intercept]",2,0,519.8882695194933,"r_id[495,Intercept]",0,1017.8645118110383,"r_id[495,Intercept]",0,0,0,0.682098712598847,0,FALSE
10,4,20000,69,0,1.004511220388329,"r_id[495,Intercept]",0,0,1549.711552328202,"r_id[382,Intercept]",0,6566.513857101819,"r_id[382,Intercept]",0,0,0,0.7055730134464145,0,TRUE
11,4,20000,69,0,1.0052090688756914,"r_id[495,Intercept]",0,0,453.2718085968149,"r_id[495,Intercept]",0,2189.858095966888,"r_id[495,Intercept]",0,0,0,0.7191944311316701,0,TRUE
12,4,20000,69,0,1.086599493122275,"r_id[495,Intercept]",5,0,36.81999793709994,"r_id[495,Intercept]",3,29.981607139968688,"r_id[495,Intercept]",3,0,0,0.6471427143122291,0,FALSE
13,4,20000,69,0,1.0200141021854365,"r_id[495,Intercept]",2,0,163.44708184224217,"r_id[495,Intercept]",2,218.03349430432763,"r_id[495,Intercept]",2,0,0,0.6747714039351369,0,FALSE
14,4,20000,69,0,1.0082775342765091,"r_id[495,Intercept]",0,0,382.60065602005255,"r_id[495,Intercept]",2,1359.08810020941,"r_id[495,Intercept]",0,0,0,0.6356634995695764,0,FALSE
15,4,20000,69,0,1.0079038158827665,"z_1[1,20]",0,0,401.9045445653562,"r_id[495,Intercept]",0,1340.4880537321337,"r_id[495,Intercept]",0,0,0,0.6670334780340627,0,TRUE
16,4,20000,69,0,1.0191666492829272,"r_id[495,Intercept]",2,0,309.77202791606123,"r_id[495,Intercept]",2,1581.8741600511742,"z_1[1,20]",0,0,0,0.6666275345422203,0,FALSE
17,4,20000,69,0,1.0039766597723898,"r_id[382,Intercept]",0,0,690.533648026973,"r_id[495,Intercept]",0,746.802822519816,"z_1[1,20]",0,0,0,0.6484749081573752,0,TRUE
18,4,20000,69,0,1.0241435974898128,"z_1[1,20]",2,0,194.8348455785428,"z_1[1,20]",2,292.9273022634707,"z_1[1,20]",2,0,0,0.6496631872985428,0,FALSE
19,4,20000,69,0,1.0091865578926429,"z_1[1,20]",0,0,491.7117541179729,"r_id[495,Intercept]",0,977.9550234631247,"r_id[495,Intercept]",0,0,0,0.6735348837822261,0,TRUE
20,4,20000,69,0,1.0093770655006415,"z_1[1,20]",0,0,334.8818993091733,"r_id[495,Intercept]",2,1003.6431900060259,"r_id[495,Intercept]",0,0,0,0.6364065486039753,0,FALSE
