model,param,median,lower,upper
null,tau,1.1709234,0.8745867000000002,1.6321407425
null,tau2,1.37106160867117,0.7649018958251427,2.663883403329243
activity,tau,1.0710287,0.787541769,1.5216095825
activity,tau2,1.1471024762333002,0.6202220379204246,2.3152957215649037
duration,tau,1.1916408500000002,0.87670429875,1.6733671149999998
duration,tau2,1.4200079153911251,0.768610427447873,2.800157501567292
modality,tau,1.14603665,0.8568593242500002,1.6030146149999998
modality,tau2,1.313400003145045,0.7342079015645409,2.5696558559295024
algorithm,tau,1.18489185,0.87133070725,1.6551081374999999
algorithm,tau2,1.4039686961964848,0.759217201397281,2.739382946823161
multimodal,tau,1.1573327500000001,0.8583853305000002,1.6165750200000002
multimodal,tau2,1.339419094222625,0.7368253756202207,2.6133147952880162
intruders,tau,1.16425315,0.864587926,1.6250128099999999
intruders,tau2,1.355485397288725,0.7475122817856819,2.6406666326641
feature_type,tau,1.1477639,0.8417829515,1.6110906599999997
feature_type,tau2,1.31736197014322,0.7085985374372941,2.5956131147514654
full,tau,1.12919275,0.8094937552500001,1.6084182349999994
full,tau2,1.2750762666658852,0.655280139788825,2.587009218687893
