imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.0038392878825102,"r_id[495,Intercept]",0,0,1482.322458215077,"r_id[495,Intercept]",0,815.2082394770966,"z_1[1,20]",0,0,0,0.6452366243106923,0,TRUE
2,4,12000,59,0,1.0073383553263542,"z_1[1,20]",0,0,642.8828041854057,"r_id[495,Intercept]",0,243.56021382876176,"r_id[495,Intercept]",2,0,0,0.6613018039437419,0,FALSE
3,4,12000,59,0,1.0049709165015241,"r_id[495,Intercept]",0,0,965.6428414707036,"r_id[495,Intercept]",0,437.6824744300896,"r_id[495,Intercept]",0,0,0,0.6663574838101346,0,TRUE
4,4,12000,59,0,1.0245286437424344,"r_id[495,Intercept]",2,0,157.6437994362037,"r_id[495,Intercept]",2,109.9334859335827,"r_id[495,Intercept]",2,0,0,0.5853896323652389,0,FALSE
5,4,12000,59,0,1.01634234377667,"r_id[495,Intercept]",2,0,316.7414252966452,"r_id[495,Intercept]",2,73.99647282133641,"r_id[495,Intercept]",2,0,0,0.6064969209510289,0,FALSE
6,4,12000,59,0,1.0045628365920298,"r_id[495,Intercept]",0,0,1452.7952738780764,"r_id[495,Intercept]",0,764.2990331602125,"r_id[495,Intercept]",0,0,0,0.6818531802250676,0,TRUE
7,4,12000,59,0,1.0048635683097134,"z_1[1,20]",0,0,1468.5840772477454,"z_1[1,20]",0,674.6217955222288,"z_1[1,20]",0,0,0,0.6846162238287584,0,TRUE
8,4,12000,59,0,1.0035375369665187,"z_1[1,20]",0,0,953.0054607834574,"r_id[495,Intercept]",0,443.3755360052139,"r_id[495,Intercept]",0,0,0,0.6506173767155541,0,TRUE
9,4,12000,59,0,1.0137764818934216,"r_id[495,Intercept]",2,0,382.3917438932377,"r_id[495,Intercept]",1,122.81930484709005,"z_1[1,20]",2,0,0,0.6093292645314907,0,FALSE
10,4,12000,59,0,1.0040589454983482,"z_1[1,20]",0,0,932.1076729222276,"r_id[495,Intercept]",0,325.4397161623778,"r_id[495,Intercept]",2,0,0,0.6646755089712577,0,FALSE
11,4,12000,59,0,1.00408822587553,"r_id[495,Intercept]",0,0,1010.1814763595668,"r_id[495,Intercept]",0,431.5768216319459,"r_id[495,Intercept]",0,0,0,0.6157061055888335,0,TRUE
12,4,12000,59,0,1.008801702659215,"r_id[495,Intercept]",0,0,430.57366258480175,"r_id[495,Intercept]",0,115.08010760877701,"r_id[495,Intercept]",2,0,0,0.6552294265164107,0,FALSE
13,4,12000,59,0,1.0473842346523827,"z_1[1,20]",2,0,125.03491282427986,"z_1[1,20]",2,27.8332836805703,"r_id[495,Intercept]",2,0,0,0.5982854693526594,0,FALSE
14,4,12000,59,0,1.0103797443303675,"z_1[1,20]",1,0,258.7752321173811,"z_1[1,20]",2,100.420933746265,"z_1[1,20]",2,0,0,0.6567253218781326,0,FALSE
15,4,12000,59,0,1.02517896976703,"z_1[1,20]",2,0,148.66221764367708,"z_1[1,20]",2,47.19471266681162,"r_id[495,Intercept]",2,0,0,0.6178086134531571,0,FALSE
16,4,12000,59,0,1.0097086616165232,"r_id[495,Intercept]",0,0,757.5589872721504,"z_1[1,20]",0,208.30466772583733,"z_1[1,20]",2,0,0,0.6429698754686064,0,FALSE
17,4,12000,59,0,1.0349533892639171,"r_id[495,Intercept]",2,0,132.73743267395864,"r_id[495,Intercept]",2,48.17230220493077,"r_id[495,Intercept]",2,0,0,0.6180793317549634,0,FALSE
18,4,12000,59,0,1.0046544857257516,"r_id[495,Intercept]",0,0,945.2609096647244,"r_id[495,Intercept]",0,419.0642964955263,"r_id[495,Intercept]",0,0,0,0.6753681044065154,0,TRUE
19,4,12000,59,0,1.0057379650861809,"z_1[1,20]",0,0,771.133872706738,"r_id[495,Intercept]",0,230.6618191909827,"r_id[495,Intercept]",2,0,0,0.6446456021307446,0,FALSE
20,4,12000,59,0,1.0207857668185847,"z_1[1,20]",2,0,237.91524317420354,"r_id[495,Intercept]",2,65.1668792386081,"r_id[495,Intercept]",2,0,0,0.6385551135594678,0,FALSE
