imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,0,1.0087584228632396,"r_id[382,Intercept]",0,0,491.2369523087918,"r_id[382,Intercept]",0,127.97678794285652,"r_id[495,Intercept]",2,0,0,0.6322339760744525,0,FALSE
2,4,20000,58,0,1.0053111084266733,"r_id[382,Intercept]",0,0,524.2096513613415,"r_id[382,Intercept]",0,301.655826799851,"r_id[495,Intercept]",2,0,0,0.6494536988992577,0,FALSE
3,4,20000,58,0,1.0106609620946565,"r_id[382,Intercept]",1,0,624.2004795579832,"r_id[382,Intercept]",0,353.8749549550217,"r_id[495,Intercept]",2,0,0,0.6684030920801982,0,FALSE
4,4,20000,58,0,1.0139202958419946,"r_id[382,Intercept]",3,0,460.444040753718,"r_id[495,Intercept]",0,172.30144695444483,"r_id[495,Intercept]",2,0,0,0.6445960612985674,0,FALSE
5,4,20000,58,0,1.0129819737568533,"r_id[495,Intercept]",2,0,417.4887332124677,"r_id[495,Intercept]",0,170.916923391365,"r_id[495,Intercept]",2,0,0,0.551932043124962,0,FALSE
6,4,20000,58,0,1.0157152136619865,"r_id[495,Intercept]",2,0,218.9866674717904,"r_id[495,Intercept]",2,179.16127505782924,"r_id[495,Intercept]",2,0,0,0.5896942761652403,0,FALSE
7,4,20000,58,0,1.0093145819966622,"r_id[495,Intercept]",0,0,435.4468220652572,"r_id[495,Intercept]",0,145.75479981856867,"r_id[495,Intercept]",2,0,0,0.6323175420623339,0,FALSE
8,4,20000,58,0,1.0056162840589828,"r_id[382,Intercept]",0,0,649.9510827281084,"r_id[382,Intercept]",0,462.41571063221073,"r_id[495,Intercept]",0,0,0,0.6316856630190161,0,TRUE
9,4,20000,58,0,1.0110119222620684,"r_id[382,Intercept]",2,0,433.89332024909044,"r_id[382,Intercept]",0,522.8796684587047,"r_id[495,Intercept]",0,0,0,0.6344447106066148,0,FALSE
10,4,20000,58,0,1.0158765117925648,"r_id[495,Intercept]",2,0,405.01508605483,"r_id[495,Intercept]",0,97.51213581245393,"z_1[1,20]",2,0,0,0.6384353227514606,0,FALSE
11,4,20000,58,0,1.0161324893703638,"r_id[495,Intercept]",2,0,529.3974527680319,"r_id[495,Intercept]",0,68.80697556045241,"r_id[495,Intercept]",2,0,0,0.6442100460956528,0,FALSE
12,4,20000,58,0,1.0077022399804416,"r_id[495,Intercept]",0,0,315.8246485432601,"r_id[495,Intercept]",2,176.31769597895712,"z_1[1,20]",2,0,0,0.63118554803469,0,FALSE
13,4,20000,58,0,1.0067292245765262,"r_id[495,Intercept]",0,0,598.6526521691818,"r_id[382,Intercept]",0,284.3048940788926,"r_id[495,Intercept]",2,0,0,0.6141739375376836,0,FALSE
14,4,20000,58,0,1.010333606091772,"z_1[1,20]",1,0,606.8388147464746,"r_id[495,Intercept]",0,171.39880243797305,"r_id[495,Intercept]",2,0,0,0.6221881244714793,0,FALSE
15,4,20000,58,0,1.0039857936498722,"r_id[495,Intercept]",0,0,932.3123757916932,"r_id[382,Intercept]",0,290.038601589113,"r_id[495,Intercept]",2,0,0,0.6398852787060382,0,FALSE
16,4,20000,58,0,1.010214491818586,"z_1[1,20]",1,0,373.294658246655,"r_id[495,Intercept]",1,159.37596206269288,"r_id[495,Intercept]",2,0,0,0.6149598266141483,0,FALSE
17,4,20000,58,0,1.0365333747630538,"r_id[495,Intercept]",2,0,145.43318485642826,"z_1[1,20]",2,99.6785517706913,"r_id[495,Intercept]",2,0,0,0.5649026492882788,0,FALSE
18,4,20000,58,0,1.0062755073442597,"z_1[1,20]",0,0,939.5943232840798,"r_id[382,Intercept]",0,276.57680980294134,"r_id[495,Intercept]",2,0,0,0.6361866456869143,0,FALSE
19,4,20000,58,0,1.0056845839688449,"z_1[1,20]",0,0,522.8972456101526,"r_id[382,Intercept]",0,195.3888056211971,"r_id[495,Intercept]",2,0,0,0.6595864852436808,0,FALSE
20,4,20000,58,0,1.0085632144790884,"r_id[495,Intercept]",0,0,612.6403638465588,"r_id[495,Intercept]",0,171.36099347563174,"r_id[495,Intercept]",2,0,0,0.6579694864255818,0,FALSE
