imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,57,0,1.0149082530785913,"r_id[495,Intercept]",1,0,480.3938718926398,"r_id[495,Intercept]",0,145.06403841976217,"r_id[495,Intercept]",2,0,0,0.6119232006834753,0,FALSE
2,4,12000,57,0,1.0091634544367687,"r_id[495,Intercept]",0,0,419.41084818770906,"z_1[1,20]",0,113.3534537789509,"r_id[495,Intercept]",2,0,0,0.6570923932188092,0,FALSE
3,4,12000,57,0,1.004564705227642,"r_id[495,Intercept]",0,0,622.2612650682256,"r_id[495,Intercept]",0,248.28504110669462,"r_id[495,Intercept]",2,0,0,0.6058802003312123,0,FALSE
4,4,12000,57,0,1.0067012934538822,"z_1[1,8]",0,0,714.740832472487,"r_id[495,Intercept]",0,229.39186707189296,"r_id[495,Intercept]",2,0,0,0.6388512770764782,0,FALSE
5,4,12000,57,0,1.008444984119947,"r_id[495,Intercept]",0,0,628.4159143277825,"z_1[1,20]",0,173.8773487025966,"r_id[495,Intercept]",2,0,0,0.6487208793619406,0,FALSE
6,4,12000,57,0,1.00280113115295,"z_1[1,19]",0,0,1605.9373304604649,"z_1[1,8]",0,1708.2722357749626,"r_id[382,Intercept]",0,0,0,0.6586045973491701,0,TRUE
7,4,12000,57,0,1.0110645559175317,"z_1[1,20]",2,0,442.986472965872,"r_id[495,Intercept]",0,119.6764383531095,"r_id[495,Intercept]",2,0,0,0.6126531061167585,0,FALSE
8,4,12000,57,0,1.0028450898170866,"r_id[147,Intercept]",0,0,1388.4685194118576,"r_id[495,Intercept]",0,1174.5911894429603,"r_id[495,Intercept]",0,0,0,0.6715640306958849,0,TRUE
9,4,12000,57,0,1.0110191279521186,"z_1[1,20]",1,0,519.0435962869186,"r_id[495,Intercept]",0,190.5488674832355,"r_id[495,Intercept]",2,0,0,0.6195371804933235,0,FALSE
10,4,12000,57,0,1.0081884553506084,"r_id[495,Intercept]",0,0,571.1028415300916,"r_id[495,Intercept]",0,156.50810987,"r_id[495,Intercept]",2,0,0,0.602028040436044,0,FALSE
11,4,12000,57,0,1.0224514805358302,"r_id[495,Intercept]",2,0,380.2208862895417,"r_id[495,Intercept]",1,166.10539104289126,"r_id[495,Intercept]",2,0,0,0.6282776260667254,0,FALSE
12,4,12000,57,0,1.0072058316336092,"r_id[495,Intercept]",0,0,633.8128872875571,"z_1[1,20]",0,184.63098719079957,"r_id[495,Intercept]",2,0,0,0.6100958616335482,0,FALSE
13,4,12000,57,0,1.0055780202737177,"z_1[1,20]",0,0,772.2360861291479,"z_1[1,20]",0,307.52670931125897,"r_id[495,Intercept]",2,0,0,0.6358274973906581,0,FALSE
14,4,12000,57,0,1.0096791682353812,"z_1[1,20]",0,0,541.3938336312552,"z_1[1,20]",0,195.69578689333605,"r_id[495,Intercept]",2,0,0,0.6497223854692434,0,FALSE
15,4,12000,57,0,1.0072246193103087,"z_1[1,20]",0,0,614.9637533079679,"r_id[495,Intercept]",0,173.05431750931308,"r_id[495,Intercept]",2,0,0,0.6345518614685312,0,FALSE
16,4,12000,57,0,1.0088785009861312,"z_1[1,20]",0,0,393.2254391046296,"r_id[495,Intercept]",1,214.71369824154922,"z_1[1,20]",2,0,0,0.6229635438806191,0,FALSE
17,4,12000,57,0,1.0050121731918207,"z_1[1,20]",0,0,887.5322569509607,"r_id[495,Intercept]",0,270.20578743220835,"r_id[495,Intercept]",2,0,0,0.652842102960599,0,FALSE
18,4,12000,57,0,1.0048621797819293,"r_id[495,Intercept]",0,0,752.5726924121367,"r_id[495,Intercept]",0,224.59236074650178,"r_id[495,Intercept]",2,0,0,0.6466551874899789,0,FALSE
19,4,12000,57,0,1.0153201572859298,"r_id[495,Intercept]",2,0,439.506337975986,"r_id[495,Intercept]",0,98.86913872576568,"z_1[1,20]",2,0,0,0.5970831391261741,0,FALSE
20,4,12000,57,0,1.006676489124755,sd_id__Intercept,0,0,583.9237332245145,"r_id[495,Intercept]",0,181.63020581819947,"z_1[1,20]",2,0,0,0.6102089054809722,0,FALSE
