imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.0012418365107445,"r_id[495,Intercept]",0,0,1995.982556332311,"r_id[495,Intercept]",0,1746.9397682354925,"r_id[495,Intercept]",0,0,0,0.6460925366660942,0,TRUE
2,4,12000,59,0,1.0026977911470105,"z_1[1,4]",0,0,2090.633280593756,"z_1[1,20]",0,1119.5439036274743,"z_1[1,20]",0,0,0,0.6697045887760797,0,TRUE
3,4,12000,59,0,1.0046735607389703,"z_1[1,19]",0,0,2147.1091154771434,"z_1[1,19]",0,2208.7812199142295,"r_id[495,Intercept]",0,0,0,0.6690686646281849,0,TRUE
4,4,12000,59,0,1.005841111552422,"z_1[1,20]",0,0,1361.7122057682557,"r_id[495,Intercept]",0,485.66051046588206,"r_id[495,Intercept]",0,0,0,0.6429991916381499,0,TRUE
5,4,12000,59,0,1.002452219506539,"z_1[1,16]",0,0,2128.6031380129843,"z_1[1,19]",0,2387.212489122509,"r_id[495,Intercept]",0,0,0,0.6324807401037832,0,TRUE
6,4,12000,59,0,1.0034896739912325,"r_id[495,Intercept]",0,0,1098.70834692508,"r_id[495,Intercept]",0,439.7228478697412,"z_1[1,20]",0,0,0,0.6451410857134844,0,TRUE
7,4,12000,59,0,1.0031102816847426,sd_id__Intercept,0,0,1341.7842010560084,"r_id[495,Intercept]",0,767.6911454777368,"r_id[495,Intercept]",0,0,0,0.644591868868542,0,TRUE
8,4,12000,59,0,1.002740601603448,sd_id__Intercept,0,0,1941.852542018988,"r_id[495,Intercept]",0,1455.3564354435232,"r_id[495,Intercept]",0,0,0,0.6590025722943089,0,TRUE
9,4,12000,59,0,1.0050293972505657,"z_1[1,20]",0,0,823.3279991920053,"z_1[1,20]",0,186.2957727189185,"r_id[495,Intercept]",2,0,0,0.6138665565931003,0,FALSE
10,4,12000,59,0,1.0020041783001004,"r_id[495,Intercept]",0,0,1509.6731485519542,"r_id[495,Intercept]",0,636.0126744513134,"r_id[495,Intercept]",0,0,0,0.6618388549645909,0,TRUE
11,4,12000,59,0,1.0028787806509136,"z_1[1,19]",0,0,1224.9582985158604,"r_id[495,Intercept]",0,473.0159823023749,"r_id[495,Intercept]",0,0,0,0.6496524805103935,0,TRUE
12,4,12000,59,0,1.0030933389619945,"r_id[495,Intercept]",0,0,1129.2889114670672,"r_id[495,Intercept]",0,466.91483993832924,"r_id[495,Intercept]",0,0,0,0.6501338083700873,0,TRUE
13,4,12000,59,0,1.0019472252632649,sd_id__Intercept,0,0,1511.5701243719882,"r_id[495,Intercept]",0,630.4383797694682,"r_id[495,Intercept]",0,0,0,0.6427433076741624,0,TRUE
14,4,12000,59,0,1.002275582215013,"r_id[495,Intercept]",0,0,1269.8630483288496,"r_id[495,Intercept]",0,614.6854949162687,"r_id[495,Intercept]",0,0,0,0.6638652651421296,0,TRUE
15,4,12000,59,0,1.0076269677702017,"r_id[495,Intercept]",0,0,1280.8237824789674,"r_id[495,Intercept]",0,686.3656938964191,"r_id[495,Intercept]",0,0,0,0.6441031760912822,0,TRUE
16,4,12000,59,0,1.0075992364705024,"r_id[495,Intercept]",0,0,825.3754259066709,"r_id[495,Intercept]",0,207.41232580244744,"r_id[495,Intercept]",2,0,0,0.6771669508195823,0,FALSE
17,4,12000,59,0,1.0018666422025915,"z_1[1,20]",0,0,1842.0043879841833,"r_id[495,Intercept]",0,960.8943368421657,"r_id[495,Intercept]",0,0,0,0.6503452604107025,0,TRUE
18,4,12000,59,0,1.0021385631058661,"z_1[1,12]",0,0,1885.4313681009273,"r_id[495,Intercept]",0,1267.1153359468874,"r_id[495,Intercept]",0,0,0,0.6792130595490425,0,TRUE
19,4,12000,59,0,1.0055611927248282,"r_id[495,Intercept]",0,0,1476.0102397207208,"r_id[495,Intercept]",0,650.165274879144,"r_id[495,Intercept]",0,0,0,0.645507973347442,0,TRUE
20,4,12000,59,0,1.0027196064337318,"z_1[1,20]",0,0,1452.5923430053394,"r_id[495,Intercept]",0,826.1166902688734,"r_id[495,Intercept]",0,0,0,0.66128881477555,0,TRUE
