imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,58,0,1.0016150696644022,"z_1[1,19]",0,0,1772.9761941341767,"z_1[1,8]",0,1486.184261508277,"r_id[495,Intercept]",0,0,0,0.6202023659755137,0,TRUE
2,4,12000,58,0,1.003238599105628,sd_id__Intercept,0,0,1513.666183910985,"z_1[1,19]",0,2081.7836186114496,"r_id[495,Intercept]",0,0,0,0.6118507317776123,0,TRUE
3,4,12000,58,0,1.002211557412648,"z_1[1,20]",0,0,1790.7311577547578,"z_1[1,19]",0,1316.1676260561196,"r_id[495,Intercept]",0,0,0,0.6558389268939075,0,TRUE
4,4,12000,58,0,1.0042777575551038,"r_id[495,Intercept]",0,0,1037.800079875967,"r_id[495,Intercept]",0,471.3137750643411,"r_id[495,Intercept]",0,0,0,0.6193858599070291,0,TRUE
5,4,12000,58,0,1.002279944853147,"z_1[1,14]",0,0,1517.7571144212206,"r_id[495,Intercept]",0,863.1848757097507,"r_id[495,Intercept]",0,0,0,0.6388843583653034,0,TRUE
6,4,12000,58,0,1.0091365493569995,"r_id[495,Intercept]",0,0,882.0208913273012,"z_1[1,20]",0,301.1805976783185,"z_1[1,20]",2,0,0,0.6301027129081871,0,FALSE
7,4,12000,58,0,1.0018264099314094,"z_1[1,8]",0,0,1320.1224815509752,"r_id[495,Intercept]",0,533.9096030405011,"r_id[495,Intercept]",0,0,0,0.597714109303187,0,TRUE
8,4,12000,58,0,1.004434730998109,"r_id[495,Intercept]",0,0,1009.1603917416438,"r_id[495,Intercept]",0,392.0004912287291,"r_id[495,Intercept]",1,0,0,0.6449445239557143,0,FALSE
9,4,12000,58,0,1.0043566136026367,"r_id[495,Intercept]",0,0,1154.4648385227397,"r_id[495,Intercept]",0,469.78604114072886,"r_id[495,Intercept]",0,0,0,0.6433657277611868,0,TRUE
10,4,12000,58,0,1.005745575869844,"r_id[495,Intercept]",0,0,1152.0426534421322,"r_id[495,Intercept]",0,446.48564581167057,"z_1[1,20]",0,0,0,0.6641138705754503,0,TRUE
11,4,12000,58,0,1.0059121009227041,"z_1[1,20]",0,0,1066.201816107039,"r_id[495,Intercept]",0,482.46906192879266,"r_id[495,Intercept]",0,0,0,0.6315341633963477,0,TRUE
12,4,12000,58,0,1.005327376013118,"z_1[1,20]",0,0,642.8722304972084,"r_id[495,Intercept]",0,218.05171669632162,"r_id[495,Intercept]",2,0,0,0.6408768726780094,0,FALSE
13,4,12000,58,0,1.005624806296777,"r_id[495,Intercept]",0,0,1335.2661927042857,"r_id[495,Intercept]",0,619.1450402342494,"r_id[495,Intercept]",0,0,0,0.6078756077389136,0,TRUE
14,4,12000,58,0,1.0037678397841459,"r_id[382,Intercept]",0,0,990.3869170372894,"r_id[495,Intercept]",0,659.7727925832302,"r_id[495,Intercept]",0,0,0,0.6801656811702235,0,TRUE
15,4,12000,58,0,1.0026011333776783,"r_id[495,Intercept]",0,0,912.6757679428171,"r_id[495,Intercept]",0,347.8914838427683,"r_id[495,Intercept]",2,0,0,0.6592648884489464,0,FALSE
16,4,12000,58,0,1.0031137920553928,"z_1[1,20]",0,0,1353.7990683814996,"r_id[495,Intercept]",0,799.0694688801628,"r_id[495,Intercept]",0,0,0,0.6101343156527833,0,TRUE
17,4,12000,58,0,1.0033011953384094,"r_id[382,Intercept]",0,0,1516.4895124512593,"r_id[495,Intercept]",0,1173.7678974434077,"r_id[495,Intercept]",0,0,0,0.6476754142739508,0,TRUE
18,4,12000,58,0,1.0025933250381616,"r_id[374,Intercept]",0,0,1640.1483696556113,"r_id[495,Intercept]",0,1001.5749458126097,"r_id[495,Intercept]",0,0,0,0.6881339190445827,0,TRUE
19,4,12000,58,0,1.008695700753558,"r_id[495,Intercept]",0,0,755.7330380625322,"r_id[495,Intercept]",0,199.17501840560604,"r_id[495,Intercept]",2,0,0,0.5935389108265317,0,FALSE
20,4,12000,58,0,1.0022235050135353,"r_id[495,Intercept]",0,0,1141.9352901853135,"r_id[495,Intercept]",0,627.050971225334,"r_id[495,Intercept]",0,0,0,0.6276033791856318,0,TRUE
