imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,109,0,1.0023921970224925,"z_1[1,6]",0,0,2780.7931365292893,"z_1[1,16]",0,4239.090187612511,Intercept,0,0,0,0.759729347041451,0,TRUE
2,4,12000,109,0,1.0013607769658457,"r_id[374,multiC_within]",0,0,2420.5191705321063,"z_1[1,16]",0,4386.321062367448,Intercept,0,0,0,0.7820830406392311,0,TRUE
3,4,12000,109,0,1.0021552139108272,Intercept,0,0,2780.6280311015757,Intercept,0,4466.511885284549,Intercept,0,0,0,0.7751516276043684,0,TRUE
4,4,12000,109,0,1.001120589092467,sd_id__Intercept,0,0,2271.3426639378913,Intercept,0,3842.975780017914,Intercept,0,0,0,0.7907794883590731,0,TRUE
5,4,12000,109,0,1.0013047588582666,"z_1[2,11]",0,0,2175.4397851549056,"z_1[1,16]",0,4139.3616607173035,"z_1[1,16]",0,0,0,0.7776393693415894,0,TRUE
6,4,12000,109,0,1.0029425528336084,"r_id[447,Intercept]",0,0,1743.7614473362255,Intercept,0,2794.286461561922,Intercept,0,0,0,0.7899390065961744,0,TRUE
7,4,12000,109,0,1.0012688102488458,"z_1[1,12]",0,0,2764.3149858639126,"z_1[1,16]",0,4150.733570179556,Intercept,0,0,0,0.8067055357423755,0,TRUE
8,4,12000,109,0,1.0011906038007694,"r_id[401,Intercept]",0,0,2465.327840844216,"z_1[1,16]",0,4347.889570837038,Intercept,0,0,0,0.7649746323314668,0,TRUE
9,4,12000,109,0,1.0031589744999891,Intercept,0,0,1861.1997725676435,"z_1[1,16]",0,3121.110528131616,Intercept,0,0,0,0.7685608308542348,0,TRUE
10,4,12000,109,0,1.00197570850237,"z_1[1,16]",0,0,2136.405210236285,Intercept,0,3277.26997150539,Intercept,0,0,0,0.8055849069504102,0,TRUE
11,4,12000,109,0,1.0013176492077298,sd_id__Intercept,0,0,2797.4360527482854,Intercept,0,4020.771024673063,Intercept,0,0,0,0.7754415159449469,0,TRUE
12,4,12000,109,0,1.004422745221522,"z_1[1,13]",0,0,2240.9285731112577,"z_1[1,16]",0,3554.1309523095124,"z_1[1,16]",0,0,0,0.7912322836193548,0,TRUE
13,4,12000,109,0,1.001672988779453,"z_1[2,1]",0,0,2747.592143070026,Intercept,0,4316.494026235363,Intercept,0,0,0,0.777036743129073,0,TRUE
14,4,12000,109,0,1.001277736989799,"r_id[374,multiC_within]",0,0,1775.2815158760993,Intercept,0,3239.0394722250344,Intercept,0,0,0,0.7459589023722235,0,TRUE
15,4,12000,109,0,1.0019719883664746,"z_1[1,13]",0,0,2040.7291176921883,"z_1[1,16]",0,3393.7979877205757,Intercept,0,0,0,0.8077876938153575,0,TRUE
16,4,12000,109,0,1.001711119342753,"z_1[2,3]",0,0,2760.986814532175,"z_1[1,16]",0,4580.903320378849,Intercept,0,0,0,0.7456938764142474,0,TRUE
17,4,12000,109,0,1.0020264979432283,"z_1[1,2]",0,0,2072.1051371948424,"z_1[1,16]",0,3610.474008092665,Intercept,0,0,0,0.7630026353848702,0,TRUE
18,4,12000,109,0,1.0022372845317842,"z_1[1,16]",0,0,2366.5133666305333,Intercept,0,4293.642643522626,Intercept,0,0,0,0.7795926723544385,0,TRUE
19,4,12000,109,0,1.0018926537966981,"r_id[36,multiC_within]",0,0,2449.3433303123197,"z_1[1,16]",0,4531.765300416871,Intercept,0,0,0,0.7954758318080893,0,TRUE
20,4,12000,109,0,1.0026329554601037,"z_1[1,19]",0,0,2525.7762757372807,"z_1[1,16]",0,3880.360185360136,Intercept,0,0,0,0.7912650800133646,0,TRUE
