imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,61,0,1.0028416610922564,"z_1[1,19]",0,0,1944.7455594858081,"z_1[1,19]",0,3209.5303711077577,"z_1[1,19]",0,0,0,0.698101372898965,0,TRUE
2,4,12000,61,0,1.0028401315493012,"z_1[1,19]",0,0,1935.7321175522875,"z_1[1,8]",0,3403.062577615927,Intercept,0,0,0,0.7160645922313891,0,TRUE
3,4,12000,61,0,1.0023484840762213,"z_1[1,19]",0,0,1890.8432764927431,"z_1[1,8]",0,3115.8278143029997,Intercept,0,0,0,0.7323006648608207,0,TRUE
4,4,12000,61,0,1.0019903277501168,sd_id__Intercept,0,0,2016.9346944682827,"z_1[1,19]",0,3181.9093159176514,"z_1[1,8]",0,0,0,0.7237922690174179,0,TRUE
5,4,12000,61,0,1.0015405377299058,"z_1[1,8]",0,0,2011.1735651980016,"z_1[1,19]",0,3250.0542246222008,"z_1[1,19]",0,0,0,0.6760226585082815,0,TRUE
6,4,12000,61,0,1.0014812954158199,Intercept,0,0,1664.3449722639318,Intercept,0,2420.020349333515,Intercept,0,0,0,0.7342061767867804,0,TRUE
7,4,12000,61,0,1.002843829345418,"z_1[1,19]",0,0,2035.1342786906878,"z_1[1,8]",0,2962.1281251716255,Intercept,0,0,0,0.7476222030850697,0,TRUE
8,4,12000,61,0,1.001239227764097,Intercept,0,0,1933.8721527389312,"z_1[1,8]",0,3599.764487759956,"z_1[1,19]",0,0,0,0.7317471301455957,0,TRUE
9,4,12000,61,0,1.0028179694948767,"r_id[305,Intercept]",0,0,1610.9840117337094,"z_1[1,8]",0,3147.866518525757,Intercept,0,0,0,0.7319516610764738,0,TRUE
10,4,12000,61,0,1.001698650232433,"r_id[486,Intercept]",0,0,1906.2866431864459,"z_1[1,19]",0,3366.279440201429,Intercept,0,0,0,0.7409547955903515,0,TRUE
11,4,12000,61,0,1.001991854482989,Intercept,0,0,1891.2512687624467,"z_1[1,19]",0,3232.049692843353,Intercept,0,0,0,0.7549320741553924,0,TRUE
12,4,12000,61,0,1.0020339141585044,"r_id[305,Intercept]",0,0,2017.064656542982,"z_1[1,19]",0,3253.1684173535195,Intercept,0,0,0,0.7497356266509042,0,TRUE
13,4,12000,61,0,1.0020758714910225,"z_1[1,8]",0,0,1678.2355507484804,"z_1[1,8]",0,3006.8675400196626,Intercept,0,0,0,0.755669276406258,0,TRUE
14,4,12000,61,0,1.0021785018375937,"z_1[1,19]",0,0,2068.707218218624,Intercept,0,3429.130225305628,"z_1[1,8]",0,0,0,0.7301881397265735,0,TRUE
15,4,12000,61,0,1.001903753341887,Intercept,0,0,2050.120695743743,"z_1[1,19]",0,3620.1601951942434,"z_1[1,19]",0,0,0,0.7376962581658314,0,TRUE
16,4,12000,61,0,1.0010742950463112,"z_1[1,23]",0,0,1573.4069052422735,"z_1[1,8]",0,3083.0974260618254,"z_1[1,19]",0,0,0,0.6839293909116675,0,TRUE
17,4,12000,61,0,1.0015646976052373,"r_id[55,Intercept]",0,0,1894.877410368773,"z_1[1,19]",0,3148.077889468973,Intercept,0,0,0,0.7142287952313787,0,TRUE
18,4,12000,61,0,1.0018254519893666,"z_1[1,16]",0,0,2177.161963234318,"z_1[1,19]",0,3554.4251151953426,"z_1[1,19]",0,0,0,0.7550164993774019,0,TRUE
19,4,12000,61,0,1.002191980358967,sd_id__Intercept,0,0,2078.448884508382,"z_1[1,19]",0,3556.1076145726643,"z_1[1,19]",0,0,0,0.7614273438696287,0,TRUE
20,4,12000,61,0,1.0016308511248964,Intercept,0,0,1982.660307236277,"z_1[1,8]",0,3386.261567171498,Intercept,0,0,0,0.7290413450456572,0,TRUE
