imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.002790258734067,"z_1[1,19]",0,0,1812.3970043945842,Intercept,0,2329.6503211589243,Intercept,0,0,0,0.6963308356185403,0,TRUE
2,4,12000,59,0,1.0025707635247942,"z_1[1,19]",0,0,1927.1504744335923,"z_1[1,19]",0,2794.320062228136,Intercept,0,0,0,0.6867010865460641,0,TRUE
3,4,12000,59,0,1.003475339130528,"z_1[1,19]",0,0,1938.9211455994548,"z_1[1,16]",0,2993.3947456432065,Intercept,0,0,0,0.6980742644829153,0,TRUE
4,4,12000,59,0,1.0024506559166617,sd_id__Intercept,0,0,1799.1171862160468,"z_1[1,19]",0,3269.697601164017,"z_1[1,19]",0,0,0,0.7014358902949681,0,TRUE
5,4,12000,59,0,1.0023217060117688,"z_1[1,21]",0,0,1924.552833703073,"z_1[1,19]",0,2953.1018720369834,"z_1[1,16]",0,0,0,0.6732638048993012,0,TRUE
6,4,12000,59,0,1.0017911273706372,"z_1[1,19]",0,0,1500.6889699556475,"z_1[1,19]",0,2983.1727483297036,Intercept,0,0,0,0.7276042386807026,0,TRUE
7,4,12000,59,0,1.0030749913968036,sd_id__Intercept,0,0,1979.601467487175,"z_1[1,19]",0,3457.6842265652463,Intercept,0,0,0,0.7098919295831354,0,TRUE
8,4,12000,59,0,1.0024129962651929,"z_1[1,19]",0,0,1893.6838148370355,"z_1[1,19]",0,2581.4043725439888,"z_1[1,19]",0,0,0,0.7077117633933246,0,TRUE
9,4,12000,59,0,1.0017407548670432,"z_1[1,19]",0,0,1857.9207786582385,"z_1[1,19]",0,3220.2160586770037,Intercept,0,0,0,0.7397527352422874,0,TRUE
10,4,12000,59,0,1.0031827174294095,"z_1[1,16]",0,0,1876.1868299382056,"z_1[1,19]",0,3195.7557649158116,"r_id[486,Intercept]",0,0,0,0.7061218059597485,0,TRUE
11,4,12000,59,0,1.002813728902916,b_Intercept,0,0,1608.825352364471,"z_1[1,19]",0,2731.6459692452418,"z_1[1,19]",0,0,0,0.6583063075022321,0,TRUE
12,4,12000,59,0,1.0014204435537994,"z_1[1,16]",0,0,1967.2364893680556,"z_1[1,19]",0,3720.296224049655,Intercept,0,0,0,0.7097332606264609,0,TRUE
13,4,12000,59,0,1.0020248123748647,sd_id__Intercept,0,0,1781.988897821695,Intercept,0,2955.3997812782322,Intercept,0,0,0,0.6974677526509555,0,TRUE
14,4,12000,59,0,1.001379291172476,"z_1[1,17]",0,0,1950.0171740036246,"z_1[1,19]",0,3121.2908414200288,"r_id[447,Intercept]",0,0,0,0.6740811765621054,0,TRUE
15,4,12000,59,0,1.003542544632918,"z_1[1,19]",0,0,2021.7550672921504,"z_1[1,19]",0,3134.342156587062,"z_1[1,19]",0,0,0,0.6730193660139253,0,TRUE
16,4,12000,59,0,1.0023000005372775,sd_id__Intercept,0,0,1689.5907702906336,"z_1[1,19]",0,3114.336239267552,Intercept,0,0,0,0.680712985750509,0,TRUE
17,4,12000,59,0,1.0018227467574805,"z_1[1,19]",0,0,1772.088535097988,"z_1[1,16]",0,3474.0864003748093,Intercept,0,0,0,0.6896473901270782,0,TRUE
18,4,12000,59,0,1.0026294151580906,"z_1[1,10]",0,0,1683.7064983407,"z_1[1,19]",0,2951.537523946728,"z_1[1,19]",0,0,0,0.6725967083475185,0,TRUE
19,4,12000,59,0,1.0019221386725812,"z_1[1,13]",0,0,1891.7436111294949,Intercept,0,3078.690180232792,Intercept,0,0,0,0.6877098914034699,0,TRUE
20,4,12000,59,0,1.003015820639604,"z_1[1,19]",0,0,1931.2266839667755,"z_1[1,19]",0,3375.241132388238,"z_1[1,19]",0,0,0,0.7288881741675411,0,TRUE
