imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.0025788351230243,"z_1[1,19]",0,0,1544.6332276030669,"z_1[1,19]",0,2848.899330274265,b_Intercept,0,0,0,0.6661289069526279,0,TRUE
2,4,12000,59,0,1.0031772258547293,Intercept,0,0,2227.9160123044635,"z_1[1,19]",0,3512.07715873739,"z_1[1,19]",0,0,0,0.7460488718804124,0,TRUE
3,4,12000,59,0,1.0020893813295324,"z_1[1,8]",0,0,2085.9983429082363,"z_1[1,19]",0,3440.5853082360404,"z_1[1,8]",0,0,0,0.7122271557243242,0,TRUE
4,4,12000,59,0,1.0035525441924584,"z_1[1,8]",0,0,1924.4640584341382,"z_1[1,8]",0,3316.4037977110083,"z_1[1,19]",0,0,0,0.7307364802539916,0,TRUE
5,4,12000,59,0,1.0041314742560026,"z_1[1,21]",0,0,2087.893734988614,"z_1[1,8]",0,3602.169981134973,b_Intercept,0,0,0,0.6979234091041961,0,TRUE
6,4,12000,59,0,1.0030734175969418,"z_1[1,19]",0,0,1989.3257153579837,"z_1[1,19]",0,3833.675774589718,"z_1[1,19]",0,0,0,0.7073788631814519,0,TRUE
7,4,12000,59,0,1.0027541881891155,"r_id[305,Intercept]",0,0,1971.8600890668954,"z_1[1,8]",0,3529.7473247541852,b_Intercept,0,0,0,0.7796958448640137,0,TRUE
8,4,12000,59,0,1.0011664485031073,"z_1[1,4]",0,0,2250.222481517747,"z_1[1,8]",0,3803.7641469817454,"r_id[486,Intercept]",0,0,0,0.7216684746567836,0,TRUE
9,4,12000,59,0,1.0022020222121195,"z_1[1,8]",0,0,1964.3061940421792,"z_1[1,19]",0,3170.866992974772,"z_1[1,19]",0,0,0,0.730979201627845,0,TRUE
10,4,12000,59,0,1.0026206277221266,"z_1[1,19]",0,0,1750.649516440397,"z_1[1,19]",0,2778.320720831612,"z_1[1,8]",0,0,0,0.7523788837729124,0,TRUE
11,4,12000,59,0,1.0019079913379405,sd_id__Intercept,0,0,2056.4177890676606,"z_1[1,19]",0,3642.8327013792255,b_Intercept,0,0,0,0.7261944795892572,0,TRUE
12,4,12000,59,0,1.002543319280744,"z_1[1,19]",0,0,1981.2890241869047,"z_1[1,19]",0,3038.219108417113,Intercept,0,0,0,0.7253808845381164,0,TRUE
13,4,12000,59,0,1.0024363060194414,sd_id__Intercept,0,0,1939.148634856963,"z_1[1,19]",0,3598.1532636035754,"z_1[1,8]",0,0,0,0.7081273650944224,0,TRUE
14,4,12000,59,0,1.002785332666078,b_Intercept,0,0,1946.3134937475759,"z_1[1,19]",0,3510.837047986196,b_Intercept,0,0,0,0.7142385466077776,0,TRUE
15,4,12000,59,0,1.0015114936139302,"r_id[305,Intercept]",0,0,2150.0435257744134,"z_1[1,19]",0,4154.807877659541,"z_1[1,19]",0,0,0,0.6899280021817858,0,TRUE
16,4,12000,59,0,1.0019407078056422,Intercept,0,0,2121.486223016849,"z_1[1,19]",0,3776.3154919146427,"z_1[1,19]",0,0,0,0.7042954739365739,0,TRUE
17,4,12000,59,0,1.0018504985889218,"r_id[147,Intercept]",0,0,1837.4695069295417,"z_1[1,19]",0,3146.0185444046815,Intercept,0,0,0,0.7283516588078388,0,TRUE
18,4,12000,59,0,1.002039355997372,"z_1[1,2]",0,0,2091.010094958924,"z_1[1,8]",0,3778.5497891231303,"r_id[486,Intercept]",0,0,0,0.7001349771192343,0,TRUE
19,4,12000,59,0,1.002360710925965,"z_1[1,19]",0,0,1993.3698823497573,"z_1[1,19]",0,3469.784418924926,"z_1[1,19]",0,0,0,0.7288817370702477,0,TRUE
20,4,12000,59,0,1.0030927104651661,"z_1[1,8]",0,0,1985.5174433354912,"z_1[1,19]",0,3367.763292398832,Intercept,0,0,0,0.742545859570628,0,TRUE
