imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,70,0,1.0020006155873478,sd_id__Intercept,0,0,5311.417331820834,Intercept,0,8892.296243619103,Intercept,0,0,0,0.7204780429806559,0,TRUE
2,4,20000,70,0,1.0005181267638685,"r_id[305,Intercept]",0,0,4726.700430747364,Intercept,0,7435.560580579682,Intercept,0,0,0,0.7615416000671767,0,TRUE
3,4,20000,70,0,1.0007990223643588,Intercept,0,0,3506.4423960604317,Intercept,0,6338.979470068008,Intercept,0,0,0,0.7450962729251532,0,TRUE
4,4,20000,70,0,1.0015340027837523,sd_id__Intercept,0,0,5170.55093558096,Intercept,0,9002.653863033354,Intercept,0,0,0,0.7835184353756223,0,TRUE
5,4,20000,70,0,1.0006390305210429,"z_1[1,9]",0,0,4396.36480024672,Intercept,0,7138.831056914736,Intercept,0,0,0,0.7839364103245299,0,TRUE
6,4,20000,70,0,1.0017551803509497,Intercept,0,0,4845.916072611568,Intercept,0,7792.306914456886,Intercept,0,0,0,0.7516897678198378,0,TRUE
7,4,20000,70,0,1.0013263702268347,Intercept,0,0,4865.04080468882,Intercept,0,6758.841709607498,Intercept,0,0,0,0.7761857293241551,0,TRUE
8,4,20000,70,0,1.0006252227196077,b_everyC_within,0,0,4071.0875185452155,Intercept,0,6597.463554297773,Intercept,0,0,0,0.7641079298354966,0,TRUE
9,4,20000,70,0,1.0007816677799228,sd_id__Intercept,0,0,4245.58260097785,Intercept,0,7200.989482419816,Intercept,0,0,0,0.7389380205731445,0,TRUE
10,4,20000,70,0,1.0006764101443124,b_multiC_within,0,0,4576.320713415259,Intercept,0,7765.705770405944,"r_id[447,Intercept]",0,0,0,0.7471474206038171,0,TRUE
11,4,20000,70,0,1.0008515855207936,sd_id__Intercept,0,0,4353.894859397697,Intercept,0,8068.187740275206,Intercept,0,0,0,0.7613618045279791,0,TRUE
12,4,20000,70,0,1.0008503301207847,Intercept,0,0,5206.680226004039,Intercept,0,8594.853549717922,Intercept,0,0,0,0.7592616364522845,0,TRUE
13,4,20000,70,0,1.0007792481851954,"z_1[1,13]",0,0,4711.8380536381455,Intercept,0,8115.322892790356,Intercept,0,0,0,0.7565519698146523,0,TRUE
14,4,20000,70,0,1.0007859199788365,"z_1[1,2]",0,0,4865.215025054957,Intercept,0,8386.255688191537,Intercept,0,0,0,0.7844902973596323,0,TRUE
15,4,20000,70,0,1.0008242503085356,Intercept_sigma,0,0,4417.722160021836,Intercept,0,7556.045491444896,Intercept,0,0,0,0.7518876146382204,0,TRUE
16,4,20000,70,0,1.0013956330807325,"z_1[1,10]",0,0,3954.0902057862018,Intercept,0,6231.989086212744,Intercept,0,0,0,0.7553576225269127,0,TRUE
17,4,20000,70,0,1.0007238659750939,"r_id[75,Intercept]",0,0,3970.019833036386,Intercept,0,6647.569846239759,Intercept,0,0,0,0.7413309586361743,0,TRUE
18,4,20000,70,0,1.0011730007823139,"r_id[486,Intercept]",0,0,3701.3475835371128,Intercept,0,5965.17144456452,Intercept,0,0,0,0.7503700973999684,0,TRUE
19,4,20000,70,0,1.0009029133506635,"r_id[75,Intercept]",0,0,4569.211842760194,Intercept,0,7329.420014453301,Intercept,0,0,0,0.7674890095508343,0,TRUE
20,4,20000,70,0,1.0009549984795727,b_duration.L,0,0,3804.0802158449246,Intercept,0,7525.75599989359,Intercept,0,0,0,0.7543477751076149,0,TRUE
