model,param,median,lower,upper
null,tau,1.23230895,0.8796272377500001,1.8076319
null,tau2,1.5185853482543048,0.7737440773950262,3.267533085898
activity,tau,1.24738105,0.8918999525000001,1.8297254649999999
activity,tau2,1.5559594838991049,0.7954855252695046,3.347895277270528
duration,tau,1.3376673499999998,0.95716692325,1.9324938925
duration,tau2,1.7893539392561448,0.9161685189658767,3.7345326445512463
modality,tau,1.2469245,0.8828567005000002,1.8555940899999999
modality,tau2,1.55482070870025,0.7794359536368296,3.4432294268614956
algorithm,tau,1.2368937500000001,0.8844054890000002,1.811475425
algorithm,tau2,1.529906148801665,0.7821730690064108,3.281443215380905
multimodal,tau,1.2136592,0.86739578675,1.786474227499999
multimodal,tau2,1.4729686537460798,0.7523754508717622,3.1914901655423593
intruders,tau,1.2248674,0.8738954395,1.8026017374999996
intruders,tau2,1.5003001475828,0.763693239179151,3.2493730240402177
feature_type,tau,1.2409848,0.884037504,1.8231642824999998
feature_type,tau2,1.5400432738591299,0.7815223084796247,3.323928000984005
full,tau,1.36409825,0.9623267972499999,1.9877133424999995
full,tau2,1.8607640356617647,0.926072864705649,3.9510043319570953
