imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,0,1.0014433445432664,"z_1[1,19]",0,0,2513.37880111939,"z_1[1,19]",0,4602.539655118173,b_Intercept,0,0,0,0.6483000870774616,0,TRUE
2,4,20000,58,0,1.0024081439594048,"z_1[1,1]",0,0,2614.4975819577535,"z_1[1,19]",0,4732.095419513705,b_Intercept,0,0,0,0.716164783024577,0,TRUE
3,4,20000,58,0,1.0011744280746333,"r_id[401,Intercept]",0,0,2754.7804390121455,"z_1[1,8]",0,4302.303224926326,b_Intercept,0,0,0,0.7014669947258676,0,TRUE
4,4,20000,58,0,1.0014652251292417,"z_1[1,19]",0,0,2732.26840691959,"z_1[1,8]",0,5171.144270819254,Intercept,0,0,0,0.7466600457281324,0,TRUE
5,4,20000,58,0,1.001243622347573,"r_id[305,Intercept]",0,0,2766.7293336341913,"z_1[1,8]",0,4890.169335265525,"z_1[1,8]",0,0,0,0.7078242843611846,0,TRUE
6,4,20000,58,0,1.0009534540150964,"r_id[305,Intercept]",0,0,2893.2555631668256,"z_1[1,19]",0,4830.325386816423,"z_1[1,19]",0,0,0,0.7164135220611951,0,TRUE
7,4,20000,58,0,1.0042180334315032,"z_1[1,19]",0,0,2561.4421726540018,"z_1[1,19]",0,4164.724766006157,"z_1[1,8]",0,0,0,0.6968505950571663,0,TRUE
8,4,20000,58,0,1.0014021196476883,"z_1[1,8]",0,0,3009.102183441508,"z_1[1,8]",0,4691.277332422741,b_Intercept,0,0,0,0.6830639768523247,0,TRUE
9,4,20000,58,0,1.001122817853096,b_Intercept,0,0,2743.1831269082045,"z_1[1,8]",0,4189.452294732831,"z_1[1,8]",0,0,0,0.7046703364454592,0,TRUE
10,4,20000,58,0,1.0027769211619524,"z_1[1,19]",0,0,2668.280982575481,"z_1[1,19]",0,4935.729436285017,b_Intercept,0,0,0,0.7394158385011289,0,TRUE
11,4,20000,58,0,1.0013843714300774,sd_id__Intercept,0,0,3002.6181342214113,"z_1[1,8]",0,5049.623506899292,Intercept,0,0,0,0.7300333345508386,0,TRUE
12,4,20000,58,0,1.0014969212860287,"z_1[1,19]",0,0,2635.4220610583566,"z_1[1,19]",0,4779.032410767951,"z_1[1,19]",0,0,0,0.7410282760881766,0,TRUE
13,4,20000,58,0,1.0015496655630058,Intercept,0,0,2943.455677184352,"z_1[1,8]",0,5201.223714393909,Intercept,0,0,0,0.7612586663437375,0,TRUE
14,4,20000,58,0,1.0011618430536606,Intercept,0,0,2844.9475930518547,"z_1[1,19]",0,4621.542405875916,"z_1[1,19]",0,0,0,0.7366057765663908,0,TRUE
15,4,20000,58,0,1.0008863001592248,"z_1[1,19]",0,0,2673.460212839498,"z_1[1,8]",0,4944.090885726185,Intercept,0,0,0,0.7364726881437116,0,TRUE
16,4,20000,58,0,1.004388453246199,"z_1[1,19]",0,0,2125.126618180782,"z_1[1,19]",0,4413.165685034216,Intercept,0,0,0,0.7117790634969198,0,TRUE
17,4,20000,58,0,1.0008940181369295,b_Intercept,0,0,2941.4314813428937,"z_1[1,19]",0,5222.663337409274,"z_1[1,8]",0,0,0,0.672791114715921,0,TRUE
18,4,20000,58,0,1.0022537112195542,sd_id__Intercept,0,0,2316.2327643721524,"z_1[1,19]",0,4550.280034439964,"z_1[1,19]",0,0,0,0.668013376941583,0,TRUE
19,4,20000,58,0,1.0029596542774606,"z_1[1,19]",0,0,2851.2541566879268,"z_1[1,8]",0,4841.892753068444,b_Intercept,0,0,0,0.7424786274882688,0,TRUE
20,4,20000,58,0,1.0026299707833066,"z_1[1,13]",0,0,2695.5430224887864,"z_1[1,8]",0,3493.6995182550286,b_Intercept,0,0,0,0.707198651116384,0,TRUE
