imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.0023914198476942,b_Intercept,0,0,1721.1671037207957,Intercept,0,2656.9739669645005,Intercept,0,0,0,0.6711786554189447,0,TRUE
2,4,12000,59,0,1.004205378929126,"z_1[1,13]",0,0,1846.3464633615954,"z_1[1,19]",0,3113.4385375059724,b_Intercept,0,0,0,0.7181738326654181,0,TRUE
3,4,12000,59,0,1.0046314623725798,Intercept,0,0,2044.8413979737727,"z_1[1,19]",0,3160.959467097908,"z_1[1,19]",0,0,0,0.646173233993271,0,TRUE
4,4,12000,59,0,1.0037226769248608,b_Intercept,0,0,1959.9658039789786,"z_1[1,8]",0,3229.6153716083204,Intercept,0,0,0,0.7025879376668083,0,TRUE
5,4,12000,59,0,1.0023283257960205,"z_1[1,19]",0,0,2107.853091404091,Intercept,0,2979.7556369993895,Intercept,0,0,0,0.6921354277435003,0,TRUE
6,4,12000,59,0,1.003798658568363,"z_1[1,13]",0,0,2092.0036490938805,"z_1[1,19]",0,3425.856912317251,b_Intercept,0,0,0,0.728213324941367,0,TRUE
7,4,12000,59,0,1.001634764426505,sd_id__Intercept,0,0,2089.497365247347,"z_1[1,8]",0,3491.0029727878987,Intercept,0,0,0,0.6797249487818171,0,TRUE
8,4,12000,59,0,1.0024188093844242,Intercept,0,0,1808.6282422512381,"z_1[1,8]",0,3038.420793209879,"z_1[1,19]",0,0,0,0.7184314619803356,0,TRUE
9,4,12000,59,0,1.00408886381907,sd_id__Intercept,0,0,1682.1028163545172,"z_1[1,19]",0,2629.816334370148,Intercept,0,0,0,0.6603029562952474,0,TRUE
10,4,12000,59,0,1.001535527514394,"z_1[1,13]",0,0,2116.766091038815,"z_1[1,19]",0,3769.625004504301,Intercept,0,0,0,0.7409698619782504,0,TRUE
11,4,12000,59,0,1.0009728793625072,b_ECG,0,0,2043.5268901946804,"z_1[1,19]",0,3287.4769529630744,Intercept,0,0,0,0.733932042982114,0,TRUE
12,4,12000,59,0,1.0019097959447447,"z_1[1,1]",0,0,1816.5722282387612,"z_1[1,19]",0,2810.302520699091,Intercept,0,0,0,0.7253507190628585,0,TRUE
13,4,12000,59,0,1.0047022080763652,"r_id[486,Intercept]",0,0,2003.3771736330636,"z_1[1,19]",0,3362.734021509404,"z_1[1,8]",0,0,0,0.742122463352554,0,TRUE
14,4,12000,59,0,1.0017504309826635,"z_1[1,2]",0,0,1918.1387153253186,"z_1[1,8]",0,3200.5752520921,"z_1[1,8]",0,0,0,0.7690282365353837,0,TRUE
15,4,12000,59,0,1.0017922648922521,"z_1[1,21]",0,0,1980.556404758947,"z_1[1,8]",0,3322.3009424950214,"z_1[1,19]",0,0,0,0.7277786083938838,0,TRUE
16,4,12000,59,0,1.0022008965544604,sd_id__Intercept,0,0,1881.1474386897955,"z_1[1,19]",0,2872.2181313970186,"z_1[1,19]",0,0,0,0.6461967115233717,0,TRUE
17,4,12000,59,0,1.0012433024726541,Intercept,0,0,1968.9826868069597,"z_1[1,8]",0,3041.095435762766,Intercept,0,0,0,0.7298405037331364,0,TRUE
18,4,12000,59,0,1.001963583418677,"r_id[75,Intercept]",0,0,1785.029518848812,"z_1[1,8]",0,3301.6972428305567,"z_1[1,8]",0,0,0,0.6844839500062102,0,TRUE
19,4,12000,59,0,1.0017788883618504,"z_1[1,16]",0,0,1864.625787106126,"z_1[1,19]",0,2810.358462512626,"z_1[1,8]",0,0,0,0.7324668275971411,0,TRUE
20,4,12000,59,0,1.0031723732074103,"z_1[1,17]",0,0,1878.631521989653,"z_1[1,19]",0,2207.5596921835972,Intercept,0,0,0,0.7034686932847122,0,TRUE
