imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,0,1.001340579949314,"z_1[1,19]",0,0,2619.827736425205,"z_1[1,19]",0,4536.201612856796,Intercept,0,0,0,0.6761340802015694,0,TRUE
2,4,20000,58,0,1.0008970794435421,sd_id__Intercept,0,0,2643.5912171672876,"r_id[305,Intercept]",0,4917.852862821203,b_Intercept,0,0,0,0.7298019154069988,0,TRUE
3,4,20000,58,0,1.0016740471194348,"r_id[189,Intercept]",0,0,2207.716467360345,"z_1[1,8]",0,3969.6519132950607,"r_id[305,Intercept]",0,0,0,0.6898283620959185,0,TRUE
4,4,20000,58,0,1.001523242511584,"z_1[1,2]",0,0,2590.422567426897,"z_1[1,19]",0,4276.054887927836,b_Intercept,0,0,0,0.7209888506211591,0,TRUE
5,4,20000,58,0,1.0012590010814892,"z_1[1,8]",0,0,2477.375577544965,"z_1[1,19]",0,4257.134337880662,"z_1[1,13]",0,0,0,0.7410945149456443,0,TRUE
6,4,20000,58,0,1.0012232118041609,"z_1[1,19]",0,0,2562.687553249955,"z_1[1,8]",0,4566.128680918416,b_Intercept,0,0,0,0.7390506707030442,0,TRUE
7,4,20000,58,0,1.0030475805384838,"r_id[447,Intercept]",0,0,2470.319536380909,"z_1[1,19]",0,4422.185489640168,"z_1[1,19]",0,0,0,0.744268759184086,0,TRUE
8,4,20000,58,0,1.0016685704014054,"z_1[1,19]",0,0,2331.5622083463,"z_1[1,8]",0,3986.9197192863107,Intercept,0,0,0,0.6652520147039379,0,TRUE
9,4,20000,58,0,1.0050290608932129,Intercept,0,0,2451.3615455837767,"z_1[1,19]",0,3634.6702304108862,"z_1[1,16]",0,0,0,0.7168086022957322,0,TRUE
10,4,20000,58,0,1.0013679277529772,"z_1[1,2]",0,0,2577.5821034100622,"z_1[1,19]",0,4762.906380408829,"z_1[1,8]",0,0,0,0.7610961601812851,0,TRUE
11,4,20000,58,0,1.0010997504652606,sd_id__Intercept,0,0,2799.5129730419753,"z_1[1,8]",0,4754.912844612574,b_Intercept,0,0,0,0.7277645167158723,0,TRUE
12,4,20000,58,0,1.0012654362814808,"r_id[486,Intercept]",0,0,2464.419980139452,"z_1[1,19]",0,4323.224885881772,"z_1[1,19]",0,0,0,0.7361337491675957,0,TRUE
13,4,20000,58,0,1.0019688534272826,"z_1[1,8]",0,0,2557.4683570646416,"z_1[1,19]",0,4577.546923839007,"z_1[1,16]",0,0,0,0.7204966773577004,0,TRUE
14,4,20000,58,0,1.0014149507039218,"r_id[305,Intercept]",0,0,2460.706767551027,"z_1[1,8]",0,4437.274347790234,Intercept,0,0,0,0.7071488221781849,0,TRUE
15,4,20000,58,0,1.002124114006956,"z_1[1,13]",0,0,2578.0410580201133,"z_1[1,8]",0,4678.128998113383,"z_1[1,19]",0,0,0,0.752891387374903,0,TRUE
16,4,20000,58,0,1.001199573669871,"z_1[1,21]",0,0,2636.7495641163728,"z_1[1,8]",0,4094.8388321172674,b_Intercept,0,0,0,0.6997247352024054,0,TRUE
17,4,20000,58,0,1.0027695832711854,b_Intercept,0,0,2574.6840236485136,"z_1[1,8]",0,4429.628241358298,"z_1[1,19]",0,0,0,0.7037148630336046,0,TRUE
18,4,20000,58,0,1.0010076081355612,"z_1[1,1]",0,0,2314.687846723399,"z_1[1,19]",0,4142.467927193131,Intercept,0,0,0,0.704578198139914,0,TRUE
19,4,20000,58,0,1.0017261178364625,"z_1[1,16]",0,0,2541.109069006094,"z_1[1,19]",0,4387.894998435555,"z_1[1,19]",0,0,0,0.7460167530006327,0,TRUE
20,4,20000,58,0,1.0014674691595333,Intercept,0,0,2628.854473569198,"z_1[1,8]",0,4557.291161998374,"z_1[1,16]",0,0,0,0.7299721354543275,0,TRUE
