imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,57,0,1.002672403433833,"z_1[1,19]",0,0,1699.0647843483737,"z_1[1,19]",0,3180.5187887133025,"z_1[1,19]",0,0,0,0.6485552417571852,0,TRUE
2,4,12000,57,0,1.001213364430931,sd_id__Intercept,0,0,1436.1531892045427,"z_1[1,19]",0,2446.6936817018604,"r_id[486,Intercept]",0,0,0,0.6947924081448335,0,TRUE
3,4,12000,57,0,1.0022407114521685,"z_1[1,16]",0,0,1581.1567249337404,"z_1[1,19]",0,2880.899595520954,"z_1[1,8]",0,0,0,0.6976921428713513,0,TRUE
4,4,12000,57,0,1.0015214167765867,"z_1[1,16]",0,0,1669.8466016477876,"z_1[1,16]",0,3071.224583798695,b_Intercept,0,0,0,0.7222348037339946,0,TRUE
5,4,12000,57,0,1.0028637464824626,"r_id[486,Intercept]",0,0,1602.668117800291,b_Intercept,0,2862.3472094632793,b_Intercept,0,0,0,0.7296932429188542,0,TRUE
6,4,12000,57,0,1.0016382109667197,"z_1[1,8]",0,0,1525.663076985131,"z_1[1,8]",0,2373.4556381222233,b_Intercept,0,0,0,0.7261469906610682,0,TRUE
7,4,12000,57,0,1.0024826345714577,"z_1[1,16]",0,0,1610.0200341507411,b_Intercept,0,2429.1495230836044,"z_1[1,16]",0,0,0,0.698405798485245,0,TRUE
8,4,12000,57,0,1.0015836148374118,"r_id[305,Intercept]",0,0,1375.0759149517976,"z_1[1,8]",0,2126.0913204548115,"z_1[1,16]",0,0,0,0.647201521389782,0,TRUE
9,4,12000,57,0,1.0022066048641622,"r_id[147,Intercept]",0,0,1553.6847459019325,"z_1[1,19]",0,2770.361498077316,"z_1[1,8]",0,0,0,0.6807277188713383,0,TRUE
10,4,12000,57,0,1.002415861970049,sd_id__Intercept,0,0,1653.2087065273665,"z_1[1,19]",0,3010.487225366047,"z_1[1,19]",0,0,0,0.6923000357195327,0,TRUE
11,4,12000,57,0,1.0020408689431164,"r_id[305,Intercept]",0,0,1403.015910507384,"z_1[1,19]",0,2678.6861942815503,"z_1[1,8]",0,0,0,0.7360510849129719,0,TRUE
12,4,12000,57,0,1.002497178841968,"r_id[447,Intercept]",0,0,1493.9942613774838,"z_1[1,19]",0,2691.1610338621144,b_Intercept,0,0,0,0.7036351214420076,0,TRUE
13,4,12000,57,0,1.0020064796741002,"z_1[1,2]",0,0,1549.5242169854173,"z_1[1,8]",0,2566.4915026107933,"z_1[1,19]",0,0,0,0.7284161066679159,0,TRUE
14,4,12000,57,0,1.003068953462706,"z_1[1,19]",0,0,1515.3742407276238,"z_1[1,19]",0,2860.1950291432,"z_1[1,16]",0,0,0,0.7125802433860514,0,TRUE
15,4,12000,57,0,1.0024092969080498,"z_1[1,21]",0,0,1593.038938489418,"z_1[1,8]",0,2757.244489239012,b_Intercept,0,0,0,0.7138474432427756,0,TRUE
16,4,12000,57,0,1.0016051866662392,"z_1[1,1]",0,0,1298.6106479314217,"z_1[1,19]",0,2550.9853424043295,"r_id[147,Intercept]",0,0,0,0.7230470209488312,0,TRUE
17,4,12000,57,0,1.0026879791425407,"z_1[1,8]",0,0,1640.6108458473332,"z_1[1,16]",0,2200.0048002472763,"r_id[447,Intercept]",0,0,0,0.7065577068945584,0,TRUE
18,4,12000,57,0,1.0036368067691575,"z_1[1,19]",0,0,1389.6642735394935,"z_1[1,19]",0,2620.4768292167932,"z_1[1,19]",0,0,0,0.6915093469498834,0,TRUE
19,4,12000,57,0,1.002029367217764,"r_id[401,Intercept]",0,0,1388.5966178741292,b_Intercept,0,2575.5463262452845,b_Intercept,0,0,0,0.7131901673456112,0,TRUE
20,4,12000,57,0,1.0043444015616538,"z_1[1,8]",0,0,1707.6886694314423,"z_1[1,19]",0,2788.645148336677,"z_1[1,19]",0,0,0,0.6960882897525262,0,TRUE
