Construct,Level,Univariate,Multivariate
Modality,Other,"87.3 [79.3, 92.5]","89.6 [80.9, 94.6]"
Modality,ECG,"89.0 [80.1, 93.9]","90.5 [81.2, 95.2]"
Modality,PPG,"90.0 [83.5, 94.2]","91.0 [83.2, 95.4]"
Algorithm family,Other algorithm,"89.0 [81.9, 93.4]","89.6 [80.9, 94.6]"
Algorithm family,Deep learning,"89.1 [82.0, 93.5]","89.9 [81.3, 94.8]"
Algorithm family,Temporal deep learning,"89.9 [81.8, 94.4]","89.3 [79.4, 94.7]"
Algorithm family,Tree-based methods,"89.2 [82.2, 93.6]","90.0 [81.4, 94.9]"
Algorithm family,Kernel-based methods,"89.2 [80.8, 94.1]","89.8 [80.0, 95.0]"
Study duration,low (one day),"90.2 [83.3, 94.3]","89.6 [80.9, 94.6]"
Study duration,medium (multiple days),"85.2 [67.7, 94.2]","83.7 [63.3, 94.1]"
Study duration,high (> one week),"82.5 [66.8, 91.7]","80.6 [62.1, 91.4]"
Multimodality,Unimodal,"89.3 [83.0, 93.4]","89.6 [80.9, 94.6]"
Multimodality,Multimodal,"93.1 [88.4, 96.0]","93.0 [86.1, 96.7]"
Intruders,No intruders,"89.5 [83.0, 93.5]",—
Intruders,Intruders,"88.3 [80.3, 93.2]",—
Feature type,handcrafted,"89.2 [82.4, 93.4]",—
Feature type,deep,"90.0 [80.9, 94.9]",—
Feature type,hybrid,"88.9 [78.8, 94.5]",—
Activity,one condition,"89.8 [82.5, 94.2]","89.7 [80.5, 94.8]"
Activity,multiple conditions,"89.7 [81.4, 94.5]","89.5 [79.2, 95.0]"
Activity,everyday activities,"89.1 [79.8, 94.4]","89.2 [78.2, 95.1]"
