imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,110,0,1.0025307888204256,"z_1[1,20]",0,0,2332.582373710524,Intercept,0,2222.8374754658307,"r_id[495,Intercept]",0,0,0,0.7097808812745109,0,TRUE
2,4,12000,110,0,1.0023590366474224,"r_id[495,Intercept]",0,0,1826.3458951683058,"r_id[495,Intercept]",0,1415.5531229617038,"r_id[495,Intercept]",0,0,0,0.7378280780067366,0,TRUE
3,4,12000,110,0,1.0019072129100677,"r_id[486,multiC_within]",0,0,2262.8782769542468,"r_id[495,Intercept]",0,1550.3359852287206,"r_id[495,Intercept]",0,0,0,0.7423970776136973,0,TRUE
4,4,12000,110,0,1.0023530135034096,"r_id[495,Intercept]",0,0,2042.421956035287,"r_id[495,Intercept]",0,944.2989083119069,"r_id[495,Intercept]",0,0,0,0.724044332657938,0,TRUE
5,4,12000,110,0,1.0025400521305423,"r_id[495,Intercept]",0,0,1862.8902585426147,Intercept,0,3239.0757311936495,"r_id[495,Intercept]",0,0,0,0.7168948910558529,0,TRUE
6,4,12000,110,0,1.0041279175324533,"r_id[495,Intercept]",0,0,1917.6631150597825,"r_id[495,Intercept]",0,1104.3442516965492,"r_id[495,Intercept]",0,0,0,0.7198868613302731,0,TRUE
7,4,12000,110,0,1.0024012557470272,"z_1[1,20]",0,0,2655.7943603110616,"r_id[495,Intercept]",0,1609.8169399139535,"r_id[495,Intercept]",0,0,0,0.7557959752201475,0,TRUE
8,4,12000,110,0,1.0015155935452382,"r_id[495,Intercept]",0,0,2160.85051090368,Intercept,0,1572.609493969405,"r_id[495,Intercept]",0,0,0,0.6841204017415896,0,TRUE
9,4,12000,110,0,1.002517211203849,Intercept,0,0,2331.3809840426597,Intercept,0,1754.4584692704723,"r_id[495,Intercept]",0,0,0,0.7448497056153659,0,TRUE
10,4,12000,110,0,1.0019091580394979,"z_1[1,20]",0,0,2288.608294928433,Intercept,0,1685.0441028389184,"r_id[495,Intercept]",0,0,0,0.7340221482052864,0,TRUE
11,4,12000,110,0,1.001808358634467,"r_id[495,Intercept]",0,0,1935.1947153304418,"r_id[495,Intercept]",0,1120.2534087284605,"r_id[495,Intercept]",0,0,0,0.7400072624990132,0,TRUE
12,4,12000,110,0,1.003030571324112,"r_id[266,Intercept]",0,0,2156.8793197025075,"r_id[495,Intercept]",0,1418.3301205301188,"r_id[495,Intercept]",0,0,0,0.7227314061702964,0,TRUE
13,4,12000,110,0,1.0015346557370712,"z_1[2,19]",0,0,2043.2360845650514,"r_id[495,Intercept]",0,1221.1335624399112,"r_id[495,Intercept]",0,0,0,0.7433530260718006,0,TRUE
14,4,12000,110,0,1.0017281829844793,sd_id__multiC_within,0,0,1827.6749216759783,"r_id[495,Intercept]",0,959.6563069610617,"r_id[495,Intercept]",0,0,0,0.7372011387233584,0,TRUE
15,4,12000,110,0,1.0024095148716878,"z_1[1,4]",0,0,1688.8027952796117,"r_id[495,Intercept]",0,875.6853063325818,"r_id[495,Intercept]",0,0,0,0.7598316486697045,0,TRUE
16,4,12000,110,0,1.003077025322384,"r_id[495,Intercept]",0,0,1510.0724677967673,"r_id[495,Intercept]",0,646.0214881583024,"r_id[495,Intercept]",0,0,0,0.7274201354964348,0,TRUE
17,4,12000,110,0,1.0018434575708195,Intercept,0,0,2005.452910054248,"r_id[495,Intercept]",0,1190.9548208397293,"r_id[495,Intercept]",0,0,0,0.6667895386850105,0,TRUE
18,4,12000,110,0,1.0036164511419745,"z_1[1,12]",0,0,1704.0587351719716,"r_id[495,Intercept]",0,923.7708964322876,"r_id[495,Intercept]",0,0,0,0.7439252614859755,0,TRUE
19,4,12000,110,0,1.0029588424560563,"z_1[1,16]",0,0,2311.502841485632,Intercept,0,1884.7287494001164,"r_id[495,Intercept]",0,0,0,0.7456865232417149,0,TRUE
20,4,12000,110,0,1.0028326349721997,"r_id[495,Intercept]",0,0,1782.4244943686128,"r_id[495,Intercept]",0,1263.085767998543,"r_id[495,Intercept]",0,0,0,0.7491239386292258,0,TRUE
