imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,62,0,1.001451149571072,"z_1[1,8]",0,0,1794.2273674415694,"z_1[1,19]",0,1416.3352260504648,"r_id[495,Intercept]",0,0,0,0.64850781562733,0,TRUE
2,4,12000,62,0,1.0019242665989183,"r_id[330,Intercept]",0,0,1634.3029047523012,"z_1[1,8]",0,1293.8449434394818,"r_id[495,Intercept]",0,0,0,0.6564450719964303,0,TRUE
3,4,12000,62,0,1.0026596773734044,"z_1[1,8]",0,0,1852.0806426240263,"z_1[1,19]",0,1017.6448446769057,"r_id[495,Intercept]",0,0,0,0.6748082630012628,0,TRUE
4,4,12000,62,0,1.0030549644572375,"r_id[495,Intercept]",0,0,1587.9902727680505,"r_id[495,Intercept]",0,749.6081517474082,"r_id[495,Intercept]",0,0,0,0.6401332176652628,0,TRUE
5,4,12000,62,0,1.0018488184915155,"z_1[1,8]",0,0,1931.4455730990396,Intercept,0,2931.1313786465753,"r_id[495,Intercept]",0,0,0,0.6357540555911428,0,TRUE
6,4,12000,62,0,1.0046228014983727,"z_1[1,8]",0,0,940.5028914950375,"r_id[495,Intercept]",0,288.1688992757197,"r_id[495,Intercept]",2,0,0,0.6445972241351392,0,FALSE
7,4,12000,62,0,1.0056780259033817,"z_1[1,20]",0,0,757.4964235082498,"r_id[495,Intercept]",0,192.80903009311263,"r_id[495,Intercept]",2,0,0,0.5995622374368903,0,FALSE
8,4,12000,62,0,1.0042198527941544,"r_id[495,Intercept]",0,0,1814.0917221401785,"z_1[1,16]",0,1486.7721485560312,"r_id[495,Intercept]",0,0,0,0.6402949447946616,0,TRUE
9,4,12000,62,0,1.002455082492825,"r_id[486,Intercept]",0,0,1445.019030683887,"r_id[495,Intercept]",0,820.1732803644386,"r_id[495,Intercept]",0,0,0,0.6786376593560898,0,TRUE
10,4,12000,62,0,1.0042424684238278,"r_id[495,Intercept]",0,0,1156.2242544532257,"r_id[495,Intercept]",0,542.6685312605786,"r_id[495,Intercept]",0,0,0,0.6709813058913916,0,TRUE
11,4,12000,62,0,1.0039889267103392,"r_id[495,Intercept]",0,0,1251.3946489263406,"r_id[495,Intercept]",0,378.9701389575006,"r_id[495,Intercept]",1,0,0,0.6030398104688528,0,FALSE
12,4,12000,62,0,1.0098132508087938,"z_1[1,20]",0,0,947.7019711441809,"z_1[1,20]",0,335.78376804841207,"r_id[495,Intercept]",2,0,0,0.6039788898615719,0,FALSE
13,4,12000,62,0,1.003665854546168,"z_1[1,12]",0,0,1978.2905244308586,"z_1[1,19]",0,1069.3705694694065,"r_id[495,Intercept]",0,0,0,0.6540265928378851,0,TRUE
14,4,12000,62,0,1.0017452810248089,"r_id[305,Intercept]",0,0,1834.8044152376117,"z_1[1,19]",0,1084.3615628596797,"r_id[495,Intercept]",0,0,0,0.6464580196779822,0,TRUE
15,4,12000,62,0,1.0033547446727566,"z_1[1,20]",0,0,1114.4230061385795,"z_1[1,20]",0,365.1449393551499,"r_id[495,Intercept]",1,0,0,0.6375013861772652,0,FALSE
16,4,12000,62,0,1.0057063694751447,"z_1[1,20]",0,0,1014.0576780441326,"r_id[495,Intercept]",0,400.68811250356197,"r_id[495,Intercept]",0,0,0,0.6875207457729319,0,TRUE
17,4,12000,62,0,1.00232997683854,"r_id[495,Intercept]",0,0,1649.893036623338,"r_id[495,Intercept]",0,792.9977753950476,"r_id[495,Intercept]",0,0,0,0.6396931862093004,0,TRUE
18,4,12000,62,0,1.0039839064211478,"r_id[486,Intercept]",0,0,1592.7761120188459,"r_id[495,Intercept]",0,606.906906856878,"r_id[495,Intercept]",0,0,0,0.6398032728619604,0,TRUE
19,4,12000,62,0,1.0026022796510432,"r_id[495,Intercept]",0,0,1427.7503303624421,"r_id[495,Intercept]",0,677.5134533817265,"r_id[495,Intercept]",0,0,0,0.6403641483773429,0,TRUE
20,4,12000,62,0,1.002800114272114,"z_1[1,20]",0,0,1748.8498280411022,"r_id[495,Intercept]",0,752.5838104199672,"r_id[495,Intercept]",0,0,0,0.6427872793953674,0,TRUE
