imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.0034744148002341,b_Intercept,0,0,1807.706636520872,"r_id[495,Intercept]",0,1387.1678835182627,"r_id[495,Intercept]",0,0,0,0.6090917949657157,0,TRUE
2,4,12000,60,0,1.0029164873414884,"z_1[1,19]",0,0,1824.099967975442,"z_1[1,19]",0,1816.219041530865,"r_id[495,Intercept]",0,0,0,0.6648105519819402,0,TRUE
3,4,12000,60,0,1.0018481891242348,"r_id[55,Intercept]",0,0,2183.9124574558573,"r_id[495,Intercept]",0,1330.2635965175746,"r_id[495,Intercept]",0,0,0,0.6619773286082656,0,TRUE
4,4,12000,60,0,1.0036667608661642,"z_1[1,20]",0,0,1703.6393756801506,"r_id[495,Intercept]",0,906.6743854044273,"r_id[495,Intercept]",0,0,0,0.6529370767843291,0,TRUE
5,4,12000,60,0,1.0032643354787685,"r_id[495,Intercept]",0,0,2024.6997997170574,"z_1[1,19]",0,1570.7988145338152,"r_id[495,Intercept]",0,0,0,0.6791313891787917,0,TRUE
6,4,12000,60,0,1.0023692426782156,"z_1[1,19]",0,0,1228.0858738459174,"r_id[495,Intercept]",0,1273.0453016304325,"r_id[495,Intercept]",0,0,0,0.6135265023075489,0,TRUE
7,4,12000,60,0,1.002095727543554,"r_id[382,Intercept]",0,0,1393.9399345208449,"r_id[495,Intercept]",0,590.9281717315878,"r_id[495,Intercept]",0,0,0,0.6160183533598765,0,TRUE
8,4,12000,60,0,1.005721567172219,"r_id[382,Intercept]",0,0,1161.5149237096841,"r_id[495,Intercept]",0,524.0231482806327,"r_id[495,Intercept]",0,0,0,0.6122547768966726,0,TRUE
9,4,12000,60,0,1.0040666978921908,sd_id__Intercept,0,0,2195.59420487748,"r_id[495,Intercept]",0,1265.0887498872048,"r_id[495,Intercept]",0,0,0,0.6472007598653854,0,TRUE
10,4,12000,60,0,1.0054645658913206,"r_id[495,Intercept]",0,0,1581.828270249619,"r_id[495,Intercept]",0,1022.5554455665572,"r_id[495,Intercept]",0,0,0,0.613840472305286,0,TRUE
11,4,12000,60,0,1.0026768301325704,"z_1[1,2]",0,0,1546.8625455768854,"r_id[495,Intercept]",0,1196.8792485676659,"r_id[495,Intercept]",0,0,0,0.6357919353325328,0,TRUE
12,4,12000,60,0,1.0033571926850906,sd_id__Intercept,0,0,1569.8994951799896,"r_id[495,Intercept]",0,794.5706122464729,"r_id[495,Intercept]",0,0,0,0.6163335979942238,0,TRUE
13,4,12000,60,0,1.007299303202537,"r_id[495,Intercept]",0,0,1455.4318185339057,"r_id[495,Intercept]",0,801.4961269370516,"r_id[495,Intercept]",0,0,0,0.6415585076397059,0,TRUE
14,4,12000,60,0,1.0027406540020416,"z_1[1,16]",0,0,1601.0373359147968,"r_id[495,Intercept]",0,974.4940629840252,"r_id[495,Intercept]",0,0,0,0.6735093344654476,0,TRUE
15,4,12000,60,0,1.0027252853955186,"r_id[495,Intercept]",0,0,1463.2506147307272,"r_id[495,Intercept]",0,1020.3832878677656,"r_id[495,Intercept]",0,0,0,0.6643017114041552,0,TRUE
16,4,12000,60,0,1.0043283843759285,"r_id[495,Intercept]",0,0,1468.7566615820303,"r_id[495,Intercept]",0,701.4260634342528,"r_id[495,Intercept]",0,0,0,0.6410983273103457,0,TRUE
17,4,12000,60,0,1.0013445628454305,Intercept,0,0,1624.9256293966025,"z_1[1,19]",0,1141.5156029882555,"r_id[495,Intercept]",0,0,0,0.6482425964207841,0,TRUE
18,4,12000,60,0,1.0022752893573337,"z_1[1,20]",0,0,1642.684929598732,"r_id[495,Intercept]",0,645.6751367603915,"r_id[495,Intercept]",0,0,0,0.6522347102888697,0,TRUE
19,4,12000,60,0,1.0033195034794509,Intercept,0,0,1452.3592251632526,"r_id[495,Intercept]",0,660.4116231936656,"r_id[495,Intercept]",0,0,0,0.651621106797357,0,TRUE
20,4,12000,60,0,1.0011977348395387,"z_1[1,14]",0,0,1928.5818734604973,"z_1[1,16]",0,1957.3505474702365,"r_id[495,Intercept]",0,0,0,0.6816719932759204,0,TRUE
