imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.0030890863785218,"z_1[1,20]",0,0,1932.516431267483,"r_id[495,Intercept]",0,1135.786014128221,"r_id[495,Intercept]",0,0,0,0.6562475681127116,0,TRUE
2,4,12000,60,0,1.001502246416826,"z_1[1,21]",0,0,2205.881521274427,"r_id[495,Intercept]",0,1422.1374499003891,"r_id[495,Intercept]",0,0,0,0.6188030862273033,0,TRUE
3,4,12000,60,0,1.0013745349284777,"z_1[1,20]",0,0,2114.1750274331857,"r_id[495,Intercept]",0,1088.310648213639,"r_id[495,Intercept]",0,0,0,0.6575966903707887,0,TRUE
4,4,12000,60,0,1.0017585070656243,"z_1[1,8]",0,0,1686.235856003424,"r_id[495,Intercept]",0,760.9290773515776,"r_id[495,Intercept]",0,0,0,0.6848689692916724,0,TRUE
5,4,12000,60,0,1.0009929957098558,b_feature_typehybrid,0,0,2271.2824769540002,"z_1[1,19]",0,1435.0111457859743,"r_id[495,Intercept]",0,0,0,0.6435327319050278,0,TRUE
6,4,12000,60,0,1.0033715396776999,"r_id[495,Intercept]",0,0,1156.7713115886434,"r_id[495,Intercept]",0,497.69765445008085,"r_id[495,Intercept]",0,0,0,0.6114860698617809,0,TRUE
7,4,12000,60,0,1.0096009685493883,"z_1[1,20]",0,0,1018.6925754665012,"r_id[495,Intercept]",0,431.9471126209015,"r_id[495,Intercept]",0,0,0,0.6580274168791173,0,TRUE
8,4,12000,60,0,1.0028484927268984,"r_id[495,Intercept]",0,0,1371.4928640124374,"r_id[495,Intercept]",0,586.449410935368,"r_id[495,Intercept]",0,0,0,0.6636662296851716,0,TRUE
9,4,12000,60,0,1.003158097298809,"r_id[495,Intercept]",0,0,1296.0620382694124,"r_id[495,Intercept]",0,591.8671880030389,"r_id[495,Intercept]",0,0,0,0.7086019934438932,0,TRUE
10,4,12000,60,0,1.003746524202531,"z_1[1,8]",0,0,1546.1412199340593,"r_id[495,Intercept]",0,798.164720074909,"z_1[1,20]",0,0,0,0.6624042753360289,0,TRUE
11,4,12000,60,0,1.0026903415213917,"r_id[495,Intercept]",0,0,1259.6779164608913,"z_1[1,20]",0,445.42711934104807,"r_id[495,Intercept]",0,0,0,0.6238423099547462,0,TRUE
12,4,12000,60,0,1.003594528082205,"z_1[1,8]",0,0,1705.4330016590447,"z_1[1,8]",0,1683.665531938455,"z_1[1,20]",0,0,0,0.6759748666170466,0,TRUE
13,4,12000,60,0,1.0022911762039874,"r_id[495,Intercept]",0,0,1498.6445466215207,"r_id[495,Intercept]",0,873.7544575926667,"r_id[495,Intercept]",0,0,0,0.6348099753530315,0,TRUE
14,4,12000,60,0,1.0017400569379533,sd_id__Intercept,0,0,1438.9555665439848,"r_id[495,Intercept]",0,520.5692813531963,"r_id[495,Intercept]",0,0,0,0.6236728629960632,0,TRUE
15,4,12000,60,0,1.0048382314986612,"z_1[1,20]",0,0,1175.0978979482688,"r_id[495,Intercept]",0,443.35049645761336,"r_id[495,Intercept]",0,0,0,0.611681088582812,0,TRUE
16,4,12000,60,0,1.0017260879930157,"r_id[305,Intercept]",0,0,1457.1861327732586,"r_id[495,Intercept]",0,756.4228959919769,"r_id[495,Intercept]",0,0,0,0.660722260192206,0,TRUE
17,4,12000,60,0,1.0042292143362896,"r_id[495,Intercept]",0,0,1898.8244305377548,"r_id[495,Intercept]",0,1094.177103384476,"r_id[495,Intercept]",0,0,0,0.674815698316107,0,TRUE
18,4,12000,60,0,1.0033100060572862,"r_id[495,Intercept]",0,0,1680.7235857025978,"r_id[495,Intercept]",0,822.1948718702283,"r_id[495,Intercept]",0,0,0,0.6526841905703654,0,TRUE
19,4,12000,60,0,1.0029105051582883,"z_1[1,20]",0,0,1680.0257130094394,"r_id[495,Intercept]",0,697.2187176021803,"r_id[495,Intercept]",0,0,0,0.6471488049816486,0,TRUE
20,4,12000,60,0,1.002638809318608,"z_1[1,20]",0,0,1672.781333752016,"r_id[495,Intercept]",0,879.071473863415,"r_id[495,Intercept]",0,0,0,0.6308802251153081,0,TRUE
