imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,71,0,1.0016496482166437,"z_1[1,20]",0,0,667.5897241249637,"r_id[382,Intercept]",0,1348.6983594001615,"r_id[495,Intercept]",0,0,0,0.6272105400091678,0,TRUE
2,4,20000,71,0,1.0058798279902013,"r_id[382,Intercept]",0,0,853.6242455947522,"r_id[382,Intercept]",0,1818.8081326074541,"r_id[495,Intercept]",0,0,0,0.6716116442757655,0,TRUE
3,4,20000,71,0,1.005533123985412,"r_id[382,Intercept]",0,0,785.4772300017614,"r_id[382,Intercept]",0,1860.8558513781588,"r_id[495,Intercept]",0,0,0,0.6838053485042216,0,TRUE
4,4,20000,71,0,1.0032326434687695,"r_id[382,Intercept]",0,0,804.7277068396808,"r_id[382,Intercept]",0,737.2017148285828,"r_id[495,Intercept]",0,0,0,0.6665664817436359,0,TRUE
5,4,20000,71,0,1.0052482743885596,"r_id[382,Intercept]",0,0,805.8208530073473,"r_id[382,Intercept]",0,1954.289967254575,"r_id[495,Intercept]",0,0,0,0.6724111878512831,0,TRUE
6,4,20000,71,0,1.0084075538211401,"r_id[382,Intercept]",0,0,720.2049763886597,"r_id[382,Intercept]",0,1311.4465914412247,"r_id[495,Intercept]",0,0,0,0.6705445306360605,0,TRUE
7,4,20000,71,0,1.004886802699881,"r_id[382,Intercept]",0,0,792.7166900851914,"r_id[382,Intercept]",0,440.9696878004234,"r_id[495,Intercept]",0,0,0,0.6582773698676823,0,TRUE
8,4,20000,71,0,1.0061374282803137,"z_1[1,20]",0,0,756.6096871052234,"r_id[382,Intercept]",0,822.6002940584277,"r_id[495,Intercept]",0,0,0,0.6467422515521186,0,TRUE
9,4,20000,71,0,1.0061324234872533,"r_id[382,Intercept]",0,0,594.9115126165262,"r_id[382,Intercept]",0,749.8648286908746,"r_id[495,Intercept]",0,0,0,0.6788577036786844,0,TRUE
10,4,20000,71,0,1.0045068668779633,"r_id[382,Intercept]",0,0,875.5481803915596,"r_id[382,Intercept]",0,1717.1221376262272,"r_id[495,Intercept]",0,0,0,0.6789376703072229,0,TRUE
11,4,20000,71,0,1.0029115753971307,"z_1[1,12]",0,0,774.2003912948238,"r_id[382,Intercept]",0,618.3303159726959,"r_id[495,Intercept]",0,0,0,0.6497426589163577,0,TRUE
12,4,20000,71,0,1.0140920901780597,"r_id[382,Intercept]",2,0,990.4232286383871,"r_id[382,Intercept]",0,664.6805452037406,"r_id[495,Intercept]",0,0,0,0.6466861582000749,0,FALSE
13,4,20000,71,0,1.0106068001708168,"r_id[382,Intercept]",1,0,598.1115967206448,"r_id[382,Intercept]",0,598.8145264688567,"r_id[495,Intercept]",0,0,0,0.6814901287422497,0,FALSE
14,4,20000,71,0,1.0067797375073937,"r_id[382,Intercept]",0,0,527.9531049849123,"r_id[382,Intercept]",0,862.6002478148091,"r_id[495,Intercept]",0,0,0,0.6831279520111452,0,TRUE
15,4,20000,71,0,1.0170593742537324,"r_id[382,Intercept]",2,0,517.4255481678817,"r_id[382,Intercept]",0,1127.6193928878563,"r_id[495,Intercept]",0,0,0,0.6705443865341935,0,FALSE
16,4,20000,71,0,1.002001880050084,"r_id[382,Intercept]",0,0,762.2448106926421,"r_id[382,Intercept]",0,1605.6998636348978,"r_id[495,Intercept]",0,0,0,0.680395410980128,0,TRUE
17,4,20000,71,0,1.00176530666548,"r_id[495,Intercept]",0,0,895.838528752236,"r_id[382,Intercept]",0,1272.229466348605,"r_id[495,Intercept]",0,0,0,0.6916426539613257,0,TRUE
18,4,20000,71,0,1.00492928416282,"z_1[1,12]",0,0,639.5489963994413,"r_id[382,Intercept]",0,458.49921445667144,"r_id[495,Intercept]",0,0,0,0.6944527023900103,0,TRUE
19,4,20000,71,0,1.0093503774929733,"r_id[382,Intercept]",0,0,751.7964189538673,"r_id[382,Intercept]",0,493.72359627246703,"r_id[495,Intercept]",0,0,0,0.6911611188981316,0,TRUE
20,4,20000,71,0,1.0038170535795155,"z_1[1,12]",0,0,987.954667284144,"r_id[382,Intercept]",0,764.56239542296,"r_id[495,Intercept]",0,0,0,0.7095280755204406,0,TRUE
