model,param,median,lower,upper
null,tau,1.1758298,0.8810703642500001,1.6326829799999996
null,tau2,1.38257571856925,0.77628498676097335,2.665653713319521
activity,tau,1.09740335,0.8042693710000001,1.5597047274999996
activity,tau2,1.204294112591225,0.6468492211302801,2.432678837116099
duration,tau,1.1892642,0.88683850225,1.6613046899999997
duration,tau2,1.41434933740389,0.7864825290750463,2.759933273029571
modality,tau,1.15791145,0.8677242605000001,1.6172136625
modality,tau2,1.3407589260411252,0.7529453922602867,2.6153800301768158
algorithm,tau,1.18842745,0.88736921625,1.6578665674999997
algorithm,tau2,1.4123598039222052,0.7874241259486439,2.74852155563441
multimodal,tau,1.1658302,0.86998010675,1.6235686974999999
multimodal,tau2,1.3591600552340002,0.7568653861410117,2.635975315502217
intruders,tau,1.1707969500000002,0.87829775425,1.6282682125
intruders,tau2,1.3707654981294253,0.7714069451206432,2.651257371838439
feature_type,tau,1.1556776,0.858228204,1.6198051699999996
feature_type,tau2,1.3355907151432,0.7365556501457347,2.6237687888674945
full,tau,1.1449297,0.8374620805,1.6180354999999995
full,tau2,1.3108640179423399,0.701342736276789,2.6180388792637586
