imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,59,0,1.0018856725964689,"r_id[382,Intercept]",0,0,3078.679726520967,"r_id[495,Intercept]",0,2043.1491752281268,"r_id[495,Intercept]",0,0,0,0.6417331627759287,0,TRUE
2,4,20000,59,0,1.0011823102943196,"r_id[382,Intercept]",0,0,2678.547388635244,"r_id[495,Intercept]",0,1548.8801490812368,"r_id[495,Intercept]",0,0,0,0.6629153922917203,0,TRUE
3,4,20000,59,0,1.0010113775054768,"z_1[1,13]",0,0,2890.905691701315,"z_1[1,8]",0,3382.3127151988397,"r_id[495,Intercept]",0,0,0,0.6764299968609842,0,TRUE
4,4,20000,59,0,1.0022009591489622,"r_id[495,Intercept]",0,0,1871.3710708182582,"r_id[495,Intercept]",0,962.1963221907297,"r_id[495,Intercept]",0,0,0,0.6431111738790548,0,TRUE
5,4,20000,59,0,1.0012723892248145,"z_1[1,16]",0,0,3106.406594214644,"r_id[495,Intercept]",0,1876.7468021432196,"r_id[495,Intercept]",0,0,0,0.6462214338272857,0,TRUE
6,4,20000,59,0,1.0014024809622535,sd_id__Intercept,0,0,2437.2396499880583,"r_id[495,Intercept]",0,1614.1363557764168,"r_id[495,Intercept]",0,0,0,0.6443153860863926,0,TRUE
7,4,20000,59,0,1.002740540858269,"r_id[495,Intercept]",0,0,2089.423027965267,"r_id[495,Intercept]",0,1295.8588322742337,"z_1[1,20]",0,0,0,0.653045669385043,0,TRUE
8,4,20000,59,0,1.0024828221077782,"r_id[486,Intercept]",0,0,2554.3699524502244,"r_id[495,Intercept]",0,2135.0702515046805,"r_id[495,Intercept]",0,0,0,0.6407935730939969,0,TRUE
9,4,20000,59,0,1.0025367426338636,"r_id[495,Intercept]",0,0,2202.447428451168,"r_id[495,Intercept]",0,786.6875297800401,"r_id[495,Intercept]",0,0,0,0.6708485766364664,0,TRUE
10,4,20000,59,0,1.002139856113094,sd_id__Intercept,0,0,2601.183699226214,"r_id[495,Intercept]",0,1315.038386201723,"r_id[495,Intercept]",0,0,0,0.6619653522846882,0,TRUE
11,4,20000,59,0,1.0026532478143149,"r_id[495,Intercept]",0,0,1542.3760188037818,"r_id[495,Intercept]",0,832.2251263132185,"r_id[495,Intercept]",0,0,0,0.6802119543642156,0,TRUE
12,4,20000,59,0,1.0013761398142884,"z_1[1,20]",0,0,2835.924307139686,"r_id[495,Intercept]",0,1877.068512041113,"r_id[495,Intercept]",0,0,0,0.6563741859170714,0,TRUE
13,4,20000,59,0,1.0018078597752684,"z_1[1,8]",0,0,2033.6950564546762,"r_id[495,Intercept]",0,925.1233714482349,"r_id[495,Intercept]",0,0,0,0.6735047944235546,0,TRUE
14,4,20000,59,0,1.003271129290853,"r_id[495,Intercept]",0,0,1612.3825053309401,"r_id[495,Intercept]",0,601.1138782131659,"r_id[495,Intercept]",0,0,0,0.6466436143389099,0,TRUE
15,4,20000,59,0,1.001899565134445,"z_1[1,20]",0,0,1892.8103501665385,"r_id[495,Intercept]",0,624.0831574017014,"r_id[495,Intercept]",0,0,0,0.6586571701360292,0,TRUE
16,4,20000,59,0,1.0031313285743118,"z_1[1,20]",0,0,1844.2184370410578,"r_id[495,Intercept]",0,931.4618523245216,"r_id[495,Intercept]",0,0,0,0.6601138426727173,0,TRUE
17,4,20000,59,0,1.00202663585298,sd_id__Intercept,0,0,2800.0323103113383,"r_id[495,Intercept]",0,1881.840833154327,"r_id[495,Intercept]",0,0,0,0.6441713731430718,0,TRUE
18,4,20000,59,0,1.0018453650645176,"z_1[1,12]",0,0,2130.892347476016,"r_id[495,Intercept]",0,1022.3286733850645,"r_id[495,Intercept]",0,0,0,0.6693998719214767,0,TRUE
19,4,20000,59,0,1.0054523473287094,"r_id[495,Intercept]",0,0,1400.542219109494,"r_id[495,Intercept]",0,457.54372148138214,"r_id[495,Intercept]",0,0,0,0.6746091292180677,0,TRUE
20,4,20000,59,0,1.0022152162240816,"z_1[1,8]",0,0,2938.476785643869,"r_id[495,Intercept]",0,2152.4232342779114,"r_id[495,Intercept]",0,0,0,0.6391806707709009,0,TRUE
