imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,60,0,1.002181133691963,"z_1[1,12]",0,0,1950.4113486340323,"z_1[1,12]",0,1965.1622481711127,"z_1[1,12]",0,0,0,0.6590242747814082,0,TRUE
2,4,12000,60,0,1.00172040053717,"z_1[1,20]",0,0,2177.6218442501317,"z_1[1,8]",0,2050.0222620624013,"r_id[495,Intercept]",0,0,0,0.6549185959072558,0,TRUE
3,4,12000,60,0,1.00200882794506,"r_id[495,Intercept]",0,0,2049.8529746010504,"z_1[1,19]",0,1681.9363809597883,"r_id[495,Intercept]",0,0,0,0.7068295926174443,0,TRUE
4,4,12000,60,0,1.0039135750543746,"r_id[495,Intercept]",0,0,1230.2890463873912,"r_id[495,Intercept]",0,583.6065659145711,"z_1[1,20]",0,0,0,0.6487145146992128,0,TRUE
5,4,12000,60,0,1.0025649410424917,sd_id__Intercept,0,0,1910.7488880771555,"z_1[1,12]",0,1915.8234705657558,"r_id[495,Intercept]",0,0,0,0.647255456343177,0,TRUE
6,4,12000,60,0,1.0061796503970928,Intercept,0,0,1605.5548302826298,Intercept,0,1451.296090403056,"r_id[495,Intercept]",0,0,0,0.639880281735474,0,TRUE
7,4,12000,60,0,1.0017833843895125,"r_id[147,Intercept]",0,0,1909.7375974001907,Intercept,0,1696.9308309646058,"r_id[495,Intercept]",0,0,0,0.6410029385904477,0,TRUE
8,4,12000,60,0,1.0054769405067014,"z_1[1,8]",0,0,1433.1590461644091,"r_id[495,Intercept]",0,803.9303639052406,"r_id[495,Intercept]",0,0,0,0.6282334758698956,0,TRUE
9,4,12000,60,0,1.0047845655123946,"z_1[1,20]",0,0,851.6555758786544,"z_1[1,20]",0,332.0822756393299,"r_id[495,Intercept]",2,0,0,0.6640321401921302,0,FALSE
10,4,12000,60,0,1.0020799474204052,Intercept,0,0,1946.0536165078793,"r_id[495,Intercept]",0,1138.3037124446728,"r_id[495,Intercept]",0,0,0,0.6563073044639809,0,TRUE
11,4,12000,60,0,1.0043212266196553,"z_1[1,20]",0,0,1199.6273003258627,"r_id[495,Intercept]",0,630.0436472240459,"r_id[495,Intercept]",0,0,0,0.6637443677615578,0,TRUE
12,4,12000,60,0,1.0047085314867632,"z_1[1,19]",0,0,1173.1478895173952,"r_id[495,Intercept]",0,482.72235316888924,"r_id[495,Intercept]",0,0,0,0.6357464661510777,0,TRUE
13,4,12000,60,0,1.003971645629051,"z_1[1,1]",0,0,1623.9800961196286,"z_1[1,19]",0,3000.9274126360683,"r_id[495,Intercept]",0,0,0,0.6932013134628356,0,TRUE
14,4,12000,60,0,1.005932540030547,"z_1[1,20]",0,0,809.8568943380823,"r_id[495,Intercept]",0,164.5103788832992,"r_id[495,Intercept]",2,0,0,0.5923377044994116,0,FALSE
15,4,12000,60,0,1.0047327648080113,"z_1[1,20]",0,0,1470.5894644937482,"r_id[495,Intercept]",0,1048.3054046067366,"z_1[1,20]",0,0,0,0.6815854696832427,0,TRUE
16,4,12000,60,0,1.0039490492750287,"r_id[495,Intercept]",0,0,1025.5951145926192,"r_id[495,Intercept]",0,355.51423481125823,"r_id[495,Intercept]",2,0,0,0.648090908714831,0,FALSE
17,4,12000,60,0,1.00164400469694,"r_id[495,Intercept]",0,0,1991.0686652680554,"z_1[1,12]",0,1303.7055347593393,"r_id[495,Intercept]",0,0,0,0.6671142920159613,0,TRUE
18,4,12000,60,0,1.001847635087911,"z_1[1,2]",0,0,1862.7659830872603,"r_id[495,Intercept]",0,1360.8723489212232,"r_id[495,Intercept]",0,0,0,0.6516195202390321,0,TRUE
19,4,12000,60,0,1.0060176085902415,"r_id[495,Intercept]",0,0,921.2677337127789,"r_id[495,Intercept]",0,325.05467790565075,"r_id[495,Intercept]",2,0,0,0.6728249627206185,0,FALSE
20,4,12000,60,0,1.004780453243497,"r_id[382,Intercept]",0,0,1536.7840448298791,"r_id[495,Intercept]",0,707.3374416379597,"r_id[495,Intercept]",0,0,0,0.6157898179479854,0,TRUE
