imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,58,0,1.0026883096120576,"z_1[1,19]",0,0,1629.142067650086,"z_1[1,12]",0,1689.202312602105,"r_id[495,Intercept]",0,0,0,0.6445615021592676,0,TRUE
2,4,12000,58,0,1.0018617677864317,"r_id[495,Intercept]",0,0,1703.6361602197749,"z_1[1,19]",0,1184.1825184325571,"r_id[495,Intercept]",0,0,0,0.6519775655567813,0,TRUE
3,4,12000,58,0,1.0048262581556333,b_Intercept,0,0,1718.8626500428309,"r_id[382,Intercept]",0,2051.1956205832116,"r_id[495,Intercept]",0,0,0,0.6682524089453572,0,TRUE
4,4,12000,58,0,1.0048419792561065,"r_id[495,Intercept]",0,0,1157.9183883173948,"r_id[495,Intercept]",0,512.4141731666404,"r_id[495,Intercept]",0,0,0,0.6021682645253235,0,TRUE
5,4,12000,58,0,1.0028323269696615,"z_1[1,20]",0,0,1652.5153650233954,"z_1[1,12]",0,1557.58204808938,"r_id[382,Intercept]",0,0,0,0.6595343782707064,0,TRUE
6,4,12000,58,0,1.0055932585150926,"z_1[1,20]",0,0,1437.4654314324343,"z_1[1,16]",0,1580.0139890104333,"r_id[495,Intercept]",0,0,0,0.6071402166861898,0,TRUE
7,4,12000,58,0,1.0036408922317175,"z_1[1,1]",0,0,1112.2406398037588,"r_id[495,Intercept]",0,656.2072920593239,"r_id[495,Intercept]",0,0,0,0.614112643049419,0,TRUE
8,4,12000,58,0,1.0043232823106265,"z_1[1,20]",0,0,1233.0847227609377,"r_id[495,Intercept]",0,627.243509475584,"r_id[495,Intercept]",0,0,0,0.6370063908459522,0,TRUE
9,4,12000,58,0,1.0055378993445458,"r_id[495,Intercept]",0,0,574.0364889730652,"r_id[495,Intercept]",0,168.35469929679687,"r_id[495,Intercept]",2,0,0,0.6348385274942919,0,FALSE
10,4,12000,58,0,1.0060679165427553,"r_id[495,Intercept]",0,0,866.7493007218804,"r_id[495,Intercept]",0,402.2677555931188,"r_id[495,Intercept]",0,0,0,0.6324082250601838,0,TRUE
11,4,12000,58,0,1.003910847341522,"z_1[1,12]",0,0,1143.4850899117257,"r_id[495,Intercept]",0,651.4279894377286,"r_id[495,Intercept]",0,0,0,0.6556078307621076,0,TRUE
12,4,12000,58,0,1.0030933006025944,"r_id[382,Intercept]",0,0,1120.5994356901433,"r_id[495,Intercept]",0,493.03977256434086,"r_id[495,Intercept]",0,0,0,0.6478062047741208,0,TRUE
13,4,12000,58,0,1.0032720582688168,"z_1[1,4]",0,0,1396.3456197180437,"z_1[1,12]",0,1350.0398058601572,"r_id[382,Intercept]",0,0,0,0.6732939024594866,0,TRUE
14,4,12000,58,0,1.0086377534329505,"r_id[495,Intercept]",0,0,921.6284013134023,"r_id[495,Intercept]",0,416.5434532111235,"r_id[495,Intercept]",0,0,0,0.6351689026044108,0,TRUE
15,4,12000,58,0,1.0023455438791526,"z_1[1,20]",0,0,1153.151270069397,"r_id[495,Intercept]",0,444.54807192133956,"r_id[495,Intercept]",0,0,0,0.6834786047194192,0,TRUE
16,4,12000,58,0,1.007993497482933,"r_id[495,Intercept]",0,0,876.3182957740102,"r_id[495,Intercept]",0,334.69397606300396,"r_id[495,Intercept]",2,0,0,0.6474973300041685,0,FALSE
17,4,12000,58,0,1.0036870829602274,"r_id[305,Intercept]",0,0,1293.8078245977586,"r_id[495,Intercept]",0,368.2423951218754,"r_id[495,Intercept]",1,0,0,0.6462359253299507,0,FALSE
18,4,12000,58,0,1.0037200230288348,"z_1[1,16]",0,0,1192.1934021693473,"r_id[495,Intercept]",0,554.8735974147256,"r_id[495,Intercept]",0,0,0,0.6359634967372725,0,TRUE
19,4,12000,58,0,1.0133610518531044,"r_id[495,Intercept]",2,0,457.24013714457357,"r_id[495,Intercept]",0,301.6782362666047,"r_id[495,Intercept]",2,0,0,0.6051018378103451,0,FALSE
20,4,12000,58,0,1.003747891986155,"z_1[1,20]",0,0,1079.333499390329,"r_id[495,Intercept]",0,383.2032467403859,"r_id[495,Intercept]",1,0,0,0.6295159921636306,0,FALSE
