Construct,Level,Univariate,Multivariate
Modality,Other,"84.3 [75.8, 90.2]","84.3 [74.3, 91.0]"
Modality,ECG,"89.9 [82.5, 94.1]","89.8 [81.6, 94.4]"
Modality,PPG,"87.3 [80.1, 92.1]","86.9 [78.1, 92.5]"
Algorithm family,Other algorithm,"88.0 [81.0, 92.5]","84.3 [74.3, 91.0]"
Algorithm family,Deep learning,"87.9 [80.9, 92.5]","84.6 [74.8, 91.2]"
Algorithm family,Temporal deep learning,"88.5 [80.9, 93.2]","85.6 [74.6, 92.7]"
Algorithm family,Tree-based methods,"88.2 [81.2, 92.7]","84.9 [75.3, 91.4]"
Algorithm family,Kernel-based methods,"86.7 [77.5, 92.2]","82.3 [70.2, 90.2]"
Study duration,low (one day),"88.0 [81.0, 92.5]","84.3 [74.3, 91.0]"
Study duration,medium (multiple days),"87.9 [75.5, 94.3]","84.6 [68.8, 92.9]"
Study duration,high (> one week),"85.7 [71.6, 92.4]","82.1 [65.1, 90.7]"
Multimodality,Unimodal,"88.0 [81.4, 92.3]","84.3 [74.3, 91.0]"
Multimodality,Multimodal,"91.6 [86.5, 94.7]","87.7 [79.3, 93.1]"
Intruders,No intruders,"88.2 [81.4, 92.4]",—
Intruders,Intruders,"86.9 [78.3, 92.3]",—
Feature type,handcrafted,"88.0 [81.2, 92.4]",—
Feature type,deep,"89.5 [80.6, 94.4]",—
Feature type,hybrid,"85.2 [73.5, 92.3]",—
Activity,one condition,"87.0 [79.3, 92.1]","84.0 [73.3, 91.1]"
Activity,multiple conditions,"88.3 [80.0, 93.3]","85.2 [73.9, 92.1]"
Activity,everyday activities,"86.6 [76.8, 92.7]","84.2 [71.7, 91.9]"
