imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,157,0,1.0019308075041233,"z_1[2,19]",0,0,2716.506617325768,Intercept,0,4500.501450564329,sd_id__multiC_within,0,0,0,0.7000171418748903,0,TRUE
2,4,12000,157,0,1.0017286318228331,"z_1[2,10]",0,0,2974.5951626200012,Intercept,0,4753.79007172463,sd_id__multiC_within,0,0,0,0.7068502048078933,0,TRUE
3,4,12000,157,0,1.0016216889666931,"r_id[486,multiC_within]",0,0,2802.8331764361037,Intercept,0,3886.8811912404135,sd_id__multiC_within,0,0,0,0.7373127019009581,0,TRUE
4,4,12000,157,0,1.0014246583873978,"z_1[2,12]",0,0,2676.587559673269,Intercept,0,4217.940876737165,sd_id__multiC_within,0,0,0,0.681791255899807,0,TRUE
5,4,12000,157,0,1.0015460309046897,"z_1[1,16]",0,0,2724.9062901913753,Intercept,0,4746.399520490323,Intercept,0,0,0,0.7183144336614663,0,TRUE
6,4,12000,157,0,1.0033203507658512,"z_1[1,16]",0,0,2182.166262864327,Intercept,0,3993.3237635259507,Intercept,0,0,0,0.7300841929525625,0,TRUE
7,4,12000,157,0,1.0015002433743063,"r_id__sigma[75,Intercept]",0,0,2483.6195282165468,"z_1[1,16]",0,4762.989250593742,Intercept,0,0,0,0.735524466369644,0,TRUE
8,4,12000,157,0,1.0019854535764674,"z_1[1,3]",0,0,2840.6298422224745,Intercept,0,4375.532211147588,sd_id__multiC_within,0,0,0,0.7370127377223366,0,TRUE
9,4,12000,157,0,1.0031056600095234,"r_id[447,Intercept]",0,0,2829.162776433372,Intercept,0,4780.323803579461,"z_1[1,16]",0,0,0,0.7025020478110406,0,TRUE
10,4,12000,157,0,1.0026484014258232,"z_1[1,16]",0,0,2551.6503093262054,Intercept,0,4406.930330494136,Intercept,0,0,0,0.7193628029450486,0,TRUE
11,4,12000,157,0,1.0023859553565315,"z_1[1,19]",0,0,2523.2136080998043,Intercept,0,4589.61270849313,Intercept,0,0,0,0.6953799373432561,0,TRUE
12,4,12000,157,0,1.0014679885029028,"r_id[55,multiC_within]",0,0,2606.5648798854913,Intercept,0,3786.9740905561575,sd_id__multiC_within,0,0,0,0.6731022833484622,0,TRUE
13,4,12000,157,0,1.0021547070518448,"z_1[2,8]",0,0,2655.4531084320683,Intercept,0,4141.698949664388,"r_id[447,Intercept]",0,0,0,0.6958225577132731,0,TRUE
14,4,12000,157,0,1.0018474838802889,"z_2[1,1]",0,0,2985.123957131512,"z_1[1,16]",0,3764.570778093154,sd_id__multiC_within,0,0,0,0.7267822994898813,0,TRUE
15,4,12000,157,0,1.0015304163587289,"z_1[2,1]",0,0,2972.043868093666,Intercept,0,4710.162169136074,Intercept,0,0,0,0.687445723611546,0,TRUE
16,4,12000,157,0,1.0016495146187774,"r_id[278,multiC_within]",0,0,2670.275630151429,Intercept,0,4490.3762434358,sd_id__multiC_within,0,0,0,0.7306129683261494,0,TRUE
17,4,12000,157,0,1.0018760864169773,sd_id__Intercept,0,0,2842.6876596993707,Intercept,0,5049.650667140406,Intercept,0,0,0,0.688099555648843,0,TRUE
18,4,12000,157,0,1.0018444736886392,Intercept,0,0,2334.865705573793,"z_1[1,16]",0,3904.420104570734,Intercept,0,0,0,0.7327580618464115,0,TRUE
19,4,12000,157,0,1.0021859102764845,"z_1[1,16]",0,0,2873.269197565211,Intercept,0,3955.2155746984326,sd_id__multiC_within,0,0,0,0.7086135027801793,0,TRUE
20,4,12000,157,0,1.0013430897464093,sd_id__multiC_within,0,0,2791.133505788649,Intercept,0,4528.833465281895,Intercept,0,0,0,0.6897414433816133,0,TRUE
