imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,109,0,1.0011683927276982,"z_1[1,11]",0,0,2646.9562973690117,Intercept,0,4477.671643401517,"z_1[1,19]",0,0,0,0.6636417617928084,0,TRUE
2,4,12000,109,0,1.0038788537967667,"z_1[1,19]",0,0,1964.9076224884743,Intercept,0,3472.545519469933,"z_1[1,16]",0,0,0,0.7098716619080134,0,TRUE
3,4,12000,109,0,1.0039238581949954,"z_1[1,16]",0,0,2057.828334896187,Intercept,0,4196.877495201683,Intercept,0,0,0,0.6711961456497993,0,TRUE
4,4,12000,109,0,1.00120261632405,Intercept,0,0,2439.5359981785173,"z_1[1,16]",0,4215.6728946841695,Intercept,0,0,0,0.678618910135244,0,TRUE
5,4,12000,109,0,1.001512160261366,"z_1[1,9]",0,0,2173.9354043273665,Intercept,0,3905.767719269507,"z_1[1,19]",0,0,0,0.6597640232928511,0,TRUE
6,4,12000,109,0,1.0019863031037535,"z_2[1,1]",0,0,2165.8422840767435,"z_1[1,19]",0,3845.166802920154,"z_1[1,19]",0,0,0,0.6993815758519375,0,TRUE
7,4,12000,109,0,1.0027693529867874,"z_1[1,8]",0,0,2228.8648276593894,"z_1[1,8]",0,3526.8246013697285,"z_1[1,16]",0,0,0,0.7024895886877222,0,TRUE
8,4,12000,109,0,1.002887408630314,"r_id[266,Intercept]",0,0,2601.789205742727,"z_1[1,16]",0,4184.73606385324,Intercept,0,0,0,0.7029797731630121,0,TRUE
9,4,12000,109,0,1.0010646585129879,"z_2[1,16]",0,0,2801.5544945589377,"z_1[1,19]",0,4797.270110325679,b_Intercept,0,0,0,0.7341378843924902,0,TRUE
10,4,12000,109,0,1.0012095083070716,Intercept_sigma,0,0,2166.0289052526277,Intercept,0,3874.8700373014844,Intercept,0,0,0,0.6830788633959561,0,TRUE
11,4,12000,109,0,1.002019972688537,sd_id__sigma_Intercept,0,0,2478.8816078822415,"z_1[1,16]",0,4464.185768862804,Intercept,0,0,0,0.7163732926118376,0,TRUE
12,4,12000,109,0,1.0020479406987697,"z_1[1,19]",0,0,2138.3722768712114,"z_1[1,19]",0,4018.3112387823535,Intercept,0,0,0,0.6675381428903314,0,TRUE
13,4,12000,109,0,1.0014075359517207,b_algodl,0,0,2675.292718680188,Intercept,0,4169.2985979639,b_Intercept,0,0,0,0.7043574461026053,0,TRUE
14,4,12000,109,0,1.0033466100798898,"z_1[1,19]",0,0,2516.6478459770924,"z_1[1,19]",0,4161.383294024206,"z_1[1,8]",0,0,0,0.65926808638361,0,TRUE
15,4,12000,109,0,1.002213378258465,"r_id[401,Intercept]",0,0,2380.7203287783245,Intercept,0,3993.912562881898,Intercept,0,0,0,0.7115468772530474,0,TRUE
16,4,12000,109,0,1.001443855325186,"z_1[1,11]",0,0,2357.636252410875,"z_1[1,16]",0,3933.8146944778164,Intercept,0,0,0,0.6833008254090659,0,TRUE
17,4,12000,109,0,1.0013176105714359,"r_id[205,Intercept]",0,0,2420.161202148996,"z_1[1,8]",0,3880.376523324422,"z_1[1,16]",0,0,0,0.7059814438312562,0,TRUE
18,4,12000,109,0,1.0019187285994378,"z_1[1,1]",0,0,2641.493206193199,Intercept,0,4433.56449372165,Intercept,0,0,0,0.6834313018455227,0,TRUE
19,4,12000,109,0,1.002069938820768,"z_1[1,13]",0,0,2279.716479873305,"z_1[1,19]",0,3865.1604885213414,"z_1[1,8]",0,0,0,0.6581007675335591,0,TRUE
20,4,12000,109,0,1.002153760674861,"r_id[486,Intercept]",0,0,2169.3187916195116,Intercept,0,4075.298575415255,"z_1[1,8]",0,0,0,0.6675902837755153,0,TRUE
