imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,107,0,1.0019532157537732,sd_id__Intercept,0,0,2341.664241951502,"z_1[1,16]",0,3930.43754186554,"z_1[1,4]",0,0,0,0.6501892296935307,0,TRUE
2,4,12000,107,0,1.0022936534896403,sd_id__sigma_Intercept,0,0,2374.7302083227214,"z_1[1,19]",0,3618.638927024217,"r_id[486,Intercept]",0,0,0,0.6654475392932687,0,TRUE
3,4,12000,107,0,1.0036240593130918,"z_1[1,18]",0,0,2217.719694871778,"z_1[1,16]",0,3446.1295783810115,"r_id[486,Intercept]",0,0,0,0.6654803211216065,0,TRUE
4,4,12000,107,0,1.0019254573448082,b_Intercept,0,0,2352.606947144281,Intercept,0,3912.6096082261433,"z_1[1,16]",0,0,0,0.6993759861161312,0,TRUE
5,4,12000,107,0,1.001913680595099,"z_2[1,16]",0,0,2435.3601216873176,"z_1[1,16]",0,4037.5214842460455,"z_1[1,19]",0,0,0,0.6892212989940794,0,TRUE
6,4,12000,107,0,1.0013311343334554,"r_id[43,Intercept]",0,0,2246.608945341179,"z_1[1,19]",0,3996.3265665803624,"z_1[1,16]",0,0,0,0.6956021173203717,0,TRUE
7,4,12000,107,0,1.0015300397661384,b_sigma_duration.Q,0,0,2425.454247130047,Intercept,0,3646.4084828668656,Intercept,0,0,0,0.6640294226151803,0,TRUE
8,4,12000,107,0,1.0018015169540744,"z_1[1,14]",0,0,2271.6013626944377,Intercept,0,4116.01043496514,Intercept,0,0,0,0.7075781143262406,0,TRUE
9,4,12000,107,0,1.0011086481598372,"z_2[1,9]",0,0,2646.151054421073,"z_1[1,19]",0,4021.2570585708377,"z_1[1,19]",0,0,0,0.6618778949775623,0,TRUE
10,4,12000,107,0,1.001652545543769,"r_id[475,Intercept]",0,0,2567.2727283005465,"z_1[1,16]",0,4563.203252320479,Intercept,0,0,0,0.6895880552284815,0,TRUE
11,4,12000,107,0,1.0026350292276789,"z_1[1,16]",0,0,2224.667923662989,"r_id[486,Intercept]",0,3739.160400625294,"r_id[486,Intercept]",0,0,0,0.6262390919452062,0,TRUE
12,4,12000,107,0,1.0016742593252561,"r_id[401,Intercept]",0,0,2392.086250558846,"z_1[1,19]",0,3838.450639696743,"z_1[1,16]",0,0,0,0.6756004470712774,0,TRUE
13,4,12000,107,0,1.0012503790255425,"z_1[1,4]",0,0,2125.3273826333684,"z_1[1,16]",0,3189.682484960132,"r_id[486,Intercept]",0,0,0,0.6930279959734665,0,TRUE
14,4,12000,107,0,1.0020881117257219,"r_id[55,Intercept]",0,0,2392.2443515404975,sd_id__Intercept,0,4614.370043021084,"z_1[1,19]",0,0,0,0.6763636576745894,0,TRUE
15,4,12000,107,0,1.0015654268805363,"z_1[1,4]",0,0,2439.9810732747032,"z_1[1,16]",0,4533.894230972458,"z_1[1,16]",0,0,0,0.6728150892061667,0,TRUE
16,4,12000,107,0,1.0023030096632584,"z_1[1,19]",0,0,2335.6618331867267,Intercept,0,4130.08477587233,Intercept,0,0,0,0.6945099057962372,0,TRUE
17,4,12000,107,0,1.0016677275290613,"z_1[1,2]",0,0,2169.3334484834327,Intercept,0,3407.88848269172,Intercept,0,0,0,0.6785098081137569,0,TRUE
18,4,12000,107,0,1.001149630856695,"z_1[1,3]",0,0,2438.6266153541433,"z_1[1,19]",0,4184.16583079592,"z_1[1,10]",0,0,0,0.6893700563871107,0,TRUE
19,4,12000,107,0,1.0038006120872107,"r_id[486,Intercept]",0,0,2226.8020039994226,"z_1[1,19]",0,3765.196394453849,"z_1[1,16]",0,0,0,0.6723330854283146,0,TRUE
20,4,12000,107,0,1.0019417304572746,"z_1[1,21]",0,0,2150.181142670373,Intercept,0,3915.010913149247,"r_id[447,Intercept]",0,0,0,0.6550191194801636,0,TRUE
