imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,107,0,1.0019729214539983,sd_id__Intercept,0,0,2522.7645136631477,"z_1[1,8]",0,4596.558150294755,b_Intercept,0,0,0,0.6961245925268216,0,TRUE
2,4,12000,107,0,1.001941716677108,"z_2[1,16]",0,0,2163.381635622979,"z_1[1,19]",0,3881.338051855702,"r_id[486,Intercept]",0,0,0,0.6815070698159444,0,TRUE
3,4,12000,107,0,1.0023017003719674,"z_1[1,19]",0,0,2852.028760962756,"z_1[1,19]",0,4429.318300280295,b_Intercept,0,0,0,0.6682966401762297,0,TRUE
4,4,12000,107,0,1.0014466374478546,"z_2[1,18]",0,0,2512.820110173497,"z_1[1,19]",0,4207.393040809017,"z_1[1,19]",0,0,0,0.671829588777302,0,TRUE
5,4,12000,107,0,1.0023260366751758,"r_id[43,Intercept]",0,0,2642.4074535295485,"z_1[1,19]",0,4615.265926575047,b_Intercept,0,0,0,0.6635218070098061,0,TRUE
6,4,12000,107,0,1.0011507834372062,"z_1[1,1]",0,0,2668.393873415377,"z_1[1,19]",0,4470.514862763927,"z_1[1,19]",0,0,0,0.684675130230197,0,TRUE
7,4,12000,107,0,1.0031742180074958,"z_1[1,19]",0,0,2309.427089296155,"z_1[1,19]",0,4398.319397312734,"z_1[1,19]",0,0,0,0.681969648375212,0,TRUE
8,4,12000,107,0,1.0017424571676834,"z_2[1,2]",0,0,2493.84044097781,"z_1[1,19]",0,4517.680068524519,"r_id[486,Intercept]",0,0,0,0.6923584323695264,0,TRUE
9,4,12000,107,0,1.0012718448334303,"r_id[205,Intercept]",0,0,2511.114046556479,"z_1[1,19]",0,4394.114182369604,b_Intercept,0,0,0,0.6924123481508405,0,TRUE
10,4,12000,107,0,1.0020449230779205,"z_1[1,8]",0,0,2616.965995358778,"z_1[1,19]",0,4074.301730822259,"r_id[486,Intercept]",0,0,0,0.675345968837729,0,TRUE
11,4,12000,107,0,1.0019810374965878,Intercept_sigma,0,0,2617.021920033204,"z_1[1,19]",0,4175.442327595688,b_Intercept,0,0,0,0.6701146639278124,0,TRUE
12,4,12000,107,0,1.001835795834764,"z_1[1,8]",0,0,2135.1459132541368,"z_1[1,19]",0,4121.657758399713,"z_1[1,19]",0,0,0,0.6519727589283459,0,TRUE
13,4,12000,107,0,1.0016854069161072,"z_1[1,9]",0,0,2566.377552399754,"z_1[1,19]",0,4270.848054858706,"z_1[1,8]",0,0,0,0.6539692854261091,0,TRUE
14,4,12000,107,0,1.0019181158355996,"z_2[1,16]",0,0,2666.535101154596,"z_1[1,8]",0,4776.863330272881,"z_1[1,19]",0,0,0,0.6872133807901633,0,TRUE
15,4,12000,107,0,1.0031508023087807,"z_1[1,19]",0,0,2353.004966972096,"z_1[1,19]",0,4260.2535677674505,"z_1[1,19]",0,0,0,0.6944756175960658,0,TRUE
16,4,12000,107,0,1.001786252948261,"r_id[36,Intercept]",0,0,2630.028903905527,"z_1[1,19]",0,4492.570267385519,sd_id__Intercept,0,0,0,0.6902751358818177,0,TRUE
17,4,12000,107,0,1.0032574431417978,sd_id__Intercept,0,0,2642.8436245481034,"z_1[1,19]",0,4529.265175154496,"z_1[1,19]",0,0,0,0.7202012836232743,0,TRUE
18,4,12000,107,0,1.001313000398456,"r_id[36,Intercept]",0,0,2317.2147909609203,"z_1[1,19]",0,4017.070665387032,"z_1[1,19]",0,0,0,0.6832748755934037,0,TRUE
19,4,12000,107,0,1.0018380689890394,"z_1[1,19]",0,0,2816.1041930952324,"z_1[1,19]",0,4676.5524029506605,b_Intercept,0,0,0,0.6849478851551319,0,TRUE
20,4,12000,107,0,1.0015812555557877,"z_1[1,19]",0,0,2822.1175687028494,"z_1[1,19]",0,4297.873245504577,"z_1[1,8]",0,0,0,0.6548503074191243,0,TRUE
