imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,118,0,1.0007969417749631,b_multiC_between,0,0,6441.695904822089,Intercept,0,9595.912758629527,Intercept,0,0,0,0.7303354155630204,0,TRUE
2,4,20000,118,0,1.0009453873281888,b_sigma_activitymultipleconditions,0,0,6461.12576222931,Intercept,0,8559.69666022692,Intercept,0,0,0,0.7270998270315346,0,TRUE
3,4,20000,118,0,1.0007216621422024,"z_2[1,15]",0,0,7346.330592568771,sd_id__Intercept,0,10806.951822409043,sd_id__Intercept,0,0,0,0.7517686198142539,0,TRUE
4,4,20000,118,0,1.0007969558559677,"r_id__sigma[401,Intercept]",0,0,6073.900974184884,Intercept,0,9833.723072699486,Intercept,0,0,0,0.724475864158464,0,TRUE
5,4,20000,118,0,1.0015165992777129,"z_1[1,17]",0,0,5709.233426194721,Intercept,0,8199.806430009117,Intercept,0,0,0,0.7317021118540963,0,TRUE
6,4,20000,118,0,1.000530111707936,"z_2[1,3]",0,0,6386.47376760837,Intercept,0,8961.403713095451,Intercept,0,0,0,0.7303925190130162,0,TRUE
7,4,20000,118,0,1.001068715533881,Intercept,0,0,6717.699136100289,Intercept,0,9037.9351567605,Intercept,0,0,0,0.7165775847911013,0,TRUE
8,4,20000,118,0,1.0009156008487603,"z_2[1,1]",0,0,6420.409619293556,Intercept,0,9264.919267504774,Intercept_sigma,0,0,0,0.7363416722685378,0,TRUE
9,4,20000,118,0,1.000796923556301,b_Intercept,0,0,6735.898678897584,sd_id__Intercept,0,9789.70169305099,sd_id__Intercept,0,0,0,0.7223124515463804,0,TRUE
10,4,20000,118,0,1.000836490850515,"z_2[1,6]",0,0,7346.718039605189,sd_id__Intercept,0,9811.033863860337,"z_1[1,14]",0,0,0,0.7085052282386912,0,TRUE
11,4,20000,118,0,1.0008260487090437,"z_1[1,19]",0,0,6149.03730889207,sd_id__Intercept,0,10123.828391206232,Intercept,0,0,0,0.696112810457421,0,TRUE
12,4,20000,118,0,1.0006987235728924,"z_1[1,6]",0,0,6948.119126455014,Intercept,0,10185.351010334949,Intercept,0,0,0,0.7402155684030735,0,TRUE
13,4,20000,118,0,1.0010701921299596,"r_id[28,Intercept]",0,0,7066.677739686802,Intercept_sigma,0,9470.376681846115,Intercept,0,0,0,0.703110031447862,0,TRUE
14,4,20000,118,0,1.0007449085311162,"z_2[1,8]",0,0,7440.843689867234,Intercept_sigma,0,9640.376740766877,"z_2[1,16]",0,0,0,0.7292585722474189,0,TRUE
15,4,20000,118,0,1.000735006183709,"z_1[1,6]",0,0,6617.449290696332,Intercept,0,10024.596082995497,Intercept,0,0,0,0.7322126735084343,0,TRUE
16,4,20000,118,0,1.000761463701161,"z_1[1,16]",0,0,6178.8486261735325,Intercept,0,9084.940437814099,Intercept,0,0,0,0.7194004836323373,0,TRUE
17,4,20000,118,0,1.0010466797067956,"r_id__sigma[147,Intercept]",0,0,6339.945005555959,Intercept,0,9835.759398118356,Intercept,0,0,0,0.719611910911978,0,TRUE
18,4,20000,118,0,1.0009573941100152,b_everyC_between,0,0,6248.940844138396,Intercept,0,9320.999455055813,Intercept,0,0,0,0.7369623629994737,0,TRUE
19,4,20000,118,0,1.0005259902214423,"z_2[1,17]",0,0,7070.55847953019,Intercept,0,10962.997483991225,Intercept,0,0,0,0.7083954761609156,0,TRUE
20,4,20000,118,0,1.0007751457784841,sd_id__sigma_Intercept,0,0,5845.251026262809,Intercept,0,8639.130446886367,Intercept,0,0,0,0.7252445312210841,0,TRUE
