model,param,median,lower,upper
null,tau,1.0257806500000002,0.72754080425,1.4772371
null,tau2,1.0522259419145452,0.5293156218487627,2.1822294496167998
null,tau_sigma,0.703402135,0.45551615775,1.0910534275000001
activity,tau,0.99982249,0.71724767925,1.4351439224999998
activity,tau2,0.999645011509937,0.5144442333905187,2.059638078309044
activity,tau_sigma,0.67518091,0.42816648925000006,1.0622766899999998
duration,tau,1.0593856000000001,0.7491387347500001,1.5338971224999998
duration,tau2,1.1222978494876101,0.5612088439060042,2.352840382472065
duration,tau_sigma,0.69809085,0.45076947275,1.0848742599999999
modality,tau,1.0425451,0.751259224,1.4875446049999999
modality,tau2,1.0869002855477001,0.5643904216455204,2.2127889518839896
modality,tau_sigma,0.731709505,0.4787392527500002,1.1312332524999995
algorithm,tau,1.0170222,0.7112002222499999,1.4754765250000001
algorithm,tau2,1.03433415529509,0.5058057561287497,2.177030975826685
algorithm,tau_sigma,0.7245685399999999,0.47242737625000003,1.1211813549999998
multimodal,tau,0.9958470150000001,0.7094510275000002,1.4334424449999996
multimodal,tau2,0.9917112772844284,0.5033207604243747,2.054757243129918
multimodal,tau_sigma,0.7476474849999999,0.4931617365,1.1454450374999996
intruders,tau,1.0192272,0.7209977817500001,1.4707445424999999
intruders,tau2,1.03882408522,0.5198378012892779,2.163089509293604
intruders,tau_sigma,0.70448692,0.456093223,1.09263816
feature_type,tau,0.9951354800000001,0.6908164710000002,1.4467776374999997
feature_type,tau2,0.9902946235549204,0.47722739662183095,2.0931655324622724
feature_type,tau_sigma,0.70667767,0.45588976825000016,1.0984615225
full,tau,1.0234619,0.7239933442500002,1.4860425074999997
full,tau2,1.04747426075162,0.524166362521945,2.2083223340985656
full,tau_sigma,0.7872434349999999,0.5263716057500001,1.1987519025000002
