imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,106,0,1.0027278610508645,"z_1[1,1]",0,0,2770.176993098599,"z_1[1,8]",0,5034.133097790144,"z_1[1,8]",0,0,0,0.6920977829012575,0,TRUE
2,4,20000,106,0,1.001151983029274,"z_2[1,1]",0,0,3796.5308215204614,b_Intercept,0,6501.18750384523,Intercept,0,0,0,0.687596311173974,0,TRUE
3,4,20000,106,0,1.0008053226290492,"r_id[205,Intercept]",0,0,3664.32512048028,"z_1[1,8]",0,6737.628033941128,Intercept,0,0,0,0.6821040265430984,0,TRUE
4,4,20000,106,0,1.0016957512053282,"z_1[1,4]",0,0,3586.918273974783,"z_1[1,19]",0,6720.627377696264,Intercept,0,0,0,0.6781688190375322,0,TRUE
5,4,20000,106,0,1.0015891184031604,"z_1[1,19]",0,0,3587.8550917269517,"z_1[1,8]",0,6156.103089768064,Intercept,0,0,0,0.7079955794361549,0,TRUE
6,4,20000,106,0,1.0007218323879028,"z_2[1,22]",0,0,3622.8688817274297,"z_1[1,19]",0,5953.800968341502,Intercept,0,0,0,0.6770216961097857,0,TRUE
7,4,20000,106,0,1.0016707746521387,Intercept,0,0,3622.926903123542,"z_1[1,8]",0,6830.4392762987345,Intercept,0,0,0,0.6795025297941786,0,TRUE
8,4,20000,106,0,1.002557179538042,Intercept,0,0,3421.0722227474735,b_Intercept,0,6765.205926425795,Intercept,0,0,0,0.6877370289466967,0,TRUE
9,4,20000,106,0,1.0014285699216539,"z_1[1,8]",0,0,3459.425669848331,"z_1[1,19]",0,6688.023902102573,Intercept,0,0,0,0.6833952907251016,0,TRUE
10,4,20000,106,0,1.0009374439735803,"r_id__sigma[147,Intercept]",0,0,3913.8068290834885,"z_1[1,19]",0,6917.136686085476,"r_id[486,Intercept]",0,0,0,0.6709640342789025,0,TRUE
11,4,20000,106,0,1.0010689645132682,Intercept,0,0,4084.510371657685,Intercept,0,6521.300358904011,"r_id[486,Intercept]",0,0,0,0.6577269920180131,0,TRUE
12,4,20000,106,0,1.0007346289124104,"z_1[1,12]",0,0,3721.9632615579676,"z_1[1,19]",0,6890.073571273035,Intercept,0,0,0,0.7010793563576962,0,TRUE
13,4,20000,106,0,1.001773614378342,"z_2[1,16]",0,0,3411.8874709784586,"z_1[1,8]",0,5690.900854407513,b_Intercept,0,0,0,0.6762862517285244,0,TRUE
14,4,20000,106,0,1.0016633104018162,"z_1[1,13]",0,0,3542.862899615457,"z_1[1,8]",0,5931.517056071975,"z_1[1,8]",0,0,0,0.691145198889439,0,TRUE
15,4,20000,106,0,1.0009960187832196,"r_id[305,Intercept]",0,0,3417.498903588438,"z_1[1,8]",0,5783.9868172752185,Intercept,0,0,0,0.695600402930975,0,TRUE
16,4,20000,106,0,1.0015925910678563,"r_id[28,Intercept]",0,0,3682.948738018571,"z_1[1,8]",0,6108.940126385657,b_Intercept,0,0,0,0.6527336228255578,0,TRUE
17,4,20000,106,0,1.000769039205938,"z_1[1,2]",0,0,3652.001505182918,Intercept,0,6402.2193687719455,"z_1[1,19]",0,0,0,0.6939439191755258,0,TRUE
18,4,20000,106,0,1.0019019853713924,b_Intercept,0,0,3974.934802045996,b_Intercept,0,6965.602386251382,Intercept,0,0,0,0.6858451536251978,0,TRUE
19,4,20000,106,0,1.0012076357641808,"z_1[1,18]",0,0,3564.326061886957,"z_1[1,8]",0,6461.727860454692,"z_1[1,8]",0,0,0,0.6730947782821576,0,TRUE
20,4,20000,106,0,1.0016341015914998,sd_id__Intercept,0,0,2896.8508687758235,"z_1[1,8]",0,5587.445550730509,b_Intercept,0,0,0,0.6856509459688592,0,TRUE
