imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,107,0,1.0022888020291296,"z_1[1,10]",0,0,2330.1040916955967,"z_1[1,19]",0,3765.77450996218,Intercept,0,0,0,0.6637453814022942,0,TRUE
2,4,12000,107,0,1.0018120230874896,sd_id__Intercept,0,0,2624.2035710202485,Intercept,0,4008.145184108503,"z_1[1,8]",0,0,0,0.642613309126475,0,TRUE
3,4,12000,107,0,1.002139146428148,Intercept,0,0,2283.6744765630683,Intercept,0,3810.1701950369347,Intercept,0,0,0,0.7035313878019995,0,TRUE
4,4,12000,107,0,1.0014974621295296,Intercept,0,0,2502.0788536152527,Intercept,0,4425.912106928057,"r_id[486,Intercept]",0,0,0,0.7035532381151809,0,TRUE
5,4,12000,107,0,1.001529250419325,"z_1[1,10]",0,0,2441.5829762316334,"z_1[1,19]",0,3888.1340305474864,"r_id[43,Intercept]",0,0,0,0.6735646840944585,0,TRUE
6,4,12000,107,0,1.0017239391539812,"z_1[1,19]",0,0,2228.05681867966,"z_1[1,8]",0,3825.7093017502466,"r_id[486,Intercept]",0,0,0,0.6799802925573655,0,TRUE
7,4,12000,107,0,1.0023922576619422,"z_1[1,8]",0,0,2467.8029940017805,"z_1[1,19]",0,3735.641409925384,Intercept,0,0,0,0.6843553784991224,0,TRUE
8,4,12000,107,0,1.0020664770100298,"z_1[1,19]",0,0,2245.1681792183913,Intercept,0,4000.153646834405,b_Intercept,0,0,0,0.6643655030923937,0,TRUE
9,4,12000,107,0,1.0021682289553173,"z_1[1,19]",0,0,2381.596927011983,"z_1[1,19]",0,4081.614231576041,Intercept,0,0,0,0.6324234273927625,0,TRUE
10,4,12000,107,0,1.0017701722284482,"r_id[266,Intercept]",0,0,2776.7530606382106,"z_1[1,8]",0,4624.853458573696,"r_id[305,Intercept]",0,0,0,0.7004693616561816,0,TRUE
11,4,12000,107,0,1.002371438865534,"z_1[1,19]",0,0,2175.5351845376476,"z_1[1,19]",0,3809.911385464682,"z_1[1,19]",0,0,0,0.6699239890798192,0,TRUE
12,4,12000,107,0,1.0015446213948112,b_sigma_logn,0,0,2538.2538263958495,"z_1[1,19]",0,4210.338219390471,b_Intercept,0,0,0,0.6783047643788481,0,TRUE
13,4,12000,107,0,1.0015284823836261,"z_1[1,18]",0,0,2289.8614416935943,"z_1[1,19]",0,3585.8806915609157,Intercept,0,0,0,0.6488988958730384,0,TRUE
14,4,12000,107,0,1.0035396655886237,"z_1[1,8]",0,0,2368.878475727612,"z_1[1,19]",0,3906.294030940216,"z_1[1,8]",0,0,0,0.6876058697998879,0,TRUE
15,4,12000,107,0,1.0046200986404061,sd_id__Intercept,0,0,2608.194566345516,Intercept,0,4339.57967747031,Intercept,0,0,0,0.6900526048113561,0,TRUE
16,4,12000,107,0,1.002185907047156,nu,0,0,2621.795433967778,"z_1[1,8]",0,4231.476315105054,"r_id[486,Intercept]",0,0,0,0.6849063564350175,0,TRUE
17,4,12000,107,0,1.0015992445483097,"z_1[1,15]",0,0,2345.562704001529,"z_1[1,8]",0,4323.56277472113,Intercept,0,0,0,0.6969901220492994,0,TRUE
18,4,12000,107,0,1.001531202650347,"z_1[1,12]",0,0,2556.1848952149153,"z_1[1,8]",0,4131.7240985768485,"z_1[1,8]",0,0,0,0.6579104671434897,0,TRUE
19,4,12000,107,0,1.0017619996810072,"z_2[1,15]",0,0,2576.556079017452,"z_1[1,8]",0,4001.490540975228,Intercept,0,0,0,0.6917657822097991,0,TRUE
20,4,12000,107,0,1.0014447781972018,"z_1[1,16]",0,0,2422.801610996259,"z_1[1,8]",0,3908.9657325798294,"z_1[1,8]",0,0,0,0.6530398863992315,0,TRUE
