imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,106,0,1.0011563299367765,"z_2[1,16]",0,0,3289.5737387771383,"z_1[1,8]",0,6027.771141123297,"z_1[1,19]",0,0,0,0.6938973196625167,0,TRUE
2,4,20000,106,0,1.0024050972241427,"z_1[1,4]",0,0,3209.0778271467184,"z_1[1,8]",0,5580.321471329451,"z_1[1,8]",0,0,0,0.6806845230741616,0,TRUE
3,4,20000,106,0,1.0048609078270092,"z_1[1,16]",0,0,2994.4157954281436,"z_1[1,8]",0,5203.674430670294,"z_1[1,8]",0,0,0,0.6961889356584137,0,TRUE
4,4,20000,106,0,1.0008796188479065,"z_2[1,2]",0,0,3385.569044892032,"z_1[1,8]",0,5910.20791855796,Intercept,0,0,0,0.6976132458090334,0,TRUE
5,4,20000,106,0,1.001252927965749,"z_1[1,10]",0,0,3479.1560801726705,"z_1[1,19]",0,5939.752640697907,"z_1[1,8]",0,0,0,0.696387829834534,0,TRUE
6,4,20000,106,0,1.0016303269690283,"z_1[1,4]",0,0,3159.277232753262,"z_1[1,8]",0,5576.9901595261745,"z_1[1,16]",0,0,0,0.7106584269949989,0,TRUE
7,4,20000,106,0,1.001009982198361,"z_1[1,10]",0,0,3356.7725932730427,"z_1[1,8]",0,5665.172728581452,"z_1[1,16]",0,0,0,0.6673098995772159,0,TRUE
8,4,20000,106,0,1.0018065863979078,"z_1[1,4]",0,0,3619.200176221894,"z_1[1,8]",0,6553.634152891846,"z_1[1,16]",0,0,0,0.7064717942652684,0,TRUE
9,4,20000,106,0,1.0021059250572875,"z_1[1,19]",0,0,3202.7324587850303,"z_1[1,8]",0,5338.404062365984,"z_1[1,8]",0,0,0,0.6839664034274898,0,TRUE
10,4,20000,106,0,1.0014672177256951,b_Intercept,0,0,3240.9019041392444,"z_1[1,8]",0,6176.349499241389,Intercept,0,0,0,0.7026322083623457,0,TRUE
11,4,20000,106,0,1.001095032137087,"z_1[1,23]",0,0,3879.026048201106,"z_1[1,16]",0,6027.965362594626,Intercept,0,0,0,0.6844991755276386,0,TRUE
12,4,20000,106,0,1.0010838310878403,"z_1[1,17]",0,0,3097.9230758187373,"z_1[1,19]",0,6136.657693051796,b_Intercept,0,0,0,0.6766547138460465,0,TRUE
13,4,20000,106,0,1.0008086328864356,"z_1[1,11]",0,0,3501.062935395895,"z_1[1,8]",0,6187.318079259944,"z_1[1,8]",0,0,0,0.6929950499862484,0,TRUE
14,4,20000,106,0,1.0007362973045733,"z_1[1,2]",0,0,2807.9707727100226,"z_1[1,8]",0,5392.964160970401,Intercept,0,0,0,0.6936476051991368,0,TRUE
15,4,20000,106,0,1.0011862833326508,"z_1[1,19]",0,0,3617.892929916633,"z_1[1,8]",0,5470.506284270301,"z_1[1,16]",0,0,0,0.6869719321588028,0,TRUE
16,4,20000,106,0,1.0013028198292402,"r_id[475,Intercept]",0,0,2918.861640208416,Intercept,0,5897.070512547775,"r_id[486,Intercept]",0,0,0,0.7038255934328836,0,TRUE
17,4,20000,106,0,1.0022324756255268,sd_id__Intercept,0,0,3096.45487454588,"z_1[1,16]",0,4847.8233397205095,b_Intercept,0,0,0,0.70188825665581,0,TRUE
18,4,20000,106,0,1.0009404392360695,"r_id[266,Intercept]",0,0,3512.5181798231165,"z_1[1,8]",0,6011.471639417446,"r_id[486,Intercept]",0,0,0,0.6583402384462785,0,TRUE
19,4,20000,106,0,1.0015443725133752,"z_1[1,10]",0,0,2872.506032138197,"z_1[1,8]",0,4595.829215995943,"z_1[1,8]",0,0,0,0.6372662184135112,0,TRUE
20,4,20000,106,0,1.0018514985381264,sd_id__Intercept,0,0,3104.623911044896,"z_1[1,8]",0,6095.476186212783,"z_1[1,8]",0,0,0,0.7045642711775789,0,TRUE
