imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,105,0,1.0046968259908895,"z_1[1,19]",0,0,1797.2607098926494,"z_1[1,19]",0,3520.2465397478727,"z_1[1,16]",0,0,0,0.6802472858755308,0,TRUE
2,4,12000,105,0,1.0017479155197624,"z_1[1,4]",0,0,2226.288833584871,b_Intercept,0,3417.48656257256,"r_id[486,Intercept]",0,0,0,0.6477534090066005,0,TRUE
3,4,12000,105,0,1.003321330180261,"z_1[1,18]",0,0,1858.3753517297657,"z_1[1,16]",0,3395.7988813407787,b_Intercept,0,0,0,0.6937852794073154,0,TRUE
4,4,12000,105,0,1.0012679753000842,"z_1[1,10]",0,0,1874.4924533623637,b_Intercept,0,3274.9837523497335,b_Intercept,0,0,0,0.6669407567131459,0,TRUE
5,4,12000,105,0,1.0016027375077066,"z_1[1,8]",0,0,1943.1118490622482,"z_1[1,16]",0,3108.3043880296177,"z_1[1,19]",0,0,0,0.6974020867363164,0,TRUE
6,4,12000,105,0,1.0028015676182482,"z_1[1,8]",0,0,1976.3929119473512,"z_1[1,16]",0,3025.91978918322,"r_id[486,Intercept]",0,0,0,0.6397229619109144,0,TRUE
7,4,12000,105,0,1.003858642459241,sd_id__Intercept,0,0,1903.5970051391485,"z_1[1,19]",0,3432.372607924613,b_Intercept,0,0,0,0.6646702952990565,0,TRUE
8,4,12000,105,0,1.001657014149055,"r_id[43,Intercept]",0,0,2040.163555011461,"z_1[1,16]",0,3087.6898298889123,"z_1[1,16]",0,0,0,0.7013322605094023,0,TRUE
9,4,12000,105,0,1.0012065791575977,"r_id[266,Intercept]",0,0,2222.3200011173385,"z_1[1,19]",0,3964.716376419585,"r_id[266,Intercept]",0,0,0,0.701353304062382,0,TRUE
10,4,12000,105,0,1.0017871767754594,"z_1[1,4]",0,0,1716.1100770576795,"z_1[1,16]",0,3280.985226225574,"r_id[486,Intercept]",0,0,0,0.6716620946026156,0,TRUE
11,4,12000,105,0,1.0020385062023214,sd_id__Intercept,0,0,1959.0100183032487,b_Intercept,0,3015.215081311726,b_Intercept,0,0,0,0.6638301138476884,0,TRUE
12,4,12000,105,0,1.0025170247057735,"z_1[1,13]",0,0,1797.7088577839968,b_Intercept,0,3664.0900049852644,b_Intercept,0,0,0,0.6835107950345946,0,TRUE
13,4,12000,105,0,1.002615253963662,"z_1[1,19]",0,0,1864.593639302831,"z_1[1,16]",0,3252.4454745965786,"z_1[1,19]",0,0,0,0.6491824592239821,0,TRUE
14,4,12000,105,0,1.0028429285109908,"z_1[1,16]",0,0,1869.8261480310134,"z_1[1,19]",0,3249.4508086113483,"z_1[1,16]",0,0,0,0.6670290645404581,0,TRUE
15,4,12000,105,0,1.0011654499216864,sd_id__sigma_Intercept,0,0,2138.355955840391,"z_1[1,16]",0,3850.911161732935,"z_1[1,8]",0,0,0,0.6448307593236763,0,TRUE
16,4,12000,105,0,1.002442300772492,sd_id__sigma_Intercept,0,0,1752.426079794576,"z_1[1,16]",0,2800.6652914008196,"z_1[1,19]",0,0,0,0.6804708877710927,0,TRUE
17,4,12000,105,0,1.0021795499245663,b_Intercept,0,0,1973.609834660889,"z_1[1,8]",0,3483.6662507286123,"z_1[1,19]",0,0,0,0.7046729847547835,0,TRUE
18,4,12000,105,0,1.0026258502411465,"r_id[486,Intercept]",0,0,2127.8885230520073,b_Intercept,0,3605.725624606767,"z_1[1,16]",0,0,0,0.6437746461769153,0,TRUE
19,4,12000,105,0,1.0023038402336446,sd_id__sigma_Intercept,0,0,1924.453792615873,b_Intercept,0,3593.1700419259664,"z_1[1,19]",0,0,0,0.6682635455517429,0,TRUE
20,4,12000,105,0,1.0025704079454025,"z_1[1,18]",0,0,2040.6155629036925,"r_id[486,Intercept]",0,3780.950951957793,"r_id[305,Intercept]",0,0,0,0.6890850905224577,0,TRUE
