imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,104,0,1.002037108705759,sd_id__Intercept,0,0,2273.861185068668,Intercept,0,3950.159835726872,Intercept,0,0,0,0.7151321164416277,0,TRUE
2,4,12000,104,0,1.0016742012708006,"r_id[266,multiC_within]",0,0,2418.788191343429,Intercept,0,3971.1147331828283,Intercept,0,0,0,0.6995752358122311,0,TRUE
3,4,12000,104,0,1.003211133267245,Intercept,0,0,2347.086852618659,Intercept,0,3080.7557008768663,Intercept,0,0,0,0.7330375424409412,0,TRUE
4,4,12000,104,0,1.0018637063799904,"z_1[2,16]",0,0,2230.4214871577683,"z_1[1,16]",0,3656.9329669879953,Intercept,0,0,0,0.7339612454295138,0,TRUE
5,4,12000,104,0,1.0016971418598313,"z_1[1,9]",0,0,2854.3860235647157,Intercept,0,4666.4874444574025,Intercept,0,0,0,0.7192537803359929,0,TRUE
6,4,12000,104,0,1.0053694722043058,"z_1[1,16]",0,0,2136.393996298324,Intercept,0,3366.483271745462,Intercept,0,0,0,0.692382426700171,0,TRUE
7,4,12000,104,0,1.001972086226302,"z_1[1,16]",0,0,2938.304835735466,"z_1[1,16]",0,5082.701807642825,"z_1[1,16]",0,0,0,0.732176480661647,0,TRUE
8,4,12000,104,0,1.0014049552198157,"z_1[2,3]",0,0,3113.9433661323587,Intercept,0,4929.315535817987,Intercept,0,0,0,0.693658788227029,0,TRUE
9,4,12000,104,0,1.0042076672565348,Intercept,0,0,1999.1128948825042,Intercept,0,4356.812038353786,Intercept,0,0,0,0.6888970741553887,0,TRUE
10,4,12000,104,0,1.0019053350389426,"z_1[1,10]",0,0,2536.7184622814984,"z_1[1,16]",0,3981.9862957139007,"z_1[1,16]",0,0,0,0.7229530027821712,0,TRUE
11,4,12000,104,0,1.0019802590229856,"r_id[475,Intercept]",0,0,2885.3740171565987,Intercept,0,4302.505307033427,sd_id__multiC_within,0,0,0,0.6986363967159328,0,TRUE
12,4,12000,104,0,1.0024500642480076,"z_1[1,10]",0,0,2964.3419284201304,"z_1[1,16]",0,4513.232582304225,"z_1[1,16]",0,0,0,0.7207383213674894,0,TRUE
13,4,12000,104,0,1.0029032066356733,Intercept,0,0,1841.1556651182068,Intercept,0,3318.6650218895775,"z_1[1,16]",0,0,0,0.7333562634203656,0,TRUE
14,4,12000,104,0,1.003500015031795,"r_id[486,Intercept]",0,0,2112.570113487838,Intercept,0,3694.471187303536,"z_1[1,16]",0,0,0,0.7386581615483271,0,TRUE
15,4,12000,104,0,1.0017113311761021,"r_id[36,Intercept]",0,0,2011.3983039695725,"z_1[1,16]",0,3601.889608179388,Intercept,0,0,0,0.7165775010765655,0,TRUE
16,4,12000,104,0,1.0010587331422731,"z_1[1,9]",0,0,2310.329871744108,Intercept,0,4191.557641265911,Intercept,0,0,0,0.7172039935639272,0,TRUE
17,4,12000,104,0,1.0014525891880928,"r_id[330,Intercept]",0,0,2520.2058140996573,Intercept,0,4289.663113127702,"z_1[1,16]",0,0,0,0.7338987090613088,0,TRUE
18,4,12000,104,0,1.0010594104023764,"z_1[1,7]",0,0,2476.072677461141,Intercept,0,4089.064168650523,Intercept,0,0,0,0.7085348720390598,0,TRUE
19,4,12000,104,0,1.0019453997410284,Intercept,0,0,2232.0828810201783,Intercept,0,3347.613069703174,Intercept,0,0,0,0.7024844796850673,0,TRUE
20,4,12000,104,0,1.00195631779271,"z_1[1,9]",0,0,2159.4079836405717,Intercept,0,4396.416202705742,Intercept,0,0,0,0.717522844727445,0,TRUE
