imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,56,0,1.0017591894835263,b_Intercept,0,0,2206.886809518627,sd_id__Intercept,0,3860.774250717372,sd_id__Intercept,0,0,0,0.6475889306369447,0,TRUE
2,4,12000,56,0,1.0042646631727201,"z_1[1,19]",0,0,1989.6195250192766,"z_1[1,16]",0,4118.034457505866,"z_1[1,8]",0,0,0,0.6836067391145522,0,TRUE
3,4,12000,56,0,1.0012419409642512,"r_id[330,Intercept]",0,0,2048.178457780884,Intercept,0,4022.434838245149,Intercept,0,0,0,0.691809820248184,0,TRUE
4,4,12000,56,0,1.002407528196778,"z_1[1,9]",0,0,2415.35651986699,sd_id__Intercept,0,3616.0013598030514,Intercept,0,0,0,0.6655305687947627,0,TRUE
5,4,12000,56,0,1.0017520564983744,"z_1[1,19]",0,0,2218.659347166021,Intercept,0,3455.65949421652,Intercept,0,0,0,0.6515241939286497,0,TRUE
6,4,12000,56,0,1.0018812475661998,"z_1[1,16]",0,0,2208.194433207914,"z_1[1,19]",0,3604.7746342845603,Intercept,0,0,0,0.6559344987555591,0,TRUE
7,4,12000,56,0,1.0029141552047223,"z_1[1,16]",0,0,2194.611978232384,"z_1[1,16]",0,3169.470928232344,"z_1[1,16]",0,0,0,0.663585709242222,0,TRUE
8,4,12000,56,0,1.0025555329957376,Intercept,0,0,2090.5930075212295,"z_1[1,19]",0,3457.6938085099555,Intercept,0,0,0,0.6597979228795442,0,TRUE
9,4,12000,56,0,1.0017803806098242,"z_1[1,19]",0,0,2167.159472856092,sd_id__Intercept,0,3473.987046670323,"z_1[1,16]",0,0,0,0.6453971935549533,0,TRUE
10,4,12000,56,0,1.0013014620761471,"z_1[1,19]",0,0,2404.293603031021,"z_1[1,19]",0,4029.2741846688778,Intercept,0,0,0,0.6357613009897535,0,TRUE
11,4,12000,56,0,1.0025006291702374,"z_1[1,9]",0,0,2393.90427248528,Intercept,0,4134.660676971042,Intercept,0,0,0,0.6510005608934675,0,TRUE
12,4,12000,56,0,1.0031272123548152,"z_1[1,1]",0,0,2062.4213564081538,b_Intercept,0,3222.600544343818,Intercept,0,0,0,0.6379661551193946,0,TRUE
13,4,12000,56,0,1.0021697959876494,"r_id[305,Intercept]",0,0,2396.1459787277854,"z_1[1,19]",0,4092.0826227999196,"r_id[305,Intercept]",0,0,0,0.6436187168533671,0,TRUE
14,4,12000,56,0,1.0025585150346852,sd_id__Intercept,0,0,2188.628434658226,"z_1[1,16]",0,3453.0628085282174,"z_1[1,19]",0,0,0,0.6191039359989183,0,TRUE
15,4,12000,56,0,1.002293130955848,sd_id__Intercept,0,0,2470.6059476129317,sd_id__Intercept,0,3928.9052479093402,"z_1[1,19]",0,0,0,0.6609924318040659,0,TRUE
16,4,12000,56,0,1.0022573562003236,"r_id[75,Intercept]",0,0,2251.451246698137,Intercept,0,3432.5416613051716,Intercept,0,0,0,0.6590441824985229,0,TRUE
17,4,12000,56,0,1.0030801100723128,"z_1[1,21]",0,0,2032.2593835678972,sd_id__Intercept,0,3111.006835794995,Intercept,0,0,0,0.6250233457048674,0,TRUE
18,4,12000,56,0,1.0017055433764186,"z_1[1,8]",0,0,2276.6219854365318,"z_1[1,19]",0,3861.021552212538,Intercept,0,0,0,0.6746096188045453,0,TRUE
19,4,12000,56,0,1.0013776438275737,sd_id__Intercept,0,0,2216.35327893166,"z_1[1,19]",0,3786.4468078945088,Intercept,0,0,0,0.649957028034672,0,TRUE
20,4,12000,56,0,1.0022235823241699,"r_id[447,Intercept]",0,0,2293.8380363844585,"z_1[1,19]",0,3836.415681177641,Intercept,0,0,0,0.6533971466572331,0,TRUE
