imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,54,0,1.0031178618615377,"z_1[1,19]",0,0,1683.6500502649976,"z_1[1,16]",0,2982.471254410789,"z_1[1,16]",0,0,0,0.6368485415428533,0,TRUE
2,4,12000,54,0,1.0019934497570524,"z_1[1,4]",0,0,2000.1709998959525,"z_1[1,16]",0,3010.6398380800965,Intercept,0,0,0,0.6339346508913667,0,TRUE
3,4,12000,54,0,1.0019526517106117,"z_1[1,19]",0,0,1840.1295009034768,"z_1[1,19]",0,3309.3750267318273,"z_1[1,16]",0,0,0,0.6380030586872597,0,TRUE
4,4,12000,54,0,1.002083019790056,sd_id__Intercept,0,0,1761.1595513338848,"z_1[1,19]",0,3308.006319701223,"z_1[1,19]",0,0,0,0.6272033709961928,0,TRUE
5,4,12000,54,0,1.0031300898411144,"z_1[1,19]",0,0,1895.149426479849,"z_1[1,16]",0,2805.8446084661514,Intercept,0,0,0,0.6236682213540082,0,TRUE
6,4,12000,54,0,1.00308081299684,Intercept,0,0,2116.9440652941303,"z_1[1,16]",0,3473.0423265102163,Intercept,0,0,0,0.6355021955951273,0,TRUE
7,4,12000,54,0,1.0029856682417118,"z_1[1,1]",0,0,2103.4197716761237,"z_1[1,16]",0,3782.4011792964325,"z_1[1,16]",0,0,0,0.651745484758789,0,TRUE
8,4,12000,54,0,1.0035164856670262,"z_1[1,16]",0,0,1738.0182009172547,"z_1[1,19]",0,3046.445279380046,"z_1[1,16]",0,0,0,0.6372456313185912,0,TRUE
9,4,12000,54,0,1.001949907754675,"z_1[1,16]",0,0,2142.8474756139403,"z_1[1,19]",0,3737.5328624075078,"z_1[1,16]",0,0,0,0.6213546280824097,0,TRUE
10,4,12000,54,0,1.0021799647612335,"z_1[1,23]",0,0,1936.2828870880198,"z_1[1,19]",0,3315.2232339495713,Intercept,0,0,0,0.6356355766143132,0,TRUE
11,4,12000,54,0,1.0031429614316871,sd_id__Intercept,0,0,2109.6905775399814,sd_id__Intercept,0,3600.382284360873,Intercept,0,0,0,0.6304505004962928,0,TRUE
12,4,12000,54,0,1.002434887441133,"r_id[447,Intercept]",0,0,2166.7624581605596,"z_1[1,16]",0,3220.033135608817,"r_id[447,Intercept]",0,0,0,0.6469610960494362,0,TRUE
13,4,12000,54,0,1.0022154294007215,sd_id__Intercept,0,0,2086.315201389997,"z_1[1,19]",0,3683.609899730915,"z_1[1,16]",0,0,0,0.6411824668026881,0,TRUE
14,4,12000,54,0,1.004752881530594,"z_1[1,16]",0,0,1953.903639427523,"z_1[1,16]",0,3279.9964069084945,"z_1[1,16]",0,0,0,0.6279836179426911,0,TRUE
15,4,12000,54,0,1.0017594322187466,sd_id__Intercept,0,0,2076.372109444079,"z_1[1,19]",0,3608.48076215092,Intercept,0,0,0,0.6016150909221952,0,TRUE
16,4,12000,54,0,1.0019936355639836,"z_1[1,19]",0,0,1704.2374431241276,"z_1[1,19]",0,3196.248104386465,"z_1[1,19]",0,0,0,0.6020078949109143,0,TRUE
17,4,12000,54,0,1.0026136248802582,sd_id__Intercept,0,0,2080.5304733397074,"z_1[1,19]",0,3808.0950100593545,sd_id__Intercept,0,0,0,0.6331568563055961,0,TRUE
18,4,12000,54,0,1.0013075618317593,"r_id[447,Intercept]",0,0,2130.331516120205,"z_1[1,16]",0,3429.901206706794,"z_1[1,19]",0,0,0,0.6316097862800272,0,TRUE
19,4,12000,54,0,1.0012791065193707,"z_1[1,4]",0,0,2188.4614512697026,"z_1[1,19]",0,3159.329507321508,Intercept,0,0,0,0.6163160279976285,0,TRUE
20,4,12000,54,0,1.0014043469989216,"z_1[1,1]",0,0,2067.2454916952597,Intercept,0,3424.84296738443,"z_1[1,19]",0,0,0,0.6239956933281308,0,TRUE
