imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,54,0,1.0028108676333078,b_Intercept,0,0,2442.9092779698235,sd_id__Intercept,0,3854.640839299641,"z_1[1,19]",0,0,0,0.6734272603273042,0,TRUE
2,4,12000,54,0,1.0009587976243888,"r_id[486,Intercept]",0,0,2224.9673862349673,"z_1[1,19]",0,4089.27535933854,"z_1[1,8]",0,0,0,0.629921638969122,0,TRUE
3,4,12000,54,0,1.0034493662620958,"z_1[1,1]",0,0,2235.328411049091,"z_1[1,19]",0,3744.8449613916755,b_Intercept,0,0,0,0.6217590424857179,0,TRUE
4,4,12000,54,0,1.003327800829295,sd_id__Intercept,0,0,2463.5460437809174,sd_id__Intercept,0,3744.7115631880242,b_Intercept,0,0,0,0.6179794863172041,0,TRUE
5,4,12000,54,0,1.00146890731637,sd_id__Intercept,0,0,2338.086618723637,"z_1[1,19]",0,3563.7830554039333,"z_1[1,19]",0,0,0,0.6395434398612319,0,TRUE
6,4,12000,54,0,1.001623265689476,"r_id[495,Intercept]",0,0,2078.722274948339,"z_1[1,19]",0,3249.0160068159726,"z_1[1,19]",0,0,0,0.6399020554015833,0,TRUE
7,4,12000,54,0,1.001642610747976,"z_1[1,20]",0,0,1902.6960031918668,sd_id__Intercept,0,4006.080051474037,"z_1[1,1]",0,0,0,0.6232576564817661,0,TRUE
8,4,12000,54,0,1.0022160272921,"z_1[1,13]",0,0,2234.6402745104847,"z_1[1,19]",0,3892.0230851366755,"z_1[1,19]",0,0,0,0.6183463573084481,0,TRUE
9,4,12000,54,0,1.0029997036572664,b_Intercept,0,0,2168.844048725504,"z_1[1,19]",0,3596.487441667143,Intercept,0,0,0,0.5985899726482207,0,TRUE
10,4,12000,54,0,1.0020424868410354,"z_1[1,19]",0,0,2328.420747727953,sd_id__Intercept,0,4045.943961894241,"z_1[1,19]",0,0,0,0.6445666339273687,0,TRUE
11,4,12000,54,0,1.0044101268310721,"z_1[1,19]",0,0,2013.99330210365,"z_1[1,19]",0,3695.597450293363,b_Intercept,0,0,0,0.6164749582805908,0,TRUE
12,4,12000,54,0,1.0032709290891673,sd_id__Intercept,0,0,2114.3451478728407,"z_1[1,19]",0,3799.610179039249,b_Intercept,0,0,0,0.6491112604524155,0,TRUE
13,4,12000,54,0,1.0013255202630738,"z_1[1,19]",0,0,2121.606584350755,"z_1[1,19]",0,3313.2132002090348,"z_1[1,1]",0,0,0,0.6231355862210678,0,TRUE
14,4,12000,54,0,1.0023682716086062,"z_1[1,9]",0,0,2012.0100561280594,sd_id__Intercept,0,3608.5473310260827,"z_1[1,19]",0,0,0,0.6096147575517767,0,TRUE
15,4,12000,54,0,1.0036905294336336,sd_id__Intercept,0,0,2042.628466181298,sd_id__Intercept,0,2872.010839218966,b_Intercept,0,0,0,0.640233589261938,0,TRUE
16,4,12000,54,0,1.0022870566491757,sd_id__Intercept,0,0,2141.267493878331,b_Intercept,0,4215.302835322663,"z_1[1,19]",0,0,0,0.628353635696651,0,TRUE
17,4,12000,54,0,1.0026663018229593,"z_1[1,1]",0,0,2371.0641356693304,sd_id__Intercept,0,3980.0743867023252,b_Intercept,0,0,0,0.6407690772628445,0,TRUE
18,4,12000,54,0,1.0030446437750835,"z_1[1,1]",0,0,2141.453710605133,sd_id__Intercept,0,3778.7539754546565,b_Intercept,0,0,0,0.6246457605782528,0,TRUE
19,4,12000,54,0,1.0016598318312613,"z_1[1,19]",0,0,2304.045907957513,"z_1[1,19]",0,3935.0354309994223,"z_1[1,19]",0,0,0,0.610366490925566,0,TRUE
20,4,12000,54,0,1.0021980950165992,"z_1[1,10]",0,0,2114.8533383817994,"z_1[1,19]",0,3140.69096538958,b_Intercept,0,0,0,0.6362186172378204,0,TRUE
