imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,65,0,1.0008285971556021,"z_1[1,14]",0,0,7127.104312848538,Intercept,0,10542.246754479973,Intercept,0,0,0,0.7140138495497929,0,TRUE
2,4,20000,65,0,1.0007759685130668,b_ECG,0,0,6200.145793015548,Intercept,0,10267.680228778996,Intercept,0,0,0,0.7024263015603622,0,TRUE
3,4,20000,65,0,1.0007222817091042,Intercept,0,0,6485.417806016181,Intercept,0,9774.266814294517,Intercept,0,0,0,0.7290755039156863,0,TRUE
4,4,20000,65,0,1.0011404393592938,"z_1[1,21]",0,0,6971.38478649406,Intercept,0,10625.279373665171,"z_1[1,11]",0,0,0,0.7168685780512393,0,TRUE
5,4,20000,65,0,1.0008349990348382,Intercept,0,0,6952.380249746941,Intercept,0,10195.817181921866,"z_1[1,14]",0,0,0,0.7187121994645052,0,TRUE
6,4,20000,65,0,1.0014088777288375,"z_1[1,16]",0,0,6840.174256183294,Intercept,0,9624.400981445357,Intercept,0,0,0,0.7240150095618554,0,TRUE
7,4,20000,65,0,1.0007038282954446,sd_id__Intercept,0,0,7106.717247628291,Intercept,0,9615.830650734106,Intercept,0,0,0,0.7089833208001249,0,TRUE
8,4,20000,65,0,1.0007936703497209,"z_1[1,16]",0,0,7302.017105789073,sd_id__Intercept,0,10217.875013096898,Intercept,0,0,0,0.7060993798020162,0,TRUE
9,4,20000,65,0,1.0006233177681694,sd_id__Intercept,0,0,6931.390621567308,sd_id__Intercept,0,9866.219103492542,Intercept,0,0,0,0.691519497045422,0,TRUE
10,4,20000,65,0,1.0008012374671766,"z_1[1,16]",0,0,7101.171544660725,Intercept,0,10344.662947137344,Intercept,0,0,0,0.7284106225714211,0,TRUE
11,4,20000,65,0,1.0008409160415797,"r_id[36,Intercept]",0,0,6226.660962737072,Intercept,0,9818.025695426802,Intercept,0,0,0,0.680140135288278,0,TRUE
12,4,20000,65,0,1.0005656617203555,"r_id[36,Intercept]",0,0,6076.984010458215,Intercept,0,7273.920210948351,Intercept,0,0,0,0.7138129050805975,0,TRUE
13,4,20000,65,0,1.0011236215026076,"z_1[1,21]",0,0,6710.946522170306,sd_id__Intercept,0,10340.695925792395,Intercept,0,0,0,0.7282840597416593,0,TRUE
14,4,20000,65,0,1.0008060350874635,"z_1[1,14]",0,0,5919.307327788968,Intercept,0,9078.748309517528,Intercept,0,0,0,0.7253614633370241,0,TRUE
15,4,20000,65,0,1.000855012707341,Intercept,0,0,6557.456938190835,Intercept,0,10244.750869148444,Intercept,0,0,0,0.6927922398308217,0,TRUE
16,4,20000,65,0,1.0010239106021865,"r_id[445,Intercept]",0,0,7179.116700462359,Intercept,0,10219.789125701263,Intercept,0,0,0,0.7453666566608085,0,TRUE
17,4,20000,65,0,1.000582561466187,"z_1[1,10]",0,0,7063.808022574701,Intercept,0,10206.542121281573,Intercept,0,0,0,0.7343717457105013,0,TRUE
18,4,20000,65,0,1.001051625511438,"r_id[298,Intercept]",0,0,6903.584111299864,Intercept,0,9771.040045314665,Intercept,0,0,0,0.7439309213761696,0,TRUE
19,4,20000,65,0,1.0011289179687863,"z_1[1,10]",0,0,5699.532345450088,Intercept,0,8766.93738331993,Intercept,0,0,0,0.7141367783108503,0,TRUE
20,4,20000,65,0,1.0006387118250624,b_everyC_between,0,0,6703.538147136581,sd_id__Intercept,0,10668.417814781282,Intercept,0,0,0,0.7118189660557606,0,TRUE
